Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,9.004762709140778,0.5974020957946777,0.1224,0.1604,0.2291,0.1224,0.1467,0.1754,0.1835,0.0508,0.036,0.3723,0.4875
ASLGCNSymmetric,2,8.969089031219482,0.2011854648590088,0.1328,0.1685,0.2414,0.1328,0.159,0.1956,0.2033,0.054,0.0386,0.4007,0.5114
ASLGCNSymmetric,3,8.859782814979553,0.19880938529968262,0.1281,0.1601,0.2318,0.1281,0.1541,0.1913,0.199,0.052,0.0376,0.3823,0.4942
ASLGCNSymmetric,4,8.643837928771973,0.1998445987701416,0.1262,0.1581,0.2299,0.1262,0.1522,0.188,0.1958,0.0515,0.0374,0.3773,0.4903
ASLGCNSymmetric,5,8.310463845729828,0.19960761070251465,0.1253,0.1573,0.2303,0.1253,0.1515,0.1862,0.1941,0.0513,0.0375,0.3756,0.4919
ASLGCNSymmetric,6,7.87279599905014,0.19602608680725098,0.1253,0.1568,0.2284,0.1253,0.1513,0.1869,0.1948,0.0511,0.0373,0.3745,0.4891
ASLGCNSymmetric,7,7.38085401058197,0.17975974082946777,0.1251,0.156,0.2274,0.1251,0.151,0.1871,0.195,0.0511,0.0372,0.374,0.4875
ASLGCNSymmetric,8,6.882847309112549,0.1745147705078125,0.1253,0.1562,0.2289,0.1253,0.1517,0.1878,0.1959,0.0511,0.0375,0.374,0.4891
ASLGCNSymmetric,9,6.401063233613968,0.17371129989624023,0.1257,0.157,0.2301,0.1257,0.1522,0.1883,0.1965,0.0514,0.0377,0.3756,0.4925
ASLGCNSymmetric,10,5.972162663936615,0.17323923110961914,0.1259,0.1573,0.2317,0.1259,0.1528,0.1885,0.1967,0.0517,0.038,0.3773,0.4947
ASLGCNSymmetric,11,5.60413059592247,0.17650485038757324,0.1263,0.1575,0.2313,0.1263,0.1531,0.1894,0.1976,0.0518,0.038,0.3795,0.4958
ASLGCNSymmetric,12,5.300349682569504,0.17458081245422363,0.1266,0.1583,0.2323,0.1266,0.1535,0.1894,0.1976,0.052,0.0382,0.3812,0.4986
ASLGCNSymmetric,13,5.042949438095093,0.17324233055114746,0.1277,0.16,0.2324,0.1277,0.1541,0.1909,0.199,0.0526,0.0383,0.3851,0.5003
