Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,9.002294957637787,1.9744927883148193,0.138,0.1726,0.2482,0.138,0.1653,0.2062,0.2149,0.055,0.0396,0.4068,0.5309
HAGNUniform,2,8.943347811698914,0.17719173431396484,0.1344,0.1657,0.2354,0.1344,0.1594,0.202,0.2097,0.055,0.0387,0.4012,0.5136
HAGNUniform,3,8.767797350883484,0.176621675491333,0.1313,0.1616,0.2243,0.1313,0.154,0.1968,0.204,0.054,0.0373,0.3912,0.4964
HAGNUniform,4,8.438016057014465,0.17120790481567383,0.1309,0.1613,0.2215,0.1309,0.1527,0.1956,0.203,0.0538,0.0368,0.3868,0.4942
HAGNUniform,5,7.947496652603149,0.17093181610107422,0.1303,0.1601,0.2197,0.1303,0.1521,0.1958,0.2029,0.0535,0.0366,0.3879,0.4908
HAGNUniform,6,7.355022668838501,0.16990184783935547,0.1298,0.1585,0.221,0.1298,0.1525,0.196,0.2034,0.053,0.0368,0.3856,0.4925
HAGNUniform,7,6.738120496273041,0.17155671119689941,0.1298,0.1591,0.2203,0.1298,0.152,0.1953,0.2025,0.0533,0.0368,0.3868,0.4891
HAGNUniform,8,6.163525074720383,0.16960835456848145,0.1299,0.1603,0.2216,0.1299,0.1522,0.1952,0.2023,0.0536,0.037,0.3907,0.4925
HAGNUniform,9,5.683100908994675,0.17082452774047852,0.1303,0.1613,0.2221,0.1303,0.1524,0.1955,0.2023,0.054,0.0371,0.3945,0.493
HAGNUniform,10,5.294981420040131,0.16944003105163574,0.1303,0.1609,0.2229,0.1303,0.1529,0.1956,0.2026,0.054,0.0373,0.3929,0.4936
HAGNUniform,11,4.960434436798096,0.1698765754699707,0.1306,0.1616,0.2254,0.1306,0.1538,0.1958,0.2031,0.0543,0.0377,0.394,0.5003
HAGNUniform,12,4.700405776500702,0.17015695571899414,0.1314,0.1628,0.2269,0.1314,0.1546,0.1968,0.204,0.0547,0.0378,0.3979,0.5025
