Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.246967554092407,0.4779341220855713,0.0101,0.0139,0.0246,0.0101,0.014,0.0166,0.0193,0.0052,0.0048,0.0505,0.092
CSGCNNoWarmup,2,15.24360978603363,0.27699947357177734,0.0126,0.0171,0.0284,0.0126,0.0168,0.0211,0.024,0.0062,0.0055,0.06,0.105
CSGCNNoWarmup,3,15.239012241363525,0.2762727737426758,0.0161,0.0213,0.034,0.0161,0.021,0.0277,0.031,0.0077,0.0065,0.074,0.124
CSGCNNoWarmup,4,15.231948494911194,0.27732014656066895,0.0188,0.0252,0.0384,0.0188,0.0238,0.0322,0.0357,0.0091,0.0074,0.087,0.1395
CSGCNNoWarmup,5,15.221635043621063,0.27716684341430664,0.0212,0.0285,0.0438,0.0212,0.0271,0.0362,0.0402,0.0103,0.0084,0.099,0.158
CSGCNNoWarmup,6,15.206876039505005,0.27590417861938477,0.0229,0.03,0.0484,0.0229,0.0297,0.0408,0.0451,0.0112,0.0092,0.1065,0.171
CSGCNNoWarmup,7,15.186333179473877,0.2780883312225342,0.021,0.0279,0.0448,0.021,0.0273,0.0368,0.0409,0.0105,0.0087,0.102,0.1615
CSGCNNoWarmup,8,15.158430516719818,0.27687716484069824,0.0197,0.0261,0.0411,0.0197,0.0253,0.0341,0.0376,0.0102,0.0081,0.1,0.151
CSGCNNoWarmup,9,15.122691333293915,0.275540828704834,0.0171,0.0227,0.0375,0.0171,0.0224,0.0296,0.0331,0.009,0.0074,0.088,0.14
CSGCNNoWarmup,10,15.078307867050171,0.27632808685302734,0.0147,0.0201,0.0314,0.0147,0.0189,0.0258,0.0286,0.0079,0.0061,0.078,0.118
CSGCNNoWarmup,11,15.022578060626984,0.2811858654022217,0.0126,0.0178,0.0286,0.0126,0.0163,0.0219,0.0244,0.0068,0.0054,0.068,0.106
CSGCNNoWarmup,12,14.957326710224152,0.27912402153015137,0.01,0.013,0.0242,0.01,0.014,0.0189,0.0216,0.0054,0.0048,0.054,0.0935
CSGCNNoWarmup,13,14.880249738693237,0.2749919891357422,0.0085,0.0114,0.0222,0.0085,0.0124,0.016,0.0187,0.0047,0.0044,0.0475,0.0875
CSGCNNoWarmup,14,14.790458083152771,0.27557969093322754,0.0084,0.0115,0.0187,0.0084,0.011,0.0152,0.017,0.0048,0.0038,0.0485,0.0765
CSGCNNoWarmup,15,14.692481517791748,0.40140199661254883,0.0074,0.0095,0.0174,0.0074,0.0104,0.0141,0.0163,0.0039,0.0036,0.0395,0.0725
CSGCNNoWarmup,16,14.586053133010864,0.27963685989379883,0.0075,0.0097,0.0159,0.0075,0.0099,0.0135,0.0153,0.0041,0.0034,0.041,0.0675
CSGCNNoWarmup,17,14.471656024456024,0.28058958053588867,0.0068,0.0086,0.0157,0.0068,0.0095,0.0129,0.0149,0.0037,0.0034,0.0375,0.068
