Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,38.81376266479492,0.969843864440918,0.0047,0.0062,0.0111,0.0047,0.0067,0.0084,0.0099,0.0026,0.0025,0.0254,0.0478
HAGNFixed,2,38.80341899394989,0.9165427684783936,0.0063,0.0085,0.0153,0.0063,0.0088,0.011,0.0127,0.0034,0.0031,0.0334,0.0606
HAGNFixed,3,38.78103697299957,0.7606263160705566,0.0059,0.0085,0.0146,0.0059,0.0082,0.0094,0.0111,0.0033,0.003,0.0328,0.0586
HAGNFixed,4,38.73366165161133,0.7582192420959473,0.0039,0.0058,0.0104,0.0039,0.0057,0.0062,0.0075,0.0022,0.0022,0.0224,0.043
HAGNFixed,5,38.645877957344055,0.7621662616729736,0.0029,0.0041,0.0086,0.0029,0.0046,0.0046,0.0059,0.0018,0.0019,0.0176,0.0368
HAGNFixed,6,38.50857901573181,0.760256290435791,0.0025,0.0034,0.0073,0.0025,0.004,0.0042,0.0054,0.0015,0.0017,0.0152,0.033
HAGNFixed,7,38.327319860458374,0.763430118560791,0.0023,0.003,0.0065,0.0023,0.0036,0.0041,0.0051,0.0014,0.0015,0.0144,0.03
HAGNFixed,8,38.121112287044525,0.7611663341522217,0.0023,0.0031,0.0068,0.0023,0.0037,0.0039,0.005,0.0014,0.0015,0.014,0.031
HAGNFixed,9,37.891579151153564,0.9037439823150635,0.0023,0.0031,0.0067,0.0023,0.0037,0.004,0.005,0.0014,0.0014,0.0142,0.029
HAGNFixed,10,37.664042532444,0.770256757736206,0.0025,0.0035,0.0067,0.0025,0.0038,0.0044,0.0054,0.0015,0.0015,0.0154,0.0302
HAGNFixed,11,37.42778128385544,0.7668678760528564,0.0027,0.0038,0.0073,0.0027,0.004,0.0047,0.0057,0.0017,0.0016,0.0168,0.0316
HAGNFixed,12,37.18090081214905,0.7802011966705322,0.0029,0.0041,0.0079,0.0029,0.0043,0.0048,0.006,0.0017,0.0017,0.017,0.0342
HAGNFixed,13,36.928854405879974,0.7689619064331055,0.0031,0.0045,0.0079,0.0031,0.0045,0.0054,0.0066,0.0018,0.0018,0.0182,0.0354
