Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,12.474778592586517,0.481978178024292,0.0126,0.0201,0.0308,0.0126,0.0166,0.0191,0.0215,0.0064,0.0052,0.0625,0.0975
HAGNFixed,2,12.472387850284576,0.4054739475250244,0.0131,0.0206,0.0317,0.0131,0.0172,0.0199,0.0224,0.0066,0.0054,0.065,0.102
HAGNFixed,3,12.46961098909378,0.2757103443145752,0.0131,0.0197,0.0343,0.0131,0.0185,0.0208,0.024,0.0064,0.0059,0.063,0.1115
HAGNFixed,4,12.46568775177002,0.27220845222473145,0.0155,0.0222,0.0396,0.0155,0.0217,0.0247,0.0284,0.0072,0.0067,0.07,0.1255
HAGNFixed,5,12.460487365722656,0.26456427574157715,0.0176,0.026,0.0369,0.0176,0.0217,0.0265,0.0291,0.0078,0.0062,0.0775,0.117
HAGNFixed,6,12.452895164489746,0.2693490982055664,0.0169,0.0239,0.0374,0.0169,0.022,0.0254,0.0288,0.0071,0.0062,0.07,0.119
HAGNFixed,7,12.443080127239227,0.2569565773010254,0.016,0.024,0.0387,0.016,0.0212,0.0223,0.0254,0.0072,0.0062,0.0705,0.1185
HAGNFixed,8,12.430461823940277,0.2566032409667969,0.0139,0.0208,0.0371,0.0139,0.0196,0.0197,0.0231,0.0065,0.0059,0.064,0.113
HAGNFixed,9,12.413796842098236,0.2638416290283203,0.0126,0.02,0.033,0.0126,0.0173,0.0177,0.0205,0.0062,0.0054,0.0615,0.1025
HAGNFixed,10,12.393453538417816,0.2567451000213623,0.0116,0.0178,0.0309,0.0116,0.0163,0.0168,0.0195,0.0056,0.005,0.0565,0.0975
HAGNFixed,11,12.368190348148346,0.2562682628631592,0.0102,0.0156,0.0275,0.0102,0.0142,0.0146,0.017,0.0051,0.0044,0.0505,0.086
HAGNFixed,12,12.3395437002182,0.2686014175415039,0.0084,0.0122,0.0251,0.0084,0.013,0.0128,0.0155,0.0043,0.0042,0.0425,0.082
HAGNFixed,13,12.30638462305069,0.27805256843566895,0.0074,0.0106,0.0244,0.0074,0.0121,0.0112,0.014,0.0036,0.004,0.0365,0.0775
HAGNFixed,14,12.268746852874756,0.2624220848083496,0.0074,0.0113,0.0224,0.0074,0.0114,0.0107,0.0132,0.0039,0.0039,0.0385,0.0755
HAGNFixed,15,12.227865755558014,0.26368260383605957,0.0072,0.011,0.0207,0.0072,0.0107,0.0104,0.0125,0.0038,0.0036,0.038,0.0705
HAGNFixed,16,12.186928272247314,0.2673494815826416,0.0072,0.0107,0.02,0.0072,0.0106,0.0109,0.013,0.0037,0.0035,0.037,0.068
