Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,15.940079629421234,0.5213415622711182,0.009,0.0113,0.0201,0.009,0.0125,0.0169,0.0193,0.0048,0.0045,0.048,0.085
HAGNGlobal,2,15.936258375644684,0.28995323181152344,0.0105,0.0144,0.0237,0.0105,0.0143,0.0186,0.0214,0.0057,0.0051,0.056,0.0965
HAGNGlobal,3,15.930784940719604,0.28926563262939453,0.0128,0.0183,0.029,0.0128,0.0169,0.0218,0.0247,0.0073,0.006,0.072,0.115
HAGNGlobal,4,15.922016739845276,0.2980923652648926,0.0141,0.0188,0.0315,0.0141,0.0189,0.0253,0.0286,0.0076,0.0065,0.0745,0.122
HAGNGlobal,5,15.908554315567017,0.31307530403137207,0.0139,0.0192,0.0306,0.0139,0.0182,0.0243,0.0273,0.0078,0.0064,0.077,0.1225
HAGNGlobal,6,15.88846480846405,0.3169078826904297,0.0117,0.0165,0.0276,0.0117,0.0159,0.02,0.023,0.0067,0.0057,0.067,0.1105
HAGNGlobal,7,15.860415518283844,0.3094968795776367,0.0095,0.0133,0.0235,0.0095,0.0132,0.0161,0.0186,0.0056,0.0048,0.055,0.093
HAGNGlobal,8,15.821380972862244,0.2901308536529541,0.0077,0.0108,0.0197,0.0077,0.011,0.0134,0.0158,0.0044,0.0041,0.0435,0.0805
HAGNGlobal,9,15.772609531879425,0.28651881217956543,0.0065,0.0092,0.0159,0.0065,0.0089,0.0111,0.0129,0.0038,0.0033,0.037,0.0635
HAGNGlobal,10,15.711822926998138,0.2872955799102783,0.0058,0.0084,0.0147,0.0058,0.0082,0.01,0.012,0.0034,0.0032,0.0335,0.0635
HAGNGlobal,11,15.63753092288971,0.2978370189666748,0.0054,0.0078,0.0138,0.0054,0.0079,0.0096,0.0116,0.0032,0.0031,0.0315,0.0605
HAGNGlobal,12,15.551977813243866,0.29584574699401855,0.0048,0.0067,0.0125,0.0048,0.0072,0.0089,0.0107,0.0029,0.0029,0.029,0.0555
HAGNGlobal,13,15.463239133358002,0.3167901039123535,0.0045,0.0067,0.012,0.0045,0.0066,0.008,0.0096,0.0028,0.0026,0.028,0.0515
HAGNGlobal,14,15.360682427883148,0.31839537620544434,0.0039,0.0053,0.0118,0.0039,0.0064,0.0073,0.0093,0.0022,0.0026,0.0225,0.051
HAGNGlobal,15,15.258822202682495,0.3106234073638916,0.0043,0.0059,0.0118,0.0043,0.0065,0.0077,0.0094,0.0025,0.0026,0.025,0.05
