Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,15.246876120567322,0.4879567623138428,0.01,0.0135,0.0225,0.01,0.0135,0.0172,0.0198,0.0054,0.0048,0.0535,0.092
ASLGCNSymmetric,2,15.24329298734665,0.2950775623321533,0.0132,0.0173,0.0284,0.0132,0.0174,0.0234,0.0263,0.0066,0.0057,0.0655,0.107
ASLGCNSymmetric,3,15.238448202610016,0.300356388092041,0.017,0.0214,0.0354,0.017,0.0221,0.0308,0.0342,0.0082,0.0068,0.0795,0.129
ASLGCNSymmetric,4,15.231173992156982,0.28996753692626953,0.0202,0.0254,0.0415,0.0202,0.0261,0.0361,0.0403,0.0095,0.008,0.091,0.1525
ASLGCNSymmetric,5,15.220379412174225,0.29045748710632324,0.0231,0.0302,0.0461,0.0231,0.0288,0.0398,0.0437,0.0109,0.0086,0.1055,0.163
ASLGCNSymmetric,6,15.205000042915344,0.2903594970703125,0.0249,0.0327,0.0474,0.0249,0.0304,0.0434,0.0472,0.0116,0.009,0.1125,0.17
ASLGCNSymmetric,7,15.18441253900528,0.2917196750640869,0.0269,0.0357,0.0502,0.0269,0.0325,0.0455,0.0497,0.0124,0.0096,0.1195,0.1805
ASLGCNSymmetric,8,15.157571077346802,0.2923552989959717,0.0274,0.036,0.0529,0.0274,0.0336,0.0466,0.0509,0.0129,0.0099,0.123,0.187
ASLGCNSymmetric,9,15.122951865196228,0.2926602363586426,0.0275,0.0362,0.055,0.0275,0.0345,0.0463,0.051,0.013,0.0104,0.123,0.1925
ASLGCNSymmetric,10,15.081460535526276,0.29046630859375,0.0276,0.0366,0.0562,0.0276,0.0348,0.0464,0.0513,0.0132,0.0105,0.1225,0.194
ASLGCNSymmetric,11,15.030859768390656,0.28945350646972656,0.0276,0.0369,0.0585,0.0276,0.0354,0.0466,0.0517,0.0134,0.011,0.1255,0.2015
ASLGCNSymmetric,12,14.972337484359741,0.2940089702606201,0.0269,0.0355,0.0587,0.0269,0.0353,0.0459,0.0513,0.013,0.011,0.121,0.1995
ASLGCNSymmetric,13,14.90473884344101,0.2900698184967041,0.0273,0.0363,0.0584,0.0273,0.0353,0.0458,0.0512,0.013,0.0109,0.1195,0.1995
ASLGCNSymmetric,14,14.829328119754791,0.29950618743896484,0.0275,0.0368,0.0567,0.0275,0.0347,0.0462,0.0509,0.0134,0.0107,0.1235,0.195
ASLGCNSymmetric,15,14.744904160499573,0.29955291748046875,0.0272,0.0364,0.0557,0.0272,0.0342,0.0458,0.0504,0.0133,0.0105,0.1225,0.191
ASLGCNSymmetric,16,14.650550961494446,0.30086803436279297,0.0263,0.0352,0.056,0.0263,0.0341,0.0438,0.049,0.0127,0.0108,0.117,0.195
ASLGCNSymmetric,17,14.549018383026123,0.2956874370574951,0.0263,0.0348,0.0565,0.0263,0.0341,0.0438,0.0487,0.0127,0.0106,0.118,0.1925
ASLGCNSymmetric,18,14.437501430511475,0.28528809547424316,0.0265,0.0363,0.0564,0.0265,0.0337,0.0423,0.0469,0.0132,0.0105,0.1215,0.1915
ASLGCNSymmetric,19,14.320233404636383,0.2807440757751465,0.0257,0.0338,0.0568,0.0257,0.0339,0.0425,0.0476,0.0125,0.0107,0.1145,0.1925
ASLGCNSymmetric,20,14.1906156539917,0.27880120277404785,0.0254,0.0338,0.0556,0.0254,0.0334,0.0419,0.0469,0.0123,0.0104,0.1125,0.187
ASLGCNSymmetric,21,14.06026554107666,0.2795717716217041,0.025,0.0328,0.0533,0.025,0.0325,0.0415,0.0462,0.0121,0.0101,0.1115,0.181
ASLGCNSymmetric,22,13.91170358657837,0.27826404571533203,0.0245,0.032,0.0538,0.0245,0.0326,0.0407,0.0457,0.0119,0.0103,0.1095,0.184
