Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,15.246952056884766,0.4790642261505127,0.0107,0.0151,0.0251,0.0107,0.0143,0.0196,0.022,0.0061,0.0051,0.0585,0.095
HAGNGlobal,2,15.243281066417694,0.2911543846130371,0.0127,0.0179,0.0294,0.0127,0.0172,0.0217,0.0245,0.0069,0.006,0.0675,0.11
HAGNGlobal,3,15.238100588321686,0.2924494743347168,0.0144,0.0199,0.0345,0.0144,0.0198,0.0243,0.0279,0.0076,0.0067,0.074,0.1265
HAGNGlobal,4,15.229862809181213,0.29779863357543945,0.0159,0.0219,0.0379,0.0159,0.022,0.0262,0.0304,0.0082,0.0075,0.0785,0.14
HAGNGlobal,5,15.217598676681519,0.28432321548461914,0.0165,0.0219,0.0407,0.0165,0.0235,0.028,0.0325,0.0084,0.008,0.081,0.1505
HAGNGlobal,6,15.199511349201202,0.2838742733001709,0.0162,0.0213,0.0405,0.0162,0.0232,0.0276,0.032,0.0083,0.0077,0.0775,0.1425
HAGNGlobal,7,15.17468112707138,0.28197336196899414,0.0161,0.0228,0.0401,0.0161,0.0228,0.0265,0.0311,0.0078,0.0077,0.075,0.143
HAGNGlobal,8,15.141846418380737,0.28666186332702637,0.0155,0.0221,0.0372,0.0155,0.021,0.025,0.0286,0.0076,0.0068,0.075,0.129
HAGNGlobal,9,15.099083006381989,0.28517651557922363,0.0141,0.0199,0.0339,0.0141,0.0192,0.0229,0.0261,0.0068,0.006,0.0665,0.1135
HAGNGlobal,10,15.046962022781372,0.2848236560821533,0.0134,0.0188,0.0326,0.0134,0.0184,0.0214,0.0245,0.0063,0.0058,0.0625,0.1095
HAGNGlobal,11,14.984708845615387,0.2884681224822998,0.0125,0.0185,0.0294,0.0125,0.0167,0.0187,0.0216,0.006,0.0053,0.059,0.1015
HAGNGlobal,12,14.912897825241089,0.28541088104248047,0.0123,0.018,0.0296,0.0123,0.0168,0.0186,0.0217,0.0057,0.0053,0.0555,0.1015
HAGNGlobal,13,14.830394864082336,0.2842867374420166,0.011,0.016,0.0284,0.011,0.0157,0.0165,0.0197,0.0052,0.0051,0.051,0.098
HAGNGlobal,14,14.739597082138062,0.2815275192260742,0.0106,0.0159,0.0271,0.0106,0.0149,0.0156,0.0187,0.0052,0.005,0.0505,0.096
HAGNGlobal,15,14.635618329048157,0.29152703285217285,0.0105,0.0156,0.0267,0.0105,0.0148,0.015,0.0182,0.0049,0.005,0.048,0.0955
HAGNGlobal,16,14.528622448444366,0.30131077766418457,0.0105,0.0163,0.0257,0.0105,0.0142,0.0147,0.0175,0.005,0.0046,0.048,0.089
