Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,72.08466666936874,1.62381911277771,0.0079,0.0027,0.0057,0.0079,0.0082,0.0233,0.0281,0.0075,0.0077,0.0715,0.14
HAGNFixed,2,72.06739741563797,1.423367977142334,0.0075,0.0027,0.0054,0.0075,0.0075,0.0211,0.0251,0.0077,0.0073,0.0745,0.1325
HAGNFixed,3,72.02223706245422,1.3748655319213867,0.0066,0.0024,0.0047,0.0066,0.0068,0.0185,0.0224,0.0067,0.0065,0.0645,0.1225
HAGNFixed,4,71.91088449954987,1.4000415802001953,0.0051,0.002,0.0042,0.0051,0.0055,0.0144,0.0178,0.0052,0.0055,0.052,0.1035
HAGNFixed,5,71.75674933195114,1.4154438972473145,0.0051,0.0019,0.0043,0.0051,0.0057,0.0149,0.0188,0.0049,0.0056,0.0475,0.107
HAGNFixed,6,71.57801949977875,1.4156150817871094,0.0056,0.0021,0.004,0.0056,0.0056,0.0162,0.0193,0.0054,0.0053,0.0515,0.0995
HAGNFixed,7,71.40827459096909,1.4156620502471924,0.0055,0.0022,0.0047,0.0055,0.0061,0.0149,0.0192,0.0056,0.0062,0.0535,0.1155
HAGNFixed,8,71.24196982383728,1.4329330921173096,0.006,0.0022,0.0045,0.006,0.0061,0.0176,0.0212,0.0058,0.0058,0.055,0.107
HAGNFixed,9,71.04695475101471,1.4183359146118164,0.006,0.0023,0.0046,0.006,0.0061,0.017,0.0203,0.006,0.0059,0.0575,0.108
HAGNFixed,10,70.85071688890457,1.420405387878418,0.0061,0.0023,0.0047,0.0061,0.0063,0.0171,0.0208,0.0061,0.0061,0.0575,0.1125
HAGNFixed,11,70.60463666915894,1.4137670993804932,0.0067,0.0026,0.0052,0.0067,0.0069,0.0187,0.0225,0.0068,0.0067,0.0655,0.1225
HAGNFixed,12,70.31929141283035,1.4199035167694092,0.0066,0.0025,0.0049,0.0066,0.0066,0.0186,0.0221,0.0065,0.0063,0.0635,0.115
