Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.940070152282715,0.48918652534484863,0.0113,0.0158,0.0257,0.0113,0.0151,0.0188,0.0217,0.0058,0.0051,0.057,0.0985
CSGCNNoWarmup,2,15.93650233745575,0.3134291172027588,0.0128,0.0166,0.033,0.0128,0.0188,0.0227,0.0266,0.0064,0.0064,0.0635,0.122
CSGCNNoWarmup,3,15.93181997537613,0.2977008819580078,0.0163,0.0221,0.0366,0.0163,0.0218,0.0277,0.0313,0.0083,0.0072,0.083,0.1375
CSGCNNoWarmup,4,15.924682319164276,0.2993431091308594,0.0198,0.0273,0.0431,0.0198,0.0256,0.0326,0.0364,0.0099,0.0081,0.0965,0.153
CSGCNNoWarmup,5,15.914314925670624,0.31240153312683105,0.0215,0.031,0.0503,0.0215,0.0287,0.034,0.0388,0.0103,0.009,0.1005,0.1715
CSGCNNoWarmup,6,15.899506568908691,0.2953619956970215,0.0222,0.0301,0.05,0.0222,0.0295,0.0352,0.0399,0.0101,0.0088,0.099,0.168
CSGCNNoWarmup,7,15.879600584506989,0.2986729145050049,0.0211,0.0284,0.045,0.0211,0.0272,0.034,0.0379,0.0096,0.008,0.0955,0.1525
CSGCNNoWarmup,8,15.852299332618713,0.3232431411743164,0.02,0.0272,0.0418,0.02,0.0254,0.0316,0.0353,0.009,0.0074,0.088,0.1415
CSGCNNoWarmup,9,15.818286716938019,0.2957949638366699,0.0184,0.0253,0.0377,0.0184,0.0229,0.0281,0.0312,0.0081,0.0065,0.079,0.1255
CSGCNNoWarmup,10,15.774050772190094,0.2944679260253906,0.0157,0.0226,0.0327,0.0157,0.0195,0.0233,0.026,0.0072,0.0056,0.069,0.108
CSGCNNoWarmup,11,15.72166395187378,0.31598925590515137,0.0135,0.0198,0.0306,0.0135,0.0173,0.0192,0.0217,0.0059,0.005,0.056,0.095
CSGCNNoWarmup,12,15.657128274440765,0.29616260528564453,0.0114,0.0168,0.026,0.0114,0.0146,0.0163,0.0183,0.0052,0.0041,0.0495,0.0795
CSGCNNoWarmup,13,15.582993030548096,0.2923929691314697,0.01,0.0148,0.0243,0.01,0.0134,0.0141,0.0163,0.0045,0.0039,0.0425,0.074
CSGCNNoWarmup,14,15.501245737075806,0.2962052822113037,0.0093,0.0143,0.0215,0.0093,0.0119,0.0129,0.0146,0.0042,0.0034,0.0405,0.0645
CSGCNNoWarmup,15,15.412813484668732,0.31741905212402344,0.0084,0.0127,0.0213,0.0084,0.0114,0.012,0.0137,0.0039,0.0034,0.037,0.063
CSGCNNoWarmup,16,15.317063868045807,0.2940075397491455,0.008,0.0118,0.0199,0.008,0.0109,0.0118,0.0136,0.0036,0.0032,0.0345,0.0595
CSGCNNoWarmup,17,15.22767561674118,0.2942538261413574,0.0076,0.0111,0.0202,0.0076,0.0107,0.011,0.0128,0.0035,0.0032,0.0335,0.061
