Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,6.236314356327057,0.3486757278442383,0.0277,0.0469,0.075,0.0277,0.0358,0.0267,0.0296,0.007,0.0059,0.0695,0.1135
HAGNGlobal,2,6.235001921653748,0.14220690727233887,0.0311,0.0552,0.0819,0.0311,0.0388,0.0288,0.0317,0.0082,0.0065,0.0815,0.125
HAGNGlobal,3,6.233543872833252,0.1407158374786377,0.0359,0.061,0.0961,0.0359,0.0457,0.0347,0.0382,0.0093,0.0074,0.092,0.1445
HAGNGlobal,4,6.231745660305023,0.14130640029907227,0.0419,0.0718,0.1125,0.0419,0.0531,0.0401,0.0441,0.0109,0.0086,0.1075,0.1675
HAGNGlobal,5,6.2295116782188416,0.1396496295928955,0.0471,0.0816,0.1238,0.0471,0.0589,0.0445,0.0487,0.0121,0.0094,0.1195,0.182
HAGNGlobal,6,6.2267261147499084,0.1401824951171875,0.0531,0.0886,0.1374,0.0531,0.0667,0.051,0.0558,0.013,0.0102,0.128,0.198
HAGNGlobal,7,6.223244905471802,0.14208698272705078,0.0562,0.0923,0.1502,0.0562,0.0722,0.0542,0.0597,0.0134,0.0111,0.1325,0.2135
HAGNGlobal,8,6.2191042304039,0.14561891555786133,0.0591,0.0969,0.1562,0.0591,0.0756,0.057,0.0629,0.0142,0.0115,0.1385,0.2225
HAGNGlobal,9,6.213949263095856,0.1506342887878418,0.0634,0.1062,0.1661,0.0634,0.08,0.0607,0.0665,0.0153,0.0123,0.1505,0.237
HAGNGlobal,10,6.207741022109985,0.14642548561096191,0.0659,0.1094,0.1667,0.0659,0.0819,0.0635,0.0693,0.0157,0.0123,0.1535,0.2385
HAGNGlobal,11,6.2003039717674255,0.15259456634521484,0.0666,0.1114,0.1678,0.0666,0.0823,0.0639,0.0695,0.0161,0.0123,0.158,0.2385
HAGNGlobal,12,6.191773355007172,0.15106606483459473,0.0679,0.1171,0.1755,0.0679,0.084,0.0636,0.069,0.0168,0.0128,0.1645,0.2455
HAGNGlobal,13,6.182001769542694,0.15237689018249512,0.0676,0.1162,0.1773,0.0676,0.0845,0.0636,0.0696,0.0166,0.0129,0.1625,0.2505
HAGNGlobal,14,6.170677363872528,0.15049386024475098,0.067,0.1158,0.1742,0.067,0.0835,0.0626,0.0685,0.0164,0.0127,0.1605,0.246
HAGNGlobal,15,6.157746970653534,0.14183473587036133,0.068,0.1194,0.1777,0.068,0.0843,0.0625,0.0685,0.0167,0.0129,0.163,0.2505
HAGNGlobal,16,6.14307165145874,0.14201688766479492,0.0678,0.1205,0.1737,0.0678,0.0828,0.0617,0.0672,0.0169,0.0125,0.1655,0.244
HAGNGlobal,17,6.1270864605903625,0.14095067977905273,0.0688,0.1204,0.1746,0.0688,0.084,0.0631,0.0686,0.0169,0.0125,0.165,0.2435
HAGNGlobal,18,6.110072135925293,0.14191198348999023,0.0683,0.121,0.1744,0.0683,0.0832,0.0619,0.0672,0.017,0.0125,0.1655,0.242
HAGNGlobal,19,6.090351700782776,0.1409151554107666,0.0683,0.1206,0.1769,0.0683,0.0838,0.0616,0.0671,0.0169,0.0126,0.166,0.245
HAGNGlobal,20,6.068296015262604,0.25657033920288086,0.0674,0.1181,0.1752,0.0674,0.0832,0.0613,0.0669,0.0166,0.0125,0.163,0.2425
HAGNGlobal,21,6.046276271343231,0.14382147789001465,0.067,0.1162,0.1775,0.067,0.0839,0.0613,0.0671,0.0164,0.0126,0.1605,0.244
HAGNGlobal,22,6.021720886230469,0.14123201370239258,0.0672,0.118,0.1777,0.0672,0.0835,0.061,0.0664,0.0166,0.0126,0.163,0.2435
HAGNGlobal,23,5.995705842971802,0.1405472755432129,0.0664,0.117,0.1739,0.0664,0.0819,0.0607,0.066,0.0164,0.0123,0.1615,0.239
HAGNGlobal,24,5.968546986579895,0.1402580738067627,0.065,0.1126,0.172,0.065,0.0813,0.0604,0.066,0.0159,0.0123,0.156,0.2375
HAGNGlobal,25,5.937922775745392,0.14062213897705078,0.0642,0.1119,0.1713,0.0642,0.0804,0.0595,0.0649,0.0159,0.0122,0.156,0.2365
HAGNGlobal,26,5.9070183634758,0.14066767692565918,0.0629,0.1087,0.1681,0.0629,0.0791,0.0585,0.064,0.0154,0.012,0.152,0.2335
HAGNGlobal,27,5.874277770519257,0.14003586769104004,0.063,0.1094,0.1656,0.063,0.0785,0.0586,0.0639,0.0154,0.0118,0.152,0.2305
HAGNGlobal,28,5.83992463350296,0.14042401313781738,0.0629,0.1088,0.1652,0.0629,0.0784,0.0585,0.0639,0.0153,0.0118,0.1505,0.23
