Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,4.15482097864151,0.270709753036499,0.0991,0.1163,0.1653,0.0991,0.118,0.1776,0.186,0.0446,0.033,0.382,0.502
HAGNFixed,2,4.152465105056763,0.07082176208496094,0.1089,0.131,0.1828,0.1089,0.1292,0.1899,0.1979,0.051,0.0374,0.42,0.536
HAGNFixed,3,4.14979213476181,0.07119536399841309,0.1135,0.1392,0.1962,0.1135,0.136,0.196,0.2042,0.0542,0.0408,0.44,0.564
HAGNFixed,4,4.146541178226471,0.07059669494628906,0.115,0.1419,0.2035,0.115,0.139,0.1986,0.2091,0.056,0.0425,0.448,0.602
HAGNFixed,5,4.142669141292572,0.07094907760620117,0.115,0.1407,0.2012,0.115,0.1388,0.1983,0.2089,0.0562,0.0424,0.458,0.614
HAGNFixed,6,4.137815773487091,0.07113432884216309,0.1144,0.137,0.1987,0.1144,0.1383,0.2005,0.2109,0.0562,0.0423,0.45,0.602
HAGNFixed,7,4.132000803947449,0.07126712799072266,0.1092,0.1292,0.1932,0.1092,0.1338,0.1945,0.2052,0.0536,0.0411,0.43,0.586
HAGNFixed,8,4.1250699162483215,0.07045388221740723,0.1052,0.1244,0.1858,0.1052,0.1285,0.1894,0.1999,0.0516,0.0395,0.42,0.574
HAGNFixed,9,4.11697655916214,0.06985116004943848,0.0983,0.1178,0.1778,0.0983,0.1212,0.1771,0.1872,0.0486,0.0378,0.404,0.55
HAGNFixed,10,4.1074318289756775,0.07052946090698242,0.0927,0.1094,0.1659,0.0927,0.1145,0.1692,0.1793,0.0456,0.0359,0.382,0.526
HAGNFixed,11,4.096940994262695,0.1815485954284668,0.089,0.1036,0.1573,0.089,0.1094,0.1646,0.1748,0.043,0.0335,0.36,0.504
HAGNFixed,12,4.084208309650421,0.07371115684509277,0.0828,0.096,0.1506,0.0828,0.1036,0.1539,0.1644,0.0396,0.0318,0.336,0.486
HAGNFixed,13,4.07003527879715,0.0695044994354248,0.0781,0.0916,0.1451,0.0781,0.098,0.1452,0.1559,0.0384,0.0304,0.322,0.476
HAGNFixed,14,4.0541815757751465,0.07182741165161133,0.074,0.0859,0.1359,0.074,0.093,0.1399,0.1499,0.0358,0.0286,0.308,0.45
HAGNFixed,15,4.03676164150238,0.07107710838317871,0.0693,0.081,0.1323,0.0693,0.0882,0.1321,0.142,0.0342,0.0278,0.298,0.444
HAGNFixed,16,4.016634166240692,0.06928062438964844,0.0662,0.0767,0.1221,0.0662,0.0832,0.1278,0.1373,0.0322,0.0256,0.278,0.414
