Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,13.860537648200989,0.5487017631530762,0.0345,0.0575,0.0823,0.0345,0.0413,0.0305,0.0328,0.0071,0.0053,0.0712,0.1044
CSGCNNoWarmup,2,13.856779754161835,0.3324868679046631,0.0536,0.0858,0.1161,0.0536,0.0619,0.0484,0.0513,0.0106,0.0074,0.1046,0.1454
CSGCNNoWarmup,3,13.850999236106873,0.3488144874572754,0.0701,0.1094,0.1469,0.0701,0.0802,0.064,0.0673,0.0135,0.0092,0.1334,0.1818
CSGCNNoWarmup,4,13.841470777988434,0.33453369140625,0.087,0.1318,0.1712,0.087,0.0977,0.0806,0.0842,0.0163,0.0109,0.1616,0.2144
CSGCNNoWarmup,5,13.82688969373703,0.4575655460357666,0.0974,0.1491,0.1941,0.0974,0.1099,0.0897,0.0938,0.0184,0.0124,0.1822,0.243
CSGCNNoWarmup,6,13.805513739585876,0.3337407112121582,0.1057,0.1609,0.208,0.1057,0.1187,0.0972,0.1015,0.0199,0.0133,0.196,0.2586
CSGCNNoWarmup,7,13.775973081588745,0.3318319320678711,0.1122,0.1705,0.2147,0.1122,0.1245,0.103,0.1071,0.0212,0.0139,0.208,0.2682
CSGCNNoWarmup,8,13.737437307834625,0.3310587406158447,0.1146,0.174,0.2222,0.1146,0.1278,0.1053,0.1096,0.0218,0.0143,0.2136,0.2768
CSGCNNoWarmup,9,13.68878436088562,0.32850074768066406,0.1166,0.1771,0.2253,0.1166,0.13,0.1075,0.1119,0.0221,0.0146,0.2166,0.2812
CSGCNNoWarmup,10,13.629814326763153,0.3459608554840088,0.1193,0.1805,0.2311,0.1193,0.1333,0.111,0.1157,0.0225,0.015,0.2206,0.2892
CSGCNNoWarmup,11,13.559140503406525,0.33945274353027344,0.1196,0.1813,0.2334,0.1196,0.1339,0.1113,0.1161,0.0227,0.0151,0.222,0.2918
CSGCNNoWarmup,12,13.477055490016937,0.4291715621948242,0.1202,0.1824,0.2362,0.1202,0.1349,0.1117,0.1165,0.0228,0.0152,0.2232,0.294
CSGCNNoWarmup,13,13.38373327255249,0.3306574821472168,0.1202,0.1824,0.2381,0.1202,0.1354,0.1113,0.1164,0.0227,0.0153,0.2226,0.297
CSGCNNoWarmup,14,13.27965223789215,0.3300817012786865,0.1194,0.182,0.2378,0.1194,0.1348,0.1104,0.1156,0.0227,0.0153,0.222,0.298
CSGCNNoWarmup,15,13.165838897228241,0.32921600341796875,0.1206,0.1852,0.2381,0.1206,0.1352,0.1108,0.1158,0.023,0.0154,0.2254,0.299
CSGCNNoWarmup,16,13.03792953491211,0.3285524845123291,0.12,0.1835,0.2394,0.12,0.1354,0.1104,0.1156,0.0229,0.0155,0.224,0.3002
CSGCNNoWarmup,17,12.902684271335602,0.3296670913696289,0.1194,0.182,0.2387,0.1194,0.1351,0.11,0.1153,0.0226,0.0154,0.2218,0.2984
CSGCNNoWarmup,18,12.7571941614151,0.3478505611419678,0.119,0.1833,0.2391,0.119,0.1344,0.109,0.1142,0.0229,0.0154,0.2242,0.2988
CSGCNNoWarmup,19,12.600918531417847,0.33751416206359863,0.1191,0.1834,0.2378,0.1191,0.134,0.109,0.114,0.0229,0.0153,0.2242,0.2972
CSGCNNoWarmup,20,12.437051713466644,0.42577385902404785,0.1182,0.1818,0.2376,0.1182,0.1335,0.1081,0.1133,0.0226,0.0153,0.2216,0.297
CSGCNNoWarmup,21,12.260851383209229,0.3315126895904541,0.1187,0.1821,0.2372,0.1187,0.1338,0.1088,0.1139,0.0227,0.0153,0.2224,0.2962
CSGCNNoWarmup,22,12.084571242332458,0.33145785331726074,0.1179,0.1808,0.2381,0.1179,0.1336,0.108,0.1133,0.0224,0.0153,0.2206,0.2974
CSGCNNoWarmup,23,11.898625373840332,0.33006834983825684,0.1186,0.1822,0.2383,0.1186,0.134,0.1085,0.1136,0.0226,0.0154,0.2232,0.2984
CSGCNNoWarmup,24,11.699933648109436,0.3297109603881836,0.1182,0.1816,0.2379,0.1182,0.1336,0.1082,0.1133,0.0225,0.0153,0.2214,0.297
CSGCNNoWarmup,25,11.499193370342255,0.3303971290588379,0.1178,0.18,0.2381,0.1178,0.1337,0.1079,0.1132,0.0223,0.0153,0.22,0.2974
CSGCNNoWarmup,26,11.29728502035141,0.32991909980773926,0.1181,0.1815,0.2377,0.1181,0.1336,0.1079,0.113,0.0225,0.0153,0.2218,0.2968
