Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,6.2342100739479065,0.3853909969329834,0.2691,0.3567,0.4257,0.2691,0.2888,0.2833,0.2893,0.0499,0.0305,0.46,0.5465
CSGCNNoWarmup,2,6.230305433273315,0.1456298828125,0.3152,0.4141,0.4879,0.3152,0.3366,0.3325,0.3389,0.0597,0.0361,0.5365,0.629
CSGCNNoWarmup,3,6.2249743938446045,0.1424250602722168,0.3526,0.4614,0.5389,0.3526,0.3752,0.3732,0.3795,0.0677,0.0406,0.5925,0.684
CSGCNNoWarmup,4,6.21750146150589,0.14271807670593262,0.3798,0.4947,0.5722,0.3798,0.4021,0.4017,0.4078,0.074,0.0436,0.634,0.722
CSGCNNoWarmup,5,6.207256615161896,0.14272856712341309,0.3975,0.5173,0.5973,0.3975,0.421,0.4192,0.4254,0.0782,0.0461,0.662,0.748
CSGCNNoWarmup,6,6.193647921085358,0.1432337760925293,0.4124,0.534,0.6092,0.4124,0.4349,0.4336,0.4393,0.081,0.0475,0.6795,0.7585
CSGCNNoWarmup,7,6.175877332687378,0.14578723907470703,0.4219,0.5485,0.6244,0.4219,0.4443,0.4423,0.4473,0.0838,0.049,0.6995,0.7725
CSGCNNoWarmup,8,6.1535303592681885,0.1431131362915039,0.4262,0.5535,0.6299,0.4262,0.4492,0.4474,0.4526,0.0849,0.0499,0.7035,0.777
CSGCNNoWarmup,9,6.126182317733765,0.14530062675476074,0.4306,0.5592,0.636,0.4306,0.4536,0.4507,0.4558,0.0863,0.0505,0.7095,0.7815
CSGCNNoWarmup,10,6.093234658241272,0.14363312721252441,0.43,0.5602,0.6364,0.43,0.453,0.4498,0.455,0.0866,0.0506,0.71,0.7825
CSGCNNoWarmup,11,6.054414987564087,0.14219236373901367,0.4284,0.5617,0.6376,0.4284,0.4511,0.447,0.4523,0.087,0.0507,0.71,0.7845
CSGCNNoWarmup,12,6.009294748306274,0.1405198574066162,0.424,0.5582,0.6369,0.424,0.4475,0.4408,0.4463,0.0867,0.0508,0.706,0.785
CSGCNNoWarmup,13,5.957431435585022,0.14135122299194336,0.4207,0.5518,0.6359,0.4207,0.4458,0.4379,0.444,0.0857,0.0507,0.698,0.782
CSGCNNoWarmup,14,5.899874150753021,0.14188003540039062,0.4178,0.55,0.6307,0.4178,0.442,0.4343,0.4397,0.0853,0.0504,0.6985,0.777
CSGCNNoWarmup,15,5.834049820899963,0.14164185523986816,0.4139,0.5483,0.6265,0.4139,0.4373,0.4286,0.4339,0.085,0.0501,0.6935,0.7705
CSGCNNoWarmup,16,5.7624141573905945,0.14197993278503418,0.4088,0.5435,0.622,0.4088,0.4324,0.4226,0.4281,0.0841,0.0498,0.688,0.767
CSGCNNoWarmup,17,5.6836495995521545,0.1456005573272705,0.4041,0.5391,0.6211,0.4041,0.4285,0.4171,0.4229,0.0836,0.0497,0.682,0.7655
CSGCNNoWarmup,18,5.598453879356384,0.14332008361816406,0.3979,0.5306,0.6203,0.3979,0.4246,0.4105,0.4169,0.0819,0.0495,0.6715,0.764
CSGCNNoWarmup,19,5.509192705154419,0.14308452606201172,0.3949,0.5295,0.6155,0.3949,0.4206,0.4059,0.4119,0.0817,0.0491,0.6705,0.758
CSGCNNoWarmup,20,5.410060167312622,0.25985097885131836,0.3913,0.5238,0.6106,0.3913,0.4172,0.4021,0.4083,0.0807,0.0486,0.6635,0.7515
