Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,30.496143639087677,1.7940089702606201,0.0066,0.0064,0.0121,0.0066,0.009,0.0164,0.0198,0.0054,0.0053,0.0515,0.1005
ASLGCNSymmetric,2,30.489950716495514,0.6119132041931152,0.0082,0.0084,0.0145,0.0082,0.0107,0.0205,0.0237,0.0069,0.0062,0.068,0.1165
ASLGCNSymmetric,3,30.480119168758392,0.617485761642456,0.0097,0.0087,0.017,0.0097,0.0131,0.026,0.0305,0.0074,0.0075,0.0725,0.1395
ASLGCNSymmetric,4,30.463644683361053,0.6007144451141357,0.0106,0.01,0.0171,0.0106,0.0135,0.0271,0.0313,0.0083,0.0075,0.0805,0.1415
ASLGCNSymmetric,5,30.437261879444122,0.6114211082458496,0.0112,0.0104,0.0171,0.0112,0.0139,0.0285,0.0324,0.0086,0.0075,0.0845,0.1425
ASLGCNSymmetric,6,30.397776007652283,0.6087567806243896,0.0117,0.0106,0.0169,0.0117,0.014,0.0302,0.0335,0.0092,0.0075,0.0905,0.1415
ASLGCNSymmetric,7,30.34187400341034,0.6121976375579834,0.0111,0.0103,0.0171,0.0111,0.0139,0.0282,0.0322,0.0084,0.0075,0.083,0.142
ASLGCNSymmetric,8,30.268443703651428,0.6004948616027832,0.0108,0.0098,0.0169,0.0108,0.0138,0.0288,0.0329,0.0077,0.0073,0.0765,0.138
ASLGCNSymmetric,9,30.174689531326294,0.5915935039520264,0.0103,0.0096,0.0168,0.0103,0.0133,0.0261,0.0303,0.0077,0.0073,0.0765,0.1385
ASLGCNSymmetric,10,30.057506203651428,0.5836799144744873,0.0097,0.0094,0.0155,0.0097,0.0122,0.0241,0.0276,0.0078,0.0068,0.0775,0.128
ASLGCNSymmetric,11,29.921010494232178,0.6040904521942139,0.0095,0.0088,0.0162,0.0095,0.0125,0.0237,0.0277,0.0073,0.0071,0.0725,0.133
ASLGCNSymmetric,12,29.763937652111053,0.6144435405731201,0.0089,0.0085,0.0155,0.0089,0.0119,0.022,0.0259,0.007,0.0067,0.069,0.1255
ASLGCNSymmetric,13,29.586279809474945,0.6167945861816406,0.0086,0.0083,0.0151,0.0086,0.0115,0.021,0.025,0.0069,0.0067,0.0675,0.126
ASLGCNSymmetric,14,29.387126564979553,0.6028149127960205,0.0084,0.0081,0.0148,0.0084,0.0112,0.0206,0.0245,0.0065,0.0064,0.063,0.12
ASLGCNSymmetric,15,29.1654771566391,0.6247811317443848,0.0084,0.0081,0.0146,0.0084,0.0111,0.0208,0.0245,0.0065,0.0063,0.0635,0.1185
ASLGCNSymmetric,16,28.926771342754364,0.601539134979248,0.0083,0.0077,0.0147,0.0083,0.0113,0.0212,0.0252,0.0062,0.0064,0.06,0.1185
ASLGCNSymmetric,17,28.677837133407593,0.5918440818786621,0.0087,0.0081,0.0146,0.0087,0.0113,0.0221,0.0256,0.0066,0.0062,0.064,0.116
