Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.940065622329712,0.4966297149658203,0.0117,0.0153,0.0232,0.0117,0.0149,0.0214,0.0239,0.0061,0.0052,0.0605,0.097
CSGCNNoWarmup,2,15.936566293239594,0.29024553298950195,0.0128,0.0157,0.0267,0.0128,0.017,0.0254,0.0282,0.0069,0.0059,0.0665,0.1095
CSGCNNoWarmup,3,15.931696712970734,0.2910194396972656,0.0147,0.0183,0.0331,0.0147,0.0202,0.0284,0.032,0.0078,0.007,0.076,0.1305
CSGCNNoWarmup,4,15.924361228942871,0.29256558418273926,0.0164,0.0201,0.0373,0.0164,0.0226,0.032,0.036,0.009,0.0077,0.086,0.143
CSGCNNoWarmup,5,15.913506269454956,0.2918698787689209,0.0179,0.0221,0.0382,0.0179,0.0241,0.0338,0.038,0.0094,0.0081,0.0895,0.1515
CSGCNNoWarmup,6,15.897910833358765,0.29302096366882324,0.0187,0.0232,0.0423,0.0187,0.0257,0.0349,0.0394,0.0097,0.0087,0.093,0.16
CSGCNNoWarmup,7,15.876664996147156,0.2878451347351074,0.0188,0.0248,0.0452,0.0188,0.0264,0.0339,0.0386,0.0101,0.009,0.0975,0.165
CSGCNNoWarmup,8,15.84835833311081,0.28898024559020996,0.0189,0.0252,0.0447,0.0189,0.0262,0.0341,0.0387,0.01,0.0089,0.0955,0.164
CSGCNNoWarmup,9,15.81176769733429,0.2861459255218506,0.0175,0.0232,0.0443,0.0175,0.0252,0.0303,0.0353,0.0091,0.0086,0.0885,0.1615
CSGCNNoWarmup,10,15.76719206571579,0.2875387668609619,0.0166,0.0228,0.0377,0.0166,0.0223,0.0291,0.0331,0.0089,0.0077,0.087,0.145
CSGCNNoWarmup,11,15.711001932621002,0.2857248783111572,0.0145,0.02,0.0366,0.0145,0.0208,0.0252,0.0297,0.0077,0.0073,0.076,0.14
CSGCNNoWarmup,12,15.64740765094757,0.2869281768798828,0.0137,0.0187,0.0328,0.0137,0.0192,0.0239,0.0279,0.0072,0.0068,0.071,0.13
CSGCNNoWarmup,13,15.569540619850159,0.2882039546966553,0.0131,0.0178,0.0285,0.0131,0.0172,0.0223,0.0253,0.007,0.0059,0.0685,0.1125
CSGCNNoWarmup,14,15.482966005802155,0.28885722160339355,0.0118,0.0166,0.0269,0.0118,0.0157,0.0199,0.0226,0.0066,0.0054,0.0645,0.105
CSGCNNoWarmup,15,15.384321689605713,0.28998231887817383,0.0116,0.016,0.0263,0.0116,0.0155,0.0196,0.0225,0.0063,0.0054,0.062,0.1055
CSGCNNoWarmup,16,15.275925397872925,0.2868185043334961,0.011,0.0152,0.0238,0.011,0.0143,0.0184,0.0208,0.0061,0.0049,0.06,0.095
CSGCNNoWarmup,17,15.156689822673798,0.2879776954650879,0.0104,0.0143,0.023,0.0104,0.0137,0.0175,0.02,0.0057,0.0048,0.057,0.094
CSGCNNoWarmup,18,15.032597124576569,0.2862660884857178,0.01,0.0138,0.0225,0.01,0.0133,0.0167,0.0192,0.0054,0.0047,0.054,0.0915
CSGCNNoWarmup,19,14.899704277515411,0.29790472984313965,0.0099,0.0139,0.0222,0.0099,0.0131,0.0167,0.019,0.0055,0.0046,0.0545,0.089
