Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,13.167972207069397,0.4515726566314697,0.0101,0.0141,0.027,0.0101,0.0149,0.0163,0.0196,0.005,0.005,0.05,0.098
HAGNUniform,2,13.165655374526978,0.37477993965148926,0.0113,0.0166,0.0312,0.0113,0.0168,0.0177,0.0215,0.0054,0.0056,0.054,0.1085
HAGNUniform,3,13.163270652294159,0.24843406677246094,0.0126,0.0187,0.0338,0.0126,0.018,0.0193,0.0226,0.0061,0.0058,0.061,0.1115
HAGNUniform,4,13.160067975521088,0.24852967262268066,0.0133,0.0205,0.0371,0.0133,0.0193,0.0197,0.0233,0.0065,0.0063,0.0645,0.1205
HAGNUniform,5,13.155838251113892,0.2468869686126709,0.0151,0.0221,0.0363,0.0151,0.0204,0.0233,0.0269,0.0071,0.0064,0.07,0.123
HAGNUniform,6,13.150273203849792,0.24746060371398926,0.0161,0.0233,0.0387,0.0161,0.0219,0.0247,0.0283,0.0074,0.0067,0.0725,0.125
HAGNUniform,7,13.143213748931885,0.24612164497375488,0.0167,0.0242,0.0393,0.0167,0.0224,0.0259,0.0295,0.0077,0.0068,0.076,0.1305
HAGNUniform,8,13.13367909193039,0.24665379524230957,0.0159,0.0223,0.0398,0.0159,0.022,0.0247,0.0283,0.0073,0.0066,0.072,0.1245
HAGNUniform,9,13.122056782245636,0.2457714080810547,0.0154,0.0212,0.0371,0.0154,0.0212,0.0241,0.0277,0.0069,0.0063,0.0675,0.1205
HAGNUniform,10,13.107814252376556,0.24531888961791992,0.0147,0.0199,0.0356,0.0147,0.0205,0.0233,0.027,0.0066,0.0062,0.064,0.118
HAGNUniform,11,13.090524554252625,0.24990463256835938,0.0136,0.0177,0.0338,0.0136,0.0194,0.0218,0.0253,0.0062,0.0059,0.06,0.112
HAGNUniform,12,13.069853961467743,0.24479222297668457,0.012,0.0166,0.0336,0.012,0.018,0.0182,0.0218,0.0059,0.0059,0.0565,0.111
HAGNUniform,13,13.04474002122879,0.24487566947937012,0.0109,0.0158,0.0306,0.0109,0.0164,0.0161,0.0196,0.0055,0.0056,0.053,0.105
HAGNUniform,14,13.016512989997864,0.2448723316192627,0.0106,0.016,0.028,0.0106,0.0151,0.0159,0.0188,0.0055,0.0052,0.054,0.0965
HAGNUniform,15,12.98667162656784,0.2449491024017334,0.0099,0.0153,0.028,0.0099,0.0146,0.0144,0.0174,0.0054,0.0052,0.053,0.0975
HAGNUniform,16,12.95336127281189,0.24610471725463867,0.0094,0.0144,0.0267,0.0094,0.014,0.0138,0.0169,0.005,0.005,0.049,0.0945
HAGNUniform,17,12.916451334953308,0.25819993019104004,0.0094,0.0146,0.0259,0.0094,0.0138,0.0136,0.0165,0.0051,0.0049,0.05,0.0925
HAGNUniform,18,12.877131462097168,0.24966025352478027,0.0092,0.0145,0.0253,0.0092,0.0135,0.0132,0.0162,0.0048,0.0048,0.0465,0.091
