Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,8.314842581748962,0.3755326271057129,0.0462,0.0693,0.1032,0.0462,0.0562,0.0493,0.0534,0.0112,0.0087,0.111,0.1695
ASLGCNSymmetric,2,8.312274694442749,0.1731109619140625,0.0559,0.0879,0.1251,0.0559,0.0668,0.0584,0.0628,0.0144,0.0106,0.1425,0.205
ASLGCNSymmetric,3,8.309084355831146,0.18062806129455566,0.068,0.1049,0.1489,0.068,0.0809,0.0726,0.0777,0.0172,0.0126,0.1695,0.243
ASLGCNSymmetric,4,8.305129647254944,0.17677545547485352,0.0785,0.1229,0.1751,0.0785,0.094,0.0823,0.0884,0.02,0.0148,0.1955,0.2825
ASLGCNSymmetric,5,8.299773037433624,0.17897701263427734,0.0883,0.1417,0.1967,0.0883,0.1049,0.0911,0.0977,0.0229,0.0169,0.2225,0.319
ASLGCNSymmetric,6,8.292612195014954,0.17170071601867676,0.0997,0.152,0.2093,0.0997,0.1168,0.1055,0.1122,0.0247,0.0179,0.2385,0.3355
ASLGCNSymmetric,7,8.28405475616455,0.17052078247070312,0.105,0.1578,0.2227,0.105,0.1242,0.113,0.1204,0.0259,0.019,0.2485,0.3555
ASLGCNSymmetric,8,8.273809254169464,0.17105531692504883,0.111,0.1669,0.2339,0.111,0.1312,0.1195,0.1272,0.0272,0.0202,0.2625,0.3725
ASLGCNSymmetric,9,8.260223627090454,0.1706240177154541,0.1164,0.1753,0.2444,0.1164,0.1374,0.1254,0.1333,0.0285,0.0212,0.2735,0.386
ASLGCNSymmetric,10,8.245665311813354,0.17141032218933105,0.1202,0.1806,0.252,0.1202,0.1415,0.1294,0.1374,0.0298,0.0217,0.284,0.397
ASLGCNSymmetric,11,8.228692829608917,0.17046451568603516,0.1234,0.1859,0.2593,0.1234,0.1451,0.1324,0.1404,0.0308,0.0223,0.293,0.408
ASLGCNSymmetric,12,8.208714604377747,0.16943740844726562,0.1253,0.1882,0.263,0.1253,0.1478,0.1353,0.1437,0.0314,0.0228,0.2965,0.416
ASLGCNSymmetric,13,8.185621201992035,0.1716468334197998,0.1278,0.1968,0.267,0.1278,0.1487,0.1356,0.1436,0.0326,0.0231,0.3055,0.4215
ASLGCNSymmetric,14,8.16067260503769,0.16983771324157715,0.1282,0.198,0.2662,0.1282,0.1488,0.1361,0.1438,0.0329,0.0233,0.3075,0.4215
ASLGCNSymmetric,15,8.132205128669739,0.17045044898986816,0.1291,0.201,0.2702,0.1291,0.1498,0.1355,0.143,0.0336,0.0236,0.3135,0.4265
ASLGCNSymmetric,16,8.102125704288483,0.17570114135742188,0.1279,0.1968,0.2673,0.1279,0.149,0.1354,0.1431,0.0332,0.0233,0.3095,0.4195
ASLGCNSymmetric,17,8.068857371807098,0.28485751152038574,0.1291,0.1955,0.2715,0.1291,0.1517,0.1377,0.1459,0.0332,0.0237,0.3085,0.4255
ASLGCNSymmetric,18,8.032504856586456,0.17144083976745605,0.1295,0.1967,0.2701,0.1295,0.1515,0.1387,0.1469,0.0334,0.0238,0.311,0.428
ASLGCNSymmetric,19,7.991229236125946,0.1713254451751709,0.1302,0.1991,0.272,0.1302,0.152,0.1388,0.1468,0.0338,0.024,0.3145,0.432
ASLGCNSymmetric,20,7.9537729024887085,0.17922353744506836,0.13,0.1979,0.2712,0.13,0.1517,0.1386,0.1466,0.0337,0.0238,0.314,0.4305
ASLGCNSymmetric,21,7.9050949811935425,0.17548131942749023,0.129,0.1958,0.2702,0.129,0.1511,0.1385,0.1467,0.0333,0.0238,0.31,0.4305
ASLGCNSymmetric,22,7.860067784786224,0.17268729209899902,0.1287,0.1949,0.2709,0.1287,0.1513,0.1381,0.1465,0.0331,0.0238,0.308,0.429
ASLGCNSymmetric,23,7.8072469830513,0.16974759101867676,0.1287,0.1964,0.2714,0.1287,0.151,0.1374,0.1456,0.0332,0.0238,0.31,0.4305
ASLGCNSymmetric,24,7.763330161571503,0.16553449630737305,0.1285,0.1955,0.2726,0.1285,0.1517,0.1371,0.1458,0.0329,0.0241,0.306,0.4335
ASLGCNSymmetric,25,7.712472856044769,0.16590404510498047,0.1279,0.1932,0.2693,0.1279,0.1509,0.137,0.1457,0.0325,0.0238,0.3035,0.4285
ASLGCNSymmetric,26,7.654201984405518,0.1650843620300293,0.1278,0.1933,0.2663,0.1278,0.1498,0.1366,0.145,0.0326,0.0236,0.3055,0.4265
ASLGCNSymmetric,27,7.587965548038483,0.16530489921569824,0.1251,0.1893,0.268,0.1251,0.1486,0.1342,0.1429,0.0323,0.0237,0.302,0.4275
ASLGCNSymmetric,28,7.531444013118744,0.16586899757385254,0.1255,0.1892,0.2661,0.1255,0.1484,0.135,0.1434,0.0325,0.0235,0.3035,0.4245
ASLGCNSymmetric,29,7.474467098712921,0.16652584075927734,0.1257,0.1899,0.2651,0.1257,0.1481,0.1353,0.1435,0.0325,0.0233,0.303,0.4215
ASLGCNSymmetric,30,7.403022468090057,0.16693329811096191,0.1238,0.19,0.2666,0.1238,0.1466,0.1324,0.1408,0.0325,0.0235,0.302,0.423
