Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,15.246973097324371,0.46949172019958496,0.0103,0.0135,0.0236,0.0103,0.014,0.0187,0.021,0.006,0.0051,0.0575,0.094
HAGNUniform,2,15.243515133857727,0.28063249588012695,0.0118,0.0146,0.027,0.0118,0.0162,0.0219,0.0247,0.0067,0.0057,0.0625,0.1055
HAGNUniform,3,15.238617539405823,0.2767486572265625,0.0127,0.0162,0.0275,0.0127,0.017,0.0236,0.0264,0.0072,0.0061,0.07,0.1125
HAGNUniform,4,15.230889737606049,0.2767953872680664,0.012,0.0139,0.0253,0.012,0.0162,0.023,0.0259,0.0063,0.0055,0.0605,0.103
HAGNUniform,5,15.21907389163971,0.2728157043457031,0.0104,0.0136,0.024,0.0104,0.0143,0.0182,0.021,0.0058,0.0052,0.0575,0.099
HAGNUniform,6,15.201354622840881,0.2732217311859131,0.0091,0.0134,0.0215,0.0091,0.0123,0.0153,0.0176,0.0052,0.0045,0.052,0.0865
HAGNUniform,7,15.175345718860626,0.27295732498168945,0.0064,0.0087,0.017,0.0064,0.0095,0.0107,0.0131,0.0036,0.0036,0.0365,0.072
HAGNUniform,8,15.140450477600098,0.2731812000274658,0.0059,0.0073,0.0135,0.0059,0.0081,0.0107,0.0123,0.0031,0.0028,0.031,0.0555
HAGNUniform,9,15.094939231872559,0.27383971214294434,0.0051,0.0062,0.0102,0.0051,0.0066,0.0091,0.0105,0.0026,0.0024,0.0265,0.0465
HAGNUniform,10,15.036400973796844,0.2735753059387207,0.0038,0.0047,0.0089,0.0038,0.0054,0.0073,0.0087,0.0021,0.0021,0.021,0.0415
HAGNUniform,11,14.970265626907349,0.27129697799682617,0.0033,0.0037,0.0085,0.0033,0.0051,0.0069,0.0084,0.0018,0.002,0.0175,0.0405
HAGNUniform,12,14.892897844314575,0.27255940437316895,0.0039,0.0045,0.0079,0.0039,0.0053,0.0078,0.0091,0.0021,0.002,0.021,0.0395
HAGNUniform,13,14.804658591747284,0.27462148666381836,0.0037,0.0041,0.0072,0.0037,0.0049,0.0078,0.0089,0.0019,0.0017,0.019,0.0345
HAGNUniform,14,14.717384994029999,0.27309226989746094,0.004,0.0042,0.007,0.004,0.005,0.0086,0.0096,0.002,0.0017,0.02,0.0345
