Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,38.81369698047638,1.0485949516296387,0.0047,0.0063,0.0112,0.0047,0.0065,0.009,0.0105,0.0028,0.0025,0.0282,0.0494
HAGNFixed,2,38.80324935913086,0.9991204738616943,0.0057,0.0081,0.0147,0.0057,0.0081,0.01,0.0117,0.0034,0.0031,0.0342,0.061
HAGNFixed,3,38.780594885349274,0.8527853488922119,0.007,0.0099,0.0155,0.007,0.0091,0.0123,0.014,0.0037,0.0031,0.037,0.0618
HAGNFixed,4,38.7321680188179,0.8284964561462402,0.0055,0.0071,0.0132,0.0055,0.0077,0.0101,0.0117,0.0028,0.0026,0.028,0.0518
HAGNFixed,5,38.64217537641525,0.8422646522521973,0.0043,0.0056,0.0093,0.0043,0.0057,0.0079,0.009,0.0023,0.002,0.0232,0.0396
HAGNFixed,6,38.504742205142975,0.8220937252044678,0.0039,0.0052,0.0086,0.0039,0.0053,0.007,0.0081,0.0021,0.0019,0.021,0.037
HAGNFixed,7,38.324885964393616,0.8511464595794678,0.0037,0.0046,0.0087,0.0037,0.0052,0.0067,0.0079,0.0021,0.0019,0.0204,0.0378
HAGNFixed,8,38.11594569683075,0.8082234859466553,0.0037,0.0044,0.009,0.0037,0.0054,0.0071,0.0084,0.0019,0.002,0.019,0.0386
HAGNFixed,9,37.90494728088379,0.9793775081634521,0.0042,0.005,0.0094,0.0042,0.0059,0.0082,0.0095,0.0022,0.0021,0.0214,0.0412
HAGNFixed,10,37.658881306648254,0.7969753742218018,0.0043,0.0055,0.0096,0.0043,0.0059,0.0079,0.0092,0.0023,0.0022,0.0234,0.042
HAGNFixed,11,37.438625276088715,0.8008813858032227,0.0047,0.0059,0.0101,0.0047,0.0063,0.0085,0.0097,0.0025,0.0022,0.0248,0.0428
HAGNFixed,12,37.17862993478775,0.7880496978759766,0.0049,0.0059,0.0104,0.0049,0.0067,0.0091,0.0104,0.0025,0.0023,0.025,0.0452
HAGNFixed,13,36.92770212888718,0.8050696849822998,0.0052,0.0065,0.0106,0.0052,0.0068,0.0094,0.0107,0.0027,0.0023,0.027,0.0452
HAGNFixed,14,36.641811549663544,0.8287510871887207,0.0053,0.0069,0.0119,0.0053,0.0072,0.0094,0.0109,0.0029,0.0025,0.0284,0.0496
