Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,30.49628907442093,0.747103214263916,0.0059,0.0052,0.0101,0.0059,0.0079,0.0159,0.0185,0.005,0.0047,0.0495,0.0875
HAGNUniform,2,30.490102350711823,0.5465941429138184,0.0064,0.0057,0.012,0.0064,0.0088,0.0166,0.0199,0.0054,0.0054,0.053,0.1025
HAGNUniform,3,30.47954648733139,0.5464236736297607,0.0066,0.0067,0.0123,0.0066,0.009,0.0164,0.0197,0.0056,0.0053,0.054,0.1025
HAGNUniform,4,30.458622217178345,0.5462887287139893,0.0043,0.0045,0.0086,0.0043,0.0062,0.0103,0.0127,0.0038,0.0039,0.0375,0.074
HAGNUniform,5,30.418845653533936,0.5460960865020752,0.0039,0.0035,0.0064,0.0039,0.0052,0.011,0.013,0.0031,0.003,0.031,0.059
HAGNUniform,6,30.351241052150726,0.5438790321350098,0.0027,0.003,0.0053,0.0027,0.0038,0.0061,0.0076,0.0027,0.0025,0.0265,0.048
HAGNUniform,7,30.260300755500793,0.5558414459228516,0.0022,0.0024,0.0046,0.0022,0.0033,0.0051,0.0067,0.0023,0.0023,0.0225,0.0445
HAGNUniform,8,30.146646201610565,0.5446271896362305,0.002,0.0021,0.0051,0.002,0.0034,0.0049,0.0068,0.0021,0.0025,0.0205,0.05
HAGNUniform,9,30.02693510055542,0.5430779457092285,0.0019,0.0018,0.0045,0.0019,0.0031,0.005,0.0066,0.002,0.0022,0.0195,0.0435
HAGNUniform,10,29.91280633211136,0.5442795753479004,0.0019,0.0019,0.0041,0.0019,0.0029,0.0049,0.0064,0.002,0.0021,0.0195,0.041
HAGNUniform,11,29.81970500946045,0.5475597381591797,0.0022,0.0019,0.0041,0.0022,0.0031,0.0059,0.0072,0.002,0.0021,0.02,0.041
HAGNUniform,12,29.717021644115448,0.5436499118804932,0.0023,0.002,0.0043,0.0023,0.0033,0.0067,0.0081,0.002,0.0021,0.02,0.0405
HAGNUniform,13,29.596375346183777,0.543351411819458,0.0027,0.0026,0.0049,0.0027,0.0037,0.0072,0.0086,0.0023,0.0023,0.0235,0.044
HAGNUniform,14,29.46769142150879,0.5424289703369141,0.0028,0.0028,0.0051,0.0028,0.0038,0.0073,0.0087,0.0026,0.0025,0.0265,0.0485
