Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,15.93990170955658,0.49835801124572754,0.0095,0.0127,0.0239,0.0095,0.0138,0.0176,0.0207,0.0054,0.0052,0.054,0.1
ASLGCNSymmetric,2,15.936215877532959,0.29436421394348145,0.0116,0.0158,0.0287,0.0116,0.0167,0.0204,0.024,0.0066,0.0062,0.065,0.118
ASLGCNSymmetric,3,15.93112587928772,0.2962667942047119,0.0142,0.0205,0.0365,0.0142,0.0203,0.0236,0.0277,0.0085,0.0075,0.083,0.143
ASLGCNSymmetric,4,15.92343819141388,0.29691004753112793,0.0175,0.0242,0.0405,0.0175,0.0236,0.0305,0.0346,0.0099,0.0083,0.097,0.158
ASLGCNSymmetric,5,15.91239881515503,0.2941615581512451,0.019,0.0261,0.0446,0.019,0.0261,0.033,0.0378,0.0105,0.0093,0.103,0.1755
ASLGCNSymmetric,6,15.896704971790314,0.2954294681549072,0.0195,0.0258,0.0483,0.0195,0.0282,0.0354,0.0412,0.0106,0.0101,0.103,0.1875
ASLGCNSymmetric,7,15.875098168849945,0.3011655807495117,0.0224,0.0301,0.0495,0.0224,0.03,0.0405,0.0458,0.0119,0.0104,0.116,0.1945
ASLGCNSymmetric,8,15.847110271453857,0.29180192947387695,0.022,0.0289,0.0502,0.022,0.0301,0.0404,0.046,0.0117,0.0104,0.1135,0.1945
ASLGCNSymmetric,9,15.811414301395416,0.2908897399902344,0.0222,0.029,0.05,0.0222,0.0301,0.0408,0.0462,0.0117,0.0103,0.113,0.1915
ASLGCNSymmetric,10,15.768045783042908,0.28894853591918945,0.0219,0.0292,0.0503,0.0219,0.0299,0.0397,0.045,0.0115,0.0102,0.113,0.1895
ASLGCNSymmetric,11,15.716066122055054,0.2883739471435547,0.0205,0.0273,0.049,0.0205,0.0287,0.0375,0.0428,0.011,0.01,0.108,0.1865
ASLGCNSymmetric,12,15.654193699359894,0.2851409912109375,0.0197,0.0263,0.0459,0.0197,0.027,0.0359,0.0405,0.0107,0.0093,0.1045,0.1735
ASLGCNSymmetric,13,15.584295749664307,0.2809007167816162,0.0194,0.0257,0.0417,0.0194,0.0256,0.0355,0.0398,0.0103,0.0087,0.1,0.1635
ASLGCNSymmetric,14,15.50374549627304,0.28054070472717285,0.0177,0.0231,0.0399,0.0177,0.0242,0.0327,0.0372,0.0096,0.0084,0.0925,0.157
ASLGCNSymmetric,15,15.416082262992859,0.28025364875793457,0.0175,0.023,0.0387,0.0175,0.0236,0.032,0.0362,0.0094,0.0081,0.0915,0.153
ASLGCNSymmetric,16,15.31645256280899,0.2801337242126465,0.0173,0.0232,0.0381,0.0173,0.0229,0.0313,0.035,0.0095,0.0079,0.0925,0.1475
ASLGCNSymmetric,17,15.209795653820038,0.39860010147094727,0.0163,0.0213,0.0358,0.0163,0.0218,0.0302,0.0338,0.0088,0.0074,0.0865,0.139
ASLGCNSymmetric,18,15.093055725097656,0.30787110328674316,0.0163,0.022,0.0362,0.0163,0.0216,0.0296,0.0331,0.0089,0.0074,0.0875,0.14
