Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,15.24685949087143,0.46860647201538086,0.0102,0.0144,0.0245,0.0102,0.014,0.017,0.0195,0.0054,0.0047,0.0535,0.0905
HAGNFixed,2,15.242767632007599,0.27883386611938477,0.0121,0.0182,0.0298,0.0121,0.0166,0.0193,0.0223,0.0068,0.0058,0.0675,0.1105
HAGNFixed,3,15.236805498600006,0.2842278480529785,0.015,0.0212,0.0349,0.015,0.0201,0.0248,0.0279,0.008,0.0068,0.0795,0.128
HAGNFixed,4,15.227171182632446,0.27721118927001953,0.0168,0.0227,0.0348,0.0168,0.0213,0.0286,0.0317,0.0086,0.0068,0.082,0.1285
HAGNFixed,5,15.21218490600586,0.27829813957214355,0.016,0.0216,0.0345,0.016,0.0208,0.0278,0.0309,0.0082,0.0067,0.0795,0.1255
HAGNFixed,6,15.190152287483215,0.27751898765563965,0.0129,0.0176,0.0291,0.0129,0.0172,0.0218,0.0247,0.0066,0.0057,0.0635,0.107
HAGNFixed,7,15.159452438354492,0.27752256393432617,0.0098,0.0129,0.022,0.0098,0.0133,0.0172,0.0194,0.0049,0.0044,0.048,0.082
HAGNFixed,8,15.117801249027252,0.27753186225891113,0.0089,0.0121,0.0201,0.0089,0.0118,0.0155,0.0173,0.0047,0.0039,0.0465,0.074
HAGNFixed,9,15.064752995967865,0.2770388126373291,0.0079,0.0104,0.0166,0.0079,0.0101,0.0145,0.016,0.0042,0.0033,0.042,0.065
HAGNFixed,10,15.003387153148651,0.2769179344177246,0.0059,0.0076,0.0151,0.0059,0.0088,0.0111,0.0133,0.0031,0.0031,0.031,0.0615
HAGNFixed,11,14.92906141281128,0.27510976791381836,0.0058,0.0076,0.0141,0.0058,0.0083,0.0109,0.0127,0.0031,0.003,0.0315,0.059
HAGNFixed,12,14.845928251743317,0.2778806686401367,0.0051,0.0064,0.0123,0.0051,0.0073,0.0099,0.0116,0.0028,0.0026,0.0285,0.0525
HAGNFixed,13,14.756305038928986,0.2766554355621338,0.0054,0.007,0.0118,0.0054,0.0072,0.01,0.0114,0.003,0.0025,0.0305,0.051
HAGNFixed,14,14.66176062822342,0.27548956871032715,0.0051,0.0066,0.0125,0.0051,0.0074,0.0097,0.0115,0.0026,0.0026,0.0265,0.053
HAGNFixed,15,14.560486018657684,0.41239213943481445,0.0047,0.0058,0.0125,0.0047,0.0072,0.0089,0.0108,0.0023,0.0026,0.023,0.0525
