Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,30.49618923664093,0.7283697128295898,0.0055,0.0046,0.0087,0.0055,0.0068,0.0147,0.0169,0.0045,0.0041,0.0445,0.078
HAGNGlobal,2,30.489990711212158,0.5360348224639893,0.006,0.0058,0.0108,0.006,0.0079,0.0145,0.0175,0.0054,0.0051,0.053,0.096
HAGNGlobal,3,30.47970312833786,0.5350828170776367,0.0067,0.0066,0.0117,0.0067,0.0087,0.0163,0.0191,0.0058,0.0053,0.0555,0.098
HAGNGlobal,4,30.46146708726883,0.5344007015228271,0.007,0.0066,0.0121,0.007,0.0094,0.0177,0.0208,0.0057,0.0055,0.0555,0.1015
HAGNGlobal,5,30.43057519197464,0.5374493598937988,0.0062,0.0058,0.0105,0.0062,0.0081,0.0151,0.0179,0.0053,0.0049,0.05,0.092
HAGNGlobal,6,30.38138473033905,0.5346395969390869,0.0052,0.0045,0.0091,0.0052,0.007,0.0136,0.0164,0.0045,0.0044,0.0435,0.084
HAGNGlobal,7,30.310573160648346,0.5370399951934814,0.0045,0.004,0.0081,0.0045,0.0062,0.0119,0.0144,0.0038,0.0039,0.0365,0.0745
HAGNGlobal,8,30.2132208943367,0.533543586730957,0.004,0.0036,0.0068,0.004,0.0053,0.0104,0.0125,0.0036,0.0034,0.0345,0.066
HAGNGlobal,9,30.09955894947052,0.5343649387359619,0.0038,0.0036,0.0071,0.0038,0.0052,0.0088,0.011,0.0035,0.0035,0.0335,0.0665
HAGNGlobal,10,29.970031082630157,0.5347599983215332,0.0036,0.0034,0.0071,0.0036,0.0051,0.0087,0.011,0.0032,0.0034,0.031,0.066
HAGNGlobal,11,29.83364111185074,0.5330138206481934,0.0034,0.0031,0.0068,0.0034,0.005,0.0084,0.0107,0.0031,0.0033,0.03,0.064
HAGNGlobal,12,29.674295127391815,0.5343060493469238,0.0034,0.0031,0.0068,0.0034,0.0049,0.0083,0.0105,0.0032,0.0033,0.031,0.0645
HAGNGlobal,13,29.527292370796204,0.5408828258514404,0.0034,0.0031,0.0066,0.0034,0.0048,0.0082,0.0104,0.0031,0.0033,0.0305,0.0635
HAGNGlobal,14,29.385423958301544,0.5563623905181885,0.0035,0.0032,0.0068,0.0035,0.005,0.0085,0.0106,0.0032,0.0032,0.031,0.062
HAGNGlobal,15,29.215523540973663,0.5310940742492676,0.0036,0.0033,0.0068,0.0036,0.005,0.0091,0.011,0.0033,0.0031,0.032,0.06
