Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,6.929191946983337,0.3560678958892822,0.0259,0.0445,0.0748,0.0259,0.0344,0.0254,0.0285,0.0067,0.0058,0.067,0.112
ASLGCNSymmetric,2,6.92769718170166,0.15441513061523438,0.0293,0.049,0.0841,0.0293,0.039,0.0291,0.0326,0.0075,0.0065,0.0735,0.1245
ASLGCNSymmetric,3,6.926194667816162,0.15234994888305664,0.0346,0.0567,0.0922,0.0346,0.0446,0.0347,0.0384,0.0085,0.0071,0.083,0.137
ASLGCNSymmetric,4,6.924347519874573,0.15187907218933105,0.0401,0.0651,0.1087,0.0401,0.0522,0.0396,0.0439,0.0098,0.0083,0.096,0.16
ASLGCNSymmetric,5,6.922025501728058,0.15285062789916992,0.0465,0.0761,0.1208,0.0465,0.0589,0.0458,0.0501,0.0114,0.0089,0.1105,0.1735
ASLGCNSymmetric,6,6.919362127780914,0.15255165100097656,0.0523,0.0871,0.1331,0.0523,0.0652,0.0505,0.0551,0.0127,0.01,0.1245,0.193
ASLGCNSymmetric,7,6.915947735309601,0.1518104076385498,0.0575,0.0934,0.1455,0.0575,0.0722,0.0558,0.061,0.0134,0.0108,0.1325,0.2085
ASLGCNSymmetric,8,6.912015497684479,0.15190434455871582,0.0629,0.1043,0.1546,0.0629,0.0771,0.0595,0.0647,0.0151,0.0115,0.147,0.2215
ASLGCNSymmetric,9,6.90710061788559,0.15529227256774902,0.0686,0.1133,0.162,0.0686,0.0824,0.0649,0.07,0.0165,0.0121,0.1595,0.233
ASLGCNSymmetric,10,6.90162056684494,0.15262436866760254,0.0736,0.1236,0.1723,0.0736,0.0873,0.0689,0.0738,0.0179,0.0128,0.1735,0.2465
ASLGCNSymmetric,11,6.894999206066132,0.15216851234436035,0.0778,0.1283,0.1798,0.0778,0.0922,0.0735,0.0787,0.0184,0.0133,0.179,0.255
ASLGCNSymmetric,12,6.887333154678345,0.1572737693786621,0.0807,0.132,0.1873,0.0807,0.0963,0.0765,0.0822,0.0189,0.0138,0.1825,0.264
ASLGCNSymmetric,13,6.8788005113601685,0.15660381317138672,0.0844,0.1378,0.1946,0.0844,0.1004,0.0795,0.0853,0.0196,0.0144,0.189,0.2765
ASLGCNSymmetric,14,6.869173049926758,0.15283894538879395,0.0861,0.1414,0.2019,0.0861,0.1032,0.0812,0.0873,0.02,0.0149,0.1935,0.2845
ASLGCNSymmetric,15,6.856906235218048,0.15134358406066895,0.0891,0.144,0.2023,0.0891,0.1056,0.0845,0.0906,0.0205,0.0149,0.1965,0.2845
ASLGCNSymmetric,16,6.845022737979889,0.15077757835388184,0.0915,0.1493,0.2077,0.0915,0.108,0.0867,0.0927,0.0212,0.0152,0.204,0.291
ASLGCNSymmetric,17,6.831445395946503,0.15278267860412598,0.0931,0.1525,0.2087,0.0931,0.1091,0.0883,0.094,0.0215,0.0152,0.2065,0.289
ASLGCNSymmetric,18,6.816019713878632,0.15882039070129395,0.0944,0.1542,0.2103,0.0944,0.1104,0.0896,0.0954,0.0216,0.0154,0.2075,0.2915
ASLGCNSymmetric,19,6.799661695957184,0.15449905395507812,0.0945,0.1543,0.2106,0.0945,0.1108,0.09,0.0958,0.0216,0.0155,0.2085,0.293
ASLGCNSymmetric,20,6.780617713928223,0.15210556983947754,0.0951,0.1547,0.2157,0.0951,0.1125,0.0901,0.0962,0.0216,0.0158,0.209,0.2965
ASLGCNSymmetric,21,6.761721670627594,0.15613865852355957,0.0957,0.1548,0.2204,0.0957,0.1143,0.0915,0.098,0.0216,0.0161,0.2095,0.3025
ASLGCNSymmetric,22,6.740316808223724,0.1555647850036621,0.0964,0.1576,0.2231,0.0964,0.1149,0.0916,0.098,0.022,0.0161,0.211,0.304
ASLGCNSymmetric,23,6.717069745063782,0.1502540111541748,0.0985,0.1619,0.2226,0.0985,0.1154,0.093,0.0987,0.0229,0.0161,0.2195,0.302
