Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,6.929177820682526,0.3523232936859131,0.0331,0.058,0.0857,0.0331,0.0409,0.0307,0.0335,0.0086,0.0066,0.085,0.127
ASLGCNSymmetric,2,6.927681386470795,0.15433239936828613,0.0371,0.0644,0.1016,0.0371,0.0474,0.0349,0.0384,0.0095,0.0076,0.0935,0.146
ASLGCNSymmetric,3,6.926174461841583,0.15819168090820312,0.0421,0.0768,0.1098,0.0421,0.0514,0.0384,0.0418,0.0111,0.0083,0.108,0.1585
ASLGCNSymmetric,4,6.924285471439362,0.1555631160736084,0.0457,0.0794,0.1197,0.0457,0.057,0.0427,0.0467,0.0115,0.0089,0.112,0.1715
ASLGCNSymmetric,5,6.922083139419556,0.15828561782836914,0.0499,0.086,0.1311,0.0499,0.0624,0.0463,0.0505,0.0126,0.0096,0.1225,0.1845
ASLGCNSymmetric,6,6.919324994087219,0.1596822738647461,0.0555,0.0971,0.1427,0.0555,0.0682,0.0509,0.0552,0.0138,0.0104,0.135,0.1985
ASLGCNSymmetric,7,6.916166543960571,0.16109323501586914,0.0608,0.1041,0.1563,0.0608,0.0754,0.0564,0.0614,0.0146,0.0113,0.1425,0.216
ASLGCNSymmetric,8,6.912206590175629,0.16202449798583984,0.0678,0.1163,0.1668,0.0678,0.0818,0.063,0.0678,0.0162,0.012,0.157,0.23
ASLGCNSymmetric,9,6.907683908939362,0.15996718406677246,0.0719,0.1209,0.1755,0.0719,0.0874,0.0677,0.0733,0.0167,0.0128,0.162,0.2445
ASLGCNSymmetric,10,6.902186453342438,0.15508604049682617,0.0745,0.125,0.1815,0.0745,0.0907,0.0702,0.076,0.0175,0.0133,0.17,0.2545
ASLGCNSymmetric,11,6.896035671234131,0.24002909660339355,0.079,0.1321,0.1875,0.079,0.0948,0.0739,0.0797,0.0184,0.0138,0.1785,0.2615
ASLGCNSymmetric,12,6.8888744711875916,0.15924811363220215,0.0825,0.1387,0.1934,0.0825,0.0982,0.0763,0.0819,0.0192,0.0143,0.187,0.2705
ASLGCNSymmetric,13,6.880362570285797,0.15840959548950195,0.0842,0.1416,0.1969,0.0842,0.1001,0.0775,0.0832,0.0196,0.0146,0.1915,0.2765
ASLGCNSymmetric,14,6.871154069900513,0.15724849700927734,0.0858,0.1424,0.2006,0.0858,0.1025,0.0798,0.0857,0.0197,0.0148,0.193,0.28
ASLGCNSymmetric,15,6.860347330570221,0.1576080322265625,0.0862,0.1428,0.2044,0.0862,0.104,0.0801,0.0865,0.0197,0.0151,0.1915,0.286
ASLGCNSymmetric,16,6.848655104637146,0.15872788429260254,0.0871,0.1422,0.2077,0.0871,0.1061,0.0814,0.0884,0.0197,0.0155,0.191,0.2925
ASLGCNSymmetric,17,6.834944665431976,0.1612691879272461,0.0873,0.1436,0.2111,0.0873,0.1067,0.0811,0.0882,0.02,0.0158,0.1935,0.298
ASLGCNSymmetric,18,6.820416033267975,0.15465831756591797,0.0889,0.1482,0.2123,0.0889,0.1074,0.082,0.0886,0.0207,0.0158,0.2,0.298
ASLGCNSymmetric,19,6.804401636123657,0.2766294479370117,0.0894,0.15,0.2118,0.0894,0.1071,0.082,0.0884,0.021,0.0158,0.203,0.2985
ASLGCNSymmetric,20,6.78632915019989,0.15808582305908203,0.0898,0.151,0.2112,0.0898,0.1073,0.0823,0.0887,0.0211,0.0158,0.204,0.2965
ASLGCNSymmetric,21,6.768092691898346,0.1548018455505371,0.0911,0.1554,0.2143,0.0911,0.1082,0.0822,0.0885,0.0216,0.016,0.208,0.3005
ASLGCNSymmetric,22,6.748317837715149,0.16003203392028809,0.0905,0.1531,0.2134,0.0905,0.1078,0.0822,0.0884,0.0215,0.0159,0.208,0.2985
ASLGCNSymmetric,23,6.726117551326752,0.16118907928466797,0.0895,0.15,0.2136,0.0895,0.1078,0.0819,0.0883,0.0212,0.0159,0.206,0.299
ASLGCNSymmetric,24,6.704566419124603,0.15699553489685059,0.0901,0.1495,0.2167,0.0901,0.1094,0.083,0.0898,0.021,0.0162,0.2045,0.3025
