Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,15.246976494789124,0.4798009395599365,0.0108,0.0141,0.0215,0.0108,0.0137,0.0198,0.0218,0.0055,0.0043,0.0535,0.0825
HAGNUniform,2,15.243483662605286,0.29007625579833984,0.0131,0.0162,0.0251,0.0131,0.0166,0.0251,0.0276,0.0066,0.0054,0.0655,0.1025
HAGNUniform,3,15.238561630249023,0.2886934280395508,0.0136,0.0171,0.0297,0.0136,0.0182,0.0248,0.0279,0.0074,0.0061,0.072,0.117
HAGNUniform,4,15.2309690117836,0.2899749279022217,0.0139,0.0188,0.0308,0.0139,0.0184,0.0243,0.0275,0.0076,0.0064,0.0745,0.1225
HAGNUniform,5,15.219010591506958,0.2856326103210449,0.0126,0.018,0.0306,0.0126,0.0172,0.0214,0.0244,0.007,0.0059,0.069,0.1145
HAGNUniform,6,15.201137363910675,0.28943490982055664,0.0108,0.015,0.0251,0.0108,0.0145,0.0189,0.0215,0.0057,0.005,0.056,0.095
HAGNUniform,7,15.175247430801392,0.29744553565979004,0.0078,0.0101,0.0171,0.0078,0.0104,0.0144,0.0162,0.0043,0.0036,0.042,0.069
HAGNUniform,8,15.139101266860962,0.29822373390197754,0.0064,0.0085,0.0148,0.0064,0.0087,0.0115,0.0132,0.0035,0.0031,0.0345,0.0595
HAGNUniform,9,15.092950344085693,0.28986215591430664,0.0063,0.0084,0.0124,0.0063,0.0078,0.0121,0.0132,0.0036,0.0026,0.035,0.0515
HAGNUniform,10,15.03332394361496,0.2790372371673584,0.0057,0.0074,0.012,0.0057,0.0074,0.0112,0.0125,0.0032,0.0026,0.032,0.0505
HAGNUniform,11,14.961676836013794,0.2766571044921875,0.0051,0.0066,0.0105,0.0051,0.0066,0.0099,0.0112,0.0028,0.0023,0.028,0.0455
HAGNUniform,12,14.886328518390656,0.2788834571838379,0.0042,0.0053,0.0097,0.0042,0.0057,0.0083,0.0094,0.0024,0.0021,0.0245,0.0405
HAGNUniform,13,14.797694206237793,0.2828335762023926,0.0039,0.0047,0.0094,0.0039,0.0055,0.0077,0.0087,0.0022,0.002,0.0225,0.0385
HAGNUniform,14,14.703883349895477,0.27927517890930176,0.0038,0.005,0.0089,0.0038,0.0052,0.0074,0.0085,0.0022,0.0019,0.0215,0.0375
HAGNUniform,15,14.614791691303253,0.29270076751708984,0.0039,0.0051,0.0076,0.0039,0.0049,0.0074,0.0083,0.0022,0.0018,0.022,0.036
