Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,15.93995726108551,0.47441554069519043,0.0096,0.0129,0.0229,0.0096,0.0134,0.0173,0.02,0.0053,0.0048,0.053,0.093
HAGNFixed,2,15.935657918453217,0.28145742416381836,0.0104,0.0142,0.0243,0.0104,0.0143,0.0191,0.0218,0.0057,0.0051,0.057,0.0985
HAGNFixed,3,15.929497957229614,0.27762651443481445,0.0111,0.0152,0.026,0.0111,0.0153,0.0199,0.0229,0.0061,0.0054,0.0605,0.1055
HAGNFixed,4,15.919497549533844,0.27382946014404297,0.011,0.0137,0.0249,0.011,0.0151,0.0204,0.0232,0.0058,0.0051,0.056,0.098
HAGNFixed,5,15.904357731342316,0.2732717990875244,0.0093,0.0125,0.022,0.0093,0.013,0.016,0.0187,0.0051,0.0046,0.0495,0.0885
HAGNFixed,6,15.881070911884308,0.27088427543640137,0.0066,0.0082,0.0169,0.0066,0.0099,0.012,0.0142,0.0034,0.0035,0.0335,0.0665
HAGNFixed,7,15.847730040550232,0.2713911533355713,0.0065,0.0079,0.0137,0.0065,0.0087,0.0122,0.0137,0.0031,0.0028,0.0295,0.0535
HAGNFixed,8,15.803950846195221,0.27016282081604004,0.0059,0.0068,0.0111,0.0059,0.0076,0.0113,0.0126,0.0026,0.0023,0.025,0.0445
HAGNFixed,9,15.747302770614624,0.27030062675476074,0.0057,0.0068,0.01,0.0057,0.0069,0.0104,0.0114,0.0027,0.0021,0.0255,0.0395
HAGNFixed,10,15.676674902439117,0.2694087028503418,0.0052,0.0058,0.0087,0.0052,0.0064,0.0102,0.0111,0.0022,0.0019,0.021,0.035
HAGNFixed,11,15.59994113445282,0.2685728073120117,0.0046,0.0055,0.0093,0.0046,0.0061,0.0091,0.0103,0.0021,0.002,0.0195,0.0375
HAGNFixed,12,15.515445828437805,0.2731139659881592,0.0045,0.0057,0.0095,0.0045,0.0061,0.0088,0.0099,0.0022,0.002,0.021,0.038
HAGNFixed,13,15.423070549964905,0.2679460048675537,0.0046,0.0053,0.0097,0.0046,0.0063,0.0091,0.0103,0.0022,0.0021,0.0215,0.0395
HAGNFixed,14,15.333339393138885,0.27421069145202637,0.0048,0.0058,0.0095,0.0048,0.0062,0.009,0.0101,0.0024,0.002,0.0235,0.039
