Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,15.939999461174011,0.4716148376464844,0.011,0.0153,0.0264,0.011,0.0152,0.0185,0.0214,0.0056,0.0051,0.0545,0.0975
HAGNUniform,2,15.936319947242737,0.28563547134399414,0.0127,0.016,0.0295,0.0127,0.0177,0.0221,0.0256,0.0064,0.0059,0.062,0.113
HAGNUniform,3,15.93130338191986,0.2825915813446045,0.0167,0.0212,0.0335,0.0167,0.0212,0.0296,0.0326,0.0081,0.0065,0.0795,0.1245
HAGNUniform,4,15.92338752746582,0.2799537181854248,0.0157,0.0197,0.0328,0.0157,0.0204,0.0283,0.0314,0.0079,0.0065,0.0755,0.1235
HAGNUniform,5,15.911219000816345,0.2775113582611084,0.012,0.0152,0.0242,0.012,0.0154,0.0221,0.0246,0.0064,0.0052,0.064,0.101
HAGNUniform,6,15.892856359481812,0.2798342704772949,0.0088,0.011,0.0186,0.0088,0.0118,0.0169,0.0193,0.0046,0.004,0.046,0.0805
HAGNUniform,7,15.865743458271027,0.27808141708374023,0.0072,0.0087,0.0143,0.0072,0.0094,0.0136,0.0152,0.0039,0.0032,0.0395,0.0635
HAGNUniform,8,15.827597379684448,0.27541542053222656,0.0055,0.0068,0.0129,0.0055,0.0081,0.0108,0.0128,0.003,0.0031,0.0305,0.0615
HAGNUniform,9,15.779510617256165,0.27425694465637207,0.0043,0.0053,0.0106,0.0043,0.0064,0.0087,0.0103,0.0027,0.0026,0.0275,0.051
HAGNUniform,10,15.718906819820404,0.27524566650390625,0.0039,0.0048,0.0099,0.0039,0.006,0.0079,0.0096,0.0024,0.0025,0.0235,0.049
HAGNUniform,11,15.650687098503113,0.27949953079223633,0.0034,0.0041,0.0094,0.0034,0.0055,0.007,0.0087,0.0021,0.0024,0.0205,0.0465
HAGNUniform,12,15.569221377372742,0.27822065353393555,0.0033,0.0039,0.0087,0.0033,0.0052,0.0066,0.0081,0.0021,0.0022,0.0205,0.0445
HAGNUniform,13,15.493448317050934,0.27649807929992676,0.0034,0.0039,0.0093,0.0034,0.0055,0.007,0.0086,0.0021,0.0023,0.02,0.045
HAGNUniform,14,15.414879858493805,0.2761261463165283,0.0035,0.004,0.009,0.0035,0.0055,0.0073,0.0088,0.0021,0.0022,0.0205,0.0435
