Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,15.246883392333984,0.49750208854675293,0.0119,0.0159,0.0275,0.0119,0.0164,0.0205,0.0238,0.0059,0.0055,0.0585,0.106
ASLGCNSymmetric,2,15.243312656879425,0.2943694591522217,0.0143,0.02,0.0325,0.0143,0.019,0.0244,0.0276,0.0074,0.0063,0.0745,0.122
ASLGCNSymmetric,3,15.238505363464355,0.2945258617401123,0.0181,0.0245,0.0381,0.0181,0.0234,0.0306,0.0345,0.0087,0.0073,0.0845,0.14
ASLGCNSymmetric,4,15.231164038181305,0.29343295097351074,0.0221,0.0281,0.0447,0.0221,0.0282,0.0376,0.0417,0.0105,0.0085,0.1005,0.16
ASLGCNSymmetric,5,15.220504581928253,0.29421567916870117,0.0238,0.0307,0.0502,0.0238,0.0311,0.0412,0.046,0.0115,0.0097,0.1105,0.1805
ASLGCNSymmetric,6,15.205401182174683,0.2911717891693115,0.0258,0.0333,0.0535,0.0258,0.0334,0.0444,0.0498,0.0119,0.0102,0.1135,0.192
ASLGCNSymmetric,7,15.18428784608841,0.2914316654205322,0.0268,0.0354,0.0558,0.0268,0.0345,0.0451,0.0502,0.0125,0.0105,0.1195,0.194
ASLGCNSymmetric,8,15.157853782176971,0.28957676887512207,0.0281,0.0367,0.0612,0.0281,0.0373,0.0479,0.054,0.0129,0.0115,0.1235,0.214
ASLGCNSymmetric,9,15.123383462429047,0.29174041748046875,0.0285,0.0395,0.0649,0.0285,0.038,0.0473,0.0534,0.0137,0.0119,0.131,0.2195
ASLGCNSymmetric,10,15.08150327205658,0.29015374183654785,0.0293,0.0414,0.0632,0.0293,0.0374,0.0477,0.0529,0.0144,0.0116,0.1375,0.2135
ASLGCNSymmetric,11,15.031204581260681,0.2904195785522461,0.0299,0.0421,0.0639,0.0299,0.0381,0.0487,0.0539,0.0146,0.0118,0.14,0.217
ASLGCNSymmetric,12,14.971970736980438,0.29531383514404297,0.0302,0.0423,0.0648,0.0302,0.0385,0.049,0.0542,0.0146,0.0118,0.14,0.218
ASLGCNSymmetric,13,14.905626475811005,0.2918589115142822,0.0288,0.0392,0.0633,0.0288,0.0376,0.0474,0.053,0.0135,0.0114,0.1295,0.2105
ASLGCNSymmetric,14,14.829883813858032,0.2905120849609375,0.0293,0.0395,0.063,0.0293,0.0379,0.0477,0.053,0.0137,0.0114,0.1325,0.211
ASLGCNSymmetric,15,14.745168507099152,0.29012322425842285,0.0288,0.0379,0.0615,0.0288,0.0374,0.0467,0.0522,0.0133,0.0111,0.1265,0.2055
ASLGCNSymmetric,16,14.65049034357071,0.30075621604919434,0.0291,0.039,0.0609,0.0291,0.0371,0.0472,0.0521,0.0137,0.011,0.1305,0.202
ASLGCNSymmetric,17,14.548697113990784,0.30212855339050293,0.0285,0.0379,0.0603,0.0285,0.0366,0.0464,0.0514,0.0134,0.0109,0.127,0.201
ASLGCNSymmetric,18,14.43677681684494,0.2968771457672119,0.0274,0.0372,0.0608,0.0274,0.036,0.0445,0.0499,0.0129,0.0111,0.122,0.203
ASLGCNSymmetric,19,14.318024396896362,0.2920384407043457,0.027,0.0369,0.0593,0.027,0.0351,0.0435,0.0485,0.0129,0.0108,0.1225,0.1975
ASLGCNSymmetric,20,14.191096007823944,0.2932159900665283,0.0262,0.0358,0.0599,0.0262,0.0349,0.0423,0.0477,0.0126,0.0108,0.119,0.199
ASLGCNSymmetric,21,14.059476971626282,0.4166576862335205,0.0265,0.0361,0.0592,0.0265,0.0349,0.0428,0.0481,0.0125,0.0107,0.1185,0.196
ASLGCNSymmetric,22,13.916452646255493,0.29204607009887695,0.0264,0.0365,0.0584,0.0264,0.0344,0.0421,0.047,0.0127,0.0106,0.1205,0.1935
ASLGCNSymmetric,23,13.761922657489777,0.3018465042114258,0.0263,0.0357,0.0575,0.0263,0.0343,0.0424,0.0474,0.0125,0.0104,0.1195,0.1915
