Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,15.246806621551514,0.46877598762512207,0.0111,0.0139,0.0253,0.0111,0.0154,0.0216,0.0245,0.0062,0.0054,0.061,0.103
HAGNGlobal,2,15.243119716644287,0.27480411529541016,0.0139,0.0175,0.0283,0.0139,0.018,0.0258,0.0286,0.0075,0.0061,0.0725,0.1155
HAGNGlobal,3,15.23815381526947,0.26757121086120605,0.0159,0.0191,0.0329,0.0159,0.0211,0.0302,0.0339,0.0082,0.0071,0.0795,0.136
HAGNGlobal,4,15.230717360973358,0.2666640281677246,0.0175,0.0218,0.0353,0.0175,0.0228,0.0324,0.0361,0.0091,0.0077,0.0905,0.148
HAGNGlobal,5,15.219671547412872,0.26769423484802246,0.0168,0.0213,0.0354,0.0168,0.0222,0.031,0.0348,0.0088,0.0074,0.0865,0.143
HAGNGlobal,6,15.204350113868713,0.2633974552154541,0.016,0.0208,0.0356,0.016,0.0219,0.0293,0.0336,0.0083,0.0075,0.0815,0.1445
HAGNGlobal,7,15.182618200778961,0.26370954513549805,0.0148,0.018,0.0328,0.0148,0.0205,0.0275,0.0314,0.0076,0.0069,0.073,0.13
HAGNGlobal,8,15.154463231563568,0.26169562339782715,0.0127,0.0157,0.0274,0.0127,0.0173,0.0231,0.0262,0.0066,0.0059,0.0635,0.111
HAGNGlobal,9,15.118606090545654,0.2627522945404053,0.0111,0.0144,0.0241,0.0111,0.0149,0.0198,0.0224,0.0061,0.0052,0.0585,0.097
HAGNGlobal,10,15.074169397354126,0.2623128890991211,0.0096,0.0125,0.0216,0.0096,0.0133,0.0163,0.0188,0.0051,0.0046,0.05,0.0875
HAGNGlobal,11,15.021123588085175,0.2617781162261963,0.0088,0.0117,0.0191,0.0088,0.0116,0.0153,0.0172,0.005,0.0041,0.049,0.0795
HAGNGlobal,12,14.958067417144775,0.26775050163269043,0.0076,0.0107,0.0172,0.0076,0.0102,0.0128,0.0146,0.0045,0.0037,0.0445,0.0725
HAGNGlobal,13,14.887277364730835,0.2623929977416992,0.0076,0.0109,0.0168,0.0076,0.0098,0.0124,0.0141,0.0046,0.0036,0.0455,0.07
HAGNGlobal,14,14.810963451862335,0.26198720932006836,0.0073,0.01,0.016,0.0073,0.0096,0.0123,0.0139,0.0044,0.0034,0.0425,0.0665
HAGNGlobal,15,14.723867416381836,0.3834092617034912,0.0071,0.0092,0.016,0.0071,0.0098,0.0128,0.0147,0.004,0.0034,0.0395,0.066
