Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,15.939873158931732,0.4893500804901123,0.0085,0.0105,0.0199,0.0085,0.0117,0.0167,0.0188,0.0047,0.0039,0.0445,0.0745
HAGNFixed,2,15.93539583683014,0.28994297981262207,0.0108,0.0144,0.0258,0.0108,0.0151,0.0191,0.0221,0.0058,0.0053,0.0555,0.098
HAGNFixed,3,15.92881691455841,0.28616833686828613,0.0123,0.017,0.029,0.0123,0.0167,0.0204,0.0234,0.0065,0.0057,0.063,0.1055
HAGNFixed,4,15.918023943901062,0.28877973556518555,0.0115,0.0157,0.0313,0.0115,0.0172,0.0196,0.0236,0.006,0.0061,0.057,0.1175
HAGNFixed,5,15.9013392329216,0.29042625427246094,0.011,0.0143,0.0264,0.011,0.0155,0.0181,0.0212,0.0055,0.0051,0.054,0.0985
HAGNFixed,6,15.875734806060791,0.2915627956390381,0.0089,0.0127,0.0219,0.0089,0.0124,0.0147,0.0173,0.0046,0.0044,0.046,0.0845
HAGNFixed,7,15.84060925245285,0.2893810272216797,0.0078,0.0102,0.0168,0.0078,0.0103,0.0142,0.0162,0.004,0.0035,0.04,0.0685
HAGNFixed,8,15.79104858636856,0.2872605323791504,0.0063,0.0084,0.014,0.0063,0.0086,0.0118,0.0138,0.0032,0.0031,0.0325,0.0615
HAGNFixed,9,15.727487802505493,0.28866004943847656,0.0059,0.0075,0.0117,0.0059,0.0075,0.0112,0.0125,0.0031,0.0025,0.031,0.0505
HAGNFixed,10,15.65423047542572,0.28848886489868164,0.0053,0.0069,0.0112,0.0053,0.007,0.0102,0.0116,0.0028,0.0024,0.028,0.0485
HAGNFixed,11,15.570932388305664,0.2876160144805908,0.0052,0.0063,0.0099,0.0052,0.0066,0.0104,0.0116,0.0026,0.0022,0.0265,0.044
HAGNFixed,12,15.476483881473541,0.28868579864501953,0.0052,0.0058,0.0095,0.0052,0.0066,0.0105,0.0117,0.0024,0.0021,0.0245,0.042
HAGNFixed,13,15.379584729671478,0.28926873207092285,0.0053,0.0063,0.0093,0.0053,0.0065,0.0102,0.0112,0.0026,0.0021,0.026,0.041
HAGNFixed,14,15.270443856716156,0.2930293083190918,0.0055,0.0066,0.0095,0.0055,0.0066,0.0105,0.0113,0.0027,0.002,0.0275,0.041
