Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,15.246840953826904,0.46397924423217773,0.0094,0.012,0.0193,0.0094,0.0123,0.0178,0.02,0.0053,0.0044,0.0525,0.0855
HAGNFixed,2,15.242651164531708,0.27867674827575684,0.0108,0.0141,0.0263,0.0108,0.0154,0.0203,0.0235,0.0061,0.0055,0.059,0.107
HAGNFixed,3,15.236420035362244,0.27834153175354004,0.0123,0.0171,0.0272,0.0123,0.0164,0.0229,0.026,0.0068,0.0058,0.0665,0.111
HAGNFixed,4,15.226457238197327,0.2773294448852539,0.0133,0.0164,0.0302,0.0133,0.0183,0.0251,0.0284,0.0069,0.0062,0.069,0.1185
HAGNFixed,5,15.210952937602997,0.2768971920013428,0.0133,0.0176,0.0307,0.0133,0.018,0.0248,0.0277,0.007,0.0059,0.0695,0.1145
HAGNFixed,6,15.188139975070953,0.2777891159057617,0.0123,0.016,0.0291,0.0123,0.0169,0.0224,0.0253,0.0066,0.0055,0.0635,0.106
HAGNFixed,7,15.156260669231415,0.27550625801086426,0.0108,0.0141,0.0233,0.0108,0.0141,0.0194,0.0216,0.0057,0.0045,0.0545,0.087
HAGNFixed,8,15.114639639854431,0.27515506744384766,0.0096,0.0123,0.0213,0.0096,0.0129,0.0175,0.0199,0.0049,0.0042,0.0465,0.0815
HAGNFixed,9,15.060208141803741,0.276308536529541,0.0084,0.0105,0.0199,0.0084,0.0118,0.0155,0.0178,0.0042,0.0039,0.04,0.074
HAGNFixed,10,14.995516121387482,0.27512550354003906,0.0075,0.0095,0.0177,0.0075,0.0105,0.0138,0.016,0.0039,0.0036,0.037,0.0695
HAGNFixed,11,14.919149041175842,0.27525973320007324,0.0074,0.0102,0.0183,0.0074,0.0105,0.0131,0.0153,0.0039,0.0037,0.037,0.0715
HAGNFixed,12,14.83331710100174,0.2742292881011963,0.0063,0.0086,0.0172,0.0063,0.0095,0.0116,0.0138,0.0034,0.0034,0.032,0.0645
HAGNFixed,13,14.739514887332916,0.2743504047393799,0.0063,0.009,0.0176,0.0063,0.0095,0.0112,0.0133,0.0034,0.0035,0.0335,0.066
HAGNFixed,14,14.633127093315125,0.2760903835296631,0.0064,0.0089,0.0158,0.0064,0.0089,0.0117,0.0134,0.0034,0.003,0.033,0.058
HAGNFixed,15,14.531957864761353,0.27492237091064453,0.0064,0.0092,0.015,0.0064,0.0086,0.0115,0.013,0.0035,0.003,0.034,0.0575
HAGNFixed,16,14.4158576130867,0.28524303436279297,0.0064,0.0094,0.0146,0.0064,0.0084,0.011,0.0125,0.0035,0.0029,0.0335,0.055
