Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,15.246970355510712,0.4688889980316162,0.0091,0.013,0.024,0.0091,0.0133,0.0155,0.0185,0.0052,0.0049,0.0505,0.0955
HAGNUniform,2,15.243483304977417,0.2877011299133301,0.0113,0.0152,0.0266,0.0113,0.0154,0.0201,0.0229,0.006,0.0052,0.0585,0.101
HAGNUniform,3,15.238642752170563,0.28807950019836426,0.0124,0.0168,0.0285,0.0124,0.0167,0.0217,0.0247,0.0064,0.0056,0.0635,0.107
HAGNUniform,4,15.231013715267181,0.28707456588745117,0.0117,0.0158,0.0281,0.0117,0.0164,0.0203,0.0234,0.0057,0.0053,0.0565,0.1015
HAGNUniform,5,15.218871653079987,0.2861037254333496,0.0098,0.013,0.0226,0.0098,0.0134,0.0162,0.0186,0.0048,0.0043,0.047,0.083
HAGNUniform,6,15.200507402420044,0.2848343849182129,0.0072,0.0095,0.0171,0.0072,0.0098,0.0127,0.0142,0.0038,0.0032,0.0385,0.062
HAGNUniform,7,15.172404170036316,0.2858397960662842,0.0051,0.0072,0.0143,0.0051,0.0077,0.0085,0.0104,0.003,0.003,0.0295,0.0575
HAGNUniform,8,15.133048415184021,0.2846672534942627,0.0043,0.0061,0.0115,0.0043,0.0062,0.007,0.0083,0.0026,0.0024,0.0255,0.046
HAGNUniform,9,15.080572843551636,0.284714937210083,0.0032,0.0043,0.0092,0.0032,0.005,0.0057,0.0071,0.0019,0.002,0.019,0.0385
HAGNUniform,10,15.013425171375275,0.2855081558227539,0.0031,0.004,0.0085,0.0031,0.0048,0.0064,0.0076,0.0017,0.0018,0.017,0.0355
HAGNUniform,11,14.94157487154007,0.2854042053222656,0.0026,0.0034,0.0072,0.0026,0.0039,0.0048,0.0057,0.0017,0.0016,0.017,0.0315
HAGNUniform,12,14.860327124595642,0.2850184440612793,0.0026,0.0035,0.0069,0.0026,0.0038,0.0048,0.0058,0.0016,0.0015,0.0155,0.0295
HAGNUniform,13,14.783880174160004,0.2848081588745117,0.0024,0.0035,0.0063,0.0024,0.0035,0.0046,0.0054,0.0016,0.0014,0.016,0.0285
HAGNUniform,14,14.712020695209503,0.2863454818725586,0.002,0.0027,0.0065,0.002,0.0035,0.004,0.0052,0.0013,0.0015,0.0125,0.03
