Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,15.24690043926239,0.4765594005584717,0.0093,0.0117,0.0208,0.0093,0.0127,0.0164,0.0187,0.0045,0.0041,0.044,0.0785
HAGNGlobal,2,15.243328511714935,0.28717517852783203,0.0125,0.0165,0.0263,0.0125,0.016,0.0205,0.0227,0.0063,0.005,0.06,0.094
HAGNGlobal,3,15.238184928894043,0.3058359622955322,0.0126,0.0153,0.0288,0.0126,0.0177,0.023,0.0265,0.0061,0.0059,0.0575,0.109
HAGNGlobal,4,15.22990220785141,0.2974245548248291,0.0098,0.0133,0.0246,0.0098,0.0142,0.0168,0.02,0.0053,0.0051,0.053,0.098
HAGNGlobal,5,15.215384602546692,0.27985167503356934,0.0068,0.0086,0.016,0.0068,0.0095,0.0123,0.0142,0.0035,0.0033,0.035,0.0645
HAGNGlobal,6,15.191691815853119,0.2804300785064697,0.0053,0.0072,0.0132,0.0053,0.0074,0.0091,0.0106,0.003,0.0026,0.0295,0.052
HAGNGlobal,7,15.153386890888214,0.2800867557525635,0.0043,0.0052,0.0095,0.0043,0.006,0.0083,0.0096,0.0023,0.0021,0.0225,0.042
HAGNGlobal,8,15.093868911266327,0.28319287300109863,0.0039,0.0052,0.0083,0.0039,0.0051,0.007,0.0079,0.0023,0.0019,0.023,0.0365
HAGNGlobal,9,15.01744693517685,0.28238773345947266,0.0036,0.0041,0.0077,0.0036,0.0051,0.0072,0.0084,0.0019,0.0018,0.0185,0.035
HAGNGlobal,10,14.932645559310913,0.27942895889282227,0.0038,0.0046,0.0071,0.0038,0.0049,0.0074,0.0083,0.0021,0.0017,0.021,0.0335
HAGNGlobal,11,14.830593883991241,0.2808413505554199,0.0037,0.0047,0.0069,0.0037,0.0046,0.0071,0.0079,0.0021,0.0016,0.021,0.032
HAGNGlobal,12,14.740369200706482,0.27964067459106445,0.0038,0.0046,0.0071,0.0038,0.0048,0.0075,0.0083,0.0021,0.0016,0.02,0.032
HAGNGlobal,13,14.649380207061768,0.2814750671386719,0.0037,0.0047,0.0077,0.0037,0.0048,0.007,0.0078,0.0021,0.0017,0.0205,0.033
HAGNGlobal,14,14.57870101928711,0.4268186092376709,0.0038,0.0048,0.0074,0.0038,0.0047,0.007,0.0077,0.0022,0.0016,0.021,0.0315
