Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,4.849104344844818,0.31917858123779297,0.1523,0.2402,0.2954,0.1523,0.1669,0.1324,0.1367,0.0268,0.0169,0.2646,0.3282
CSGCNNoWarmup,2,4.84723836183548,0.12218451499938965,0.1814,0.2774,0.3467,0.1814,0.1997,0.16,0.1655,0.0313,0.0199,0.3067,0.3867
CSGCNNoWarmup,3,4.844972848892212,0.12674450874328613,0.2094,0.3108,0.3884,0.2094,0.2301,0.188,0.1943,0.0353,0.0226,0.3452,0.4372
CSGCNNoWarmup,4,4.842090845108032,0.12266182899475098,0.2326,0.3486,0.4299,0.2326,0.2542,0.2083,0.2147,0.0401,0.0253,0.3897,0.4842
CSGCNNoWarmup,5,4.838373124599457,0.11728358268737793,0.2581,0.3851,0.4553,0.2581,0.2771,0.2324,0.2381,0.0448,0.0269,0.4327,0.5138
CSGCNNoWarmup,6,4.833585619926453,0.12370634078979492,0.2768,0.409,0.4834,0.2768,0.297,0.2512,0.2569,0.0479,0.0289,0.4622,0.5428
CSGCNNoWarmup,7,4.827743232250214,0.11740255355834961,0.2937,0.4281,0.5064,0.2937,0.315,0.2685,0.2747,0.0504,0.0305,0.4797,0.5678
CSGCNNoWarmup,8,4.820456385612488,0.12327265739440918,0.3028,0.4413,0.5256,0.3028,0.3255,0.2764,0.2828,0.0523,0.0317,0.4947,0.5873
CSGCNNoWarmup,9,4.8115609884262085,0.11687040328979492,0.3131,0.4565,0.5399,0.3131,0.3355,0.2862,0.2924,0.0541,0.0326,0.5123,0.6018
CSGCNNoWarmup,10,4.801038205623627,0.12379097938537598,0.3196,0.4632,0.5483,0.3196,0.3427,0.2929,0.2993,0.0549,0.0332,0.5203,0.6128
CSGCNNoWarmup,11,4.788097381591797,0.11748838424682617,0.3232,0.467,0.5529,0.3232,0.3465,0.2963,0.3029,0.0555,0.0335,0.5228,0.6163
CSGCNNoWarmup,12,4.773730516433716,0.12346887588500977,0.3252,0.4707,0.5589,0.3252,0.3489,0.2975,0.3041,0.0561,0.0339,0.5273,0.6223
CSGCNNoWarmup,13,4.756516396999359,0.12304282188415527,0.3243,0.4671,0.5582,0.3243,0.349,0.2974,0.3043,0.0557,0.0339,0.5248,0.6238
CSGCNNoWarmup,14,4.737138032913208,0.11791443824768066,0.3224,0.4693,0.5627,0.3224,0.3476,0.2944,0.301,0.0558,0.0342,0.5293,0.6268
CSGCNNoWarmup,15,4.7149118185043335,0.11722135543823242,0.3201,0.4663,0.559,0.3201,0.3451,0.2923,0.2988,0.0554,0.0339,0.5273,0.6223
CSGCNNoWarmup,16,4.689915895462036,0.11726236343383789,0.3178,0.4655,0.5591,0.3178,0.343,0.2892,0.2957,0.0555,0.034,0.5278,0.6238
CSGCNNoWarmup,17,4.663002908229828,0.23629498481750488,0.3151,0.4645,0.5572,0.3151,0.3402,0.2857,0.2925,0.0552,0.0339,0.5258,0.6233
CSGCNNoWarmup,18,4.631911337375641,0.11763906478881836,0.3125,0.4621,0.5536,0.3125,0.3373,0.2832,0.2901,0.0549,0.0336,0.5233,0.6213
CSGCNNoWarmup,19,4.598848581314087,0.1172945499420166,0.3096,0.4604,0.5516,0.3096,0.3344,0.2799,0.2867,0.0547,0.0335,0.5218,0.6188
CSGCNNoWarmup,20,4.562211096286774,0.11818075180053711,0.3068,0.4538,0.5501,0.3068,0.3329,0.2778,0.2852,0.0541,0.0334,0.5143,0.6183
CSGCNNoWarmup,21,4.522661030292511,0.11690616607666016,0.3042,0.4507,0.5456,0.3042,0.3302,0.2754,0.2828,0.0536,0.0332,0.5103,0.6138
CSGCNNoWarmup,22,4.4805378913879395,0.11632513999938965,0.3022,0.4469,0.5461,0.3022,0.3292,0.2737,0.2813,0.0531,0.0332,0.5063,0.6143
CSGCNNoWarmup,23,4.434255540370941,0.11714720726013184,0.3001,0.4456,0.5445,0.3001,0.3268,0.2712,0.2786,0.053,0.0331,0.5053,0.6133
