Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,6.235333561897278,0.3143002986907959,0.1071,0.1592,0.2097,0.1071,0.1209,0.102,0.1066,0.0198,0.0135,0.1965,0.263
HAGNFixed,2,6.232883870601654,0.1361706256866455,0.1251,0.1878,0.2446,0.1251,0.1407,0.1184,0.1235,0.0238,0.016,0.235,0.3095
HAGNFixed,3,6.229839861392975,0.1338670253753662,0.1429,0.2132,0.2766,0.1429,0.1605,0.1363,0.1419,0.0274,0.0183,0.2695,0.349
HAGNFixed,4,6.225997149944305,0.13343572616577148,0.1617,0.2449,0.3185,0.1617,0.1821,0.153,0.1592,0.0316,0.0213,0.3105,0.401
HAGNFixed,5,6.220955669879913,0.13382983207702637,0.1759,0.2667,0.3383,0.1759,0.1962,0.1648,0.1713,0.0344,0.0228,0.334,0.4255
HAGNFixed,6,6.214507102966309,0.13217854499816895,0.1902,0.2819,0.3588,0.1902,0.2123,0.1799,0.1871,0.0363,0.0244,0.35,0.453
HAGNFixed,7,6.206262588500977,0.132889986038208,0.1991,0.2965,0.3699,0.1991,0.2204,0.1876,0.1946,0.0383,0.0253,0.368,0.4705
HAGNFixed,8,6.1960132122039795,0.13215994834899902,0.2043,0.3036,0.3801,0.2043,0.2263,0.1916,0.1988,0.0393,0.026,0.377,0.481
HAGNFixed,9,6.18384462594986,0.13240742683410645,0.2099,0.308,0.3863,0.2099,0.2323,0.1981,0.2055,0.04,0.0265,0.383,0.4905
HAGNFixed,10,6.169442176818848,0.13259029388427734,0.2109,0.312,0.3857,0.2109,0.2322,0.199,0.206,0.0405,0.0264,0.3885,0.489
HAGNFixed,11,6.151791930198669,0.13433384895324707,0.2104,0.3114,0.392,0.2104,0.2336,0.1987,0.2062,0.0404,0.0269,0.387,0.4965
HAGNFixed,12,6.131796717643738,0.13103151321411133,0.2097,0.3112,0.3948,0.2097,0.2338,0.1985,0.2065,0.0403,0.0271,0.3865,0.5025
HAGNFixed,13,6.11033421754837,0.130751371383667,0.2095,0.3129,0.396,0.2095,0.2332,0.197,0.2048,0.0405,0.0271,0.3885,0.503
HAGNFixed,14,6.084437012672424,0.13107609748840332,0.2089,0.3087,0.3953,0.2089,0.2337,0.1974,0.2055,0.04,0.0271,0.383,0.5015
HAGNFixed,15,6.056901931762695,0.1306467056274414,0.2086,0.3082,0.3941,0.2086,0.2333,0.1976,0.2058,0.0399,0.0271,0.381,0.5005
HAGNFixed,16,6.02549946308136,0.13160347938537598,0.2083,0.3104,0.3921,0.2083,0.2318,0.1967,0.2045,0.0401,0.027,0.3845,0.4995
HAGNFixed,17,5.992408514022827,0.13280653953552246,0.2071,0.3077,0.3926,0.2071,0.2314,0.1959,0.2039,0.0398,0.027,0.3805,0.499
HAGNFixed,18,5.95491099357605,0.13241291046142578,0.2063,0.3059,0.3936,0.2063,0.2311,0.195,0.2032,0.0396,0.027,0.379,0.502
HAGNFixed,19,5.91850084066391,0.13136863708496094,0.2046,0.3059,0.3888,0.2046,0.2282,0.1928,0.2005,0.0396,0.0267,0.38,0.495
HAGNFixed,20,5.873528242111206,0.13267064094543457,0.2036,0.305,0.3884,0.2036,0.2273,0.1916,0.1991,0.0393,0.0266,0.379,0.4925
HAGNFixed,21,5.833511292934418,0.13210010528564453,0.2012,0.2983,0.3862,0.2012,0.2261,0.1899,0.1979,0.0387,0.0265,0.371,0.49
