Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,6.235378324985504,0.32314515113830566,0.1203,0.1746,0.2286,0.1203,0.1352,0.1119,0.1169,0.0217,0.0148,0.2115,0.2845
HAGNGlobal,2,6.2330679297447205,0.14135456085205078,0.1457,0.2116,0.2657,0.1457,0.161,0.1358,0.1411,0.0263,0.0175,0.2565,0.334
HAGNGlobal,3,6.230344474315643,0.1407771110534668,0.1668,0.2369,0.2999,0.1668,0.1846,0.1579,0.1641,0.0299,0.0199,0.2895,0.38
HAGNGlobal,4,6.226944625377655,0.14049291610717773,0.1838,0.2605,0.3273,0.1838,0.2027,0.1744,0.1806,0.0333,0.0218,0.3235,0.4125
HAGNGlobal,5,6.222756922245026,0.14014887809753418,0.2012,0.2893,0.3544,0.2012,0.2198,0.1903,0.1965,0.0371,0.0238,0.357,0.449
HAGNGlobal,6,6.217326104640961,0.13992619514465332,0.211,0.3044,0.3695,0.211,0.2298,0.1993,0.2057,0.0393,0.0251,0.3785,0.4705
HAGNGlobal,7,6.210836172103882,0.1393883228302002,0.2224,0.3154,0.3869,0.2224,0.2427,0.2124,0.2189,0.0412,0.0262,0.396,0.4905
HAGNGlobal,8,6.202932238578796,0.14142060279846191,0.2308,0.3251,0.3936,0.2308,0.2504,0.2219,0.2283,0.0426,0.0268,0.4065,0.498
HAGNGlobal,9,6.193439245223999,0.14001893997192383,0.2368,0.335,0.4034,0.2368,0.2565,0.2281,0.2345,0.0439,0.0276,0.418,0.509
HAGNGlobal,10,6.1820666790008545,0.13988494873046875,0.2369,0.3378,0.4129,0.2369,0.2584,0.2275,0.2344,0.0442,0.0282,0.4205,0.5185
HAGNGlobal,11,6.168648064136505,0.14257454872131348,0.2414,0.3443,0.4248,0.2414,0.2645,0.2318,0.2391,0.045,0.0292,0.429,0.5355
HAGNGlobal,12,6.1543737053871155,0.13944315910339355,0.2433,0.3469,0.4311,0.2433,0.2674,0.2339,0.2415,0.0455,0.0296,0.432,0.5415
HAGNGlobal,13,6.137382686138153,0.13778162002563477,0.2438,0.349,0.4356,0.2438,0.2686,0.234,0.242,0.0457,0.0299,0.431,0.546
HAGNGlobal,14,6.118204832077026,0.1406569480895996,0.2425,0.3476,0.4346,0.2425,0.2675,0.2325,0.2406,0.0454,0.0299,0.429,0.545
HAGNGlobal,15,6.097230434417725,0.141218900680542,0.243,0.347,0.4376,0.243,0.2689,0.2337,0.242,0.0454,0.03,0.4285,0.5465
HAGNGlobal,16,6.074098527431488,0.1388716697692871,0.2435,0.348,0.4373,0.2435,0.2691,0.2342,0.2422,0.0455,0.03,0.431,0.546
HAGNGlobal,17,6.048755586147308,0.13695144653320312,0.2433,0.3498,0.4397,0.2433,0.2689,0.2329,0.2409,0.0458,0.0302,0.432,0.548
HAGNGlobal,18,6.022824227809906,0.13761329650878906,0.2407,0.3502,0.4393,0.2407,0.2661,0.2287,0.237,0.0456,0.03,0.429,0.5485
HAGNGlobal,19,5.992976367473602,0.13671231269836426,0.2414,0.3504,0.4382,0.2414,0.2667,0.2301,0.2382,0.0455,0.03,0.4295,0.5465
HAGNGlobal,20,5.962085604667664,0.13887262344360352,0.2412,0.3511,0.4394,0.2412,0.2667,0.2297,0.2379,0.0455,0.0301,0.43,0.5495
HAGNGlobal,21,5.929318368434906,0.14455366134643555,0.2407,0.3504,0.4431,0.2407,0.2673,0.2294,0.238,0.0453,0.0304,0.428,0.5545
HAGNGlobal,22,5.894762456417084,0.1428394317626953,0.2392,0.35,0.4438,0.2392,0.266,0.2272,0.2357,0.0452,0.0304,0.4275,0.5535
HAGNGlobal,23,5.855074763298035,0.1371326446533203,0.2393,0.3502,0.4407,0.2393,0.2652,0.2276,0.236,0.0452,0.0301,0.4265,0.548
HAGNGlobal,24,5.8185537457466125,0.13857793807983398,0.237,0.3469,0.4393,0.237,0.2636,0.2253,0.2339,0.0448,0.03,0.423,0.547
