Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.940093874931335,0.5002470016479492,0.0114,0.0161,0.0254,0.0114,0.0151,0.0207,0.0236,0.0063,0.0055,0.062,0.104
CSGCNNoWarmup,2,15.936526000499725,0.2893998622894287,0.0143,0.0195,0.0328,0.0143,0.0192,0.0266,0.0299,0.0077,0.0067,0.075,0.125
CSGCNNoWarmup,3,15.931721270084381,0.2902493476867676,0.0165,0.0229,0.0367,0.0165,0.0217,0.0284,0.0321,0.009,0.0075,0.0855,0.139
CSGCNNoWarmup,4,15.924377858638763,0.28978919982910156,0.0184,0.0251,0.042,0.0184,0.0247,0.0322,0.0364,0.0098,0.0085,0.0935,0.1555
CSGCNNoWarmup,5,15.91353327035904,0.2893705368041992,0.0208,0.029,0.0466,0.0208,0.0277,0.0358,0.0406,0.0108,0.0094,0.1035,0.1735
CSGCNNoWarmup,6,15.89812457561493,0.28753066062927246,0.0215,0.0286,0.0457,0.0215,0.0281,0.0384,0.0429,0.0111,0.0092,0.1065,0.17
CSGCNNoWarmup,7,15.877112448215485,0.29514455795288086,0.0212,0.0278,0.0461,0.0212,0.0281,0.0376,0.042,0.0113,0.0094,0.108,0.173
CSGCNNoWarmup,8,15.84909975528717,0.28720545768737793,0.0205,0.0274,0.0462,0.0205,0.0275,0.0352,0.0398,0.0109,0.0093,0.1045,0.173
CSGCNNoWarmup,9,15.81348717212677,0.2881040573120117,0.019,0.0252,0.0467,0.019,0.0271,0.033,0.0385,0.0099,0.0094,0.096,0.1775
CSGCNNoWarmup,10,15.769476771354675,0.2879598140716553,0.0181,0.0251,0.0436,0.0181,0.025,0.0309,0.0354,0.0096,0.0085,0.094,0.1625
CSGCNNoWarmup,11,15.716392636299133,0.28789305686950684,0.016,0.0224,0.0429,0.016,0.0236,0.027,0.032,0.0086,0.0084,0.0845,0.159
CSGCNNoWarmup,12,15.653464913368225,0.28653430938720703,0.0154,0.0218,0.0383,0.0154,0.0216,0.0259,0.0301,0.0083,0.0076,0.082,0.1435
CSGCNNoWarmup,13,15.580893814563751,0.28601717948913574,0.0149,0.0216,0.0375,0.0149,0.0209,0.0251,0.0291,0.0081,0.0073,0.08,0.1395
CSGCNNoWarmup,14,15.495611906051636,0.2868974208831787,0.0142,0.0194,0.0375,0.0142,0.0207,0.0247,0.0289,0.0076,0.0071,0.0745,0.1365
CSGCNNoWarmup,15,15.402065634727478,0.28611183166503906,0.014,0.0187,0.0367,0.014,0.0204,0.0252,0.0294,0.0073,0.0069,0.0715,0.1335
CSGCNNoWarmup,16,15.29533702135086,0.28775596618652344,0.0132,0.0172,0.0346,0.0132,0.0194,0.0244,0.0283,0.0071,0.0066,0.069,0.1275
CSGCNNoWarmup,17,15.181264638900757,0.28937745094299316,0.0134,0.0182,0.0341,0.0134,0.0192,0.0243,0.0281,0.007,0.0065,0.0685,0.1245
