Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,15.93999594449997,3.256974220275879,0.0103,0.0135,0.0242,0.0103,0.0143,0.0189,0.0217,0.0051,0.0048,0.05,0.0915
HAGNUniform,2,15.9361971616745,0.29018545150756836,0.0133,0.0174,0.0283,0.0133,0.0174,0.0229,0.0258,0.0065,0.0055,0.0625,0.106
HAGNUniform,3,15.931007444858551,0.28894591331481934,0.014,0.0186,0.0297,0.014,0.0183,0.0246,0.0278,0.0072,0.006,0.0695,0.1155
HAGNUniform,4,15.922790467739105,0.29616880416870117,0.0132,0.0176,0.0306,0.0132,0.018,0.0234,0.0268,0.0074,0.0063,0.0725,0.121
HAGNUniform,5,15.90999037027359,0.285722017288208,0.0127,0.0164,0.0287,0.0127,0.0173,0.0233,0.0266,0.0073,0.0062,0.071,0.119
HAGNUniform,6,15.891054391860962,0.28571033477783203,0.0109,0.0144,0.0244,0.0109,0.0147,0.0196,0.0222,0.0066,0.0055,0.0655,0.106
HAGNUniform,7,15.864459753036499,0.2853574752807617,0.0095,0.0127,0.0211,0.0095,0.0128,0.0173,0.0197,0.0057,0.0049,0.0565,0.094
HAGNUniform,8,15.827936947345734,0.2848336696624756,0.0077,0.0098,0.0181,0.0077,0.011,0.0143,0.0169,0.0045,0.0042,0.045,0.0835
HAGNUniform,9,15.781663954257965,0.28569674491882324,0.0067,0.0089,0.0156,0.0067,0.0094,0.012,0.0143,0.0038,0.0036,0.038,0.071
HAGNUniform,10,15.723495781421661,0.2900111675262451,0.0058,0.0073,0.0137,0.0058,0.0084,0.0107,0.0128,0.0031,0.0032,0.0305,0.0625
HAGNUniform,11,15.655276000499725,0.2840902805328369,0.0049,0.007,0.0126,0.0049,0.0073,0.0085,0.0105,0.003,0.003,0.0295,0.0585
HAGNUniform,12,15.573837280273438,0.29067111015319824,0.0043,0.0061,0.0124,0.0043,0.0068,0.0074,0.0093,0.0027,0.0028,0.027,0.0565
HAGNUniform,13,15.483883500099182,0.28415703773498535,0.0043,0.0061,0.0122,0.0043,0.0066,0.0075,0.0092,0.0028,0.0027,0.0275,0.053
HAGNUniform,14,15.39067828655243,0.28429388999938965,0.0034,0.0047,0.0108,0.0034,0.0059,0.0063,0.0083,0.0021,0.0025,0.0205,0.049
