Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,15.94002777338028,0.4934976100921631,0.0099,0.0135,0.0218,0.0099,0.013,0.0172,0.0192,0.0053,0.0044,0.0515,0.083
HAGNUniform,2,15.936333954334259,0.2956547737121582,0.0109,0.0147,0.0239,0.0109,0.0144,0.0193,0.0215,0.0058,0.0048,0.0565,0.0895
HAGNUniform,3,15.931132078170776,0.29578471183776855,0.0113,0.0162,0.0266,0.0113,0.0154,0.0186,0.0213,0.0058,0.0053,0.056,0.097
HAGNUniform,4,15.922741293907166,0.2951955795288086,0.0105,0.0151,0.0239,0.0105,0.0138,0.0162,0.0187,0.0055,0.0046,0.053,0.0885
HAGNUniform,5,15.9098379611969,0.29411816596984863,0.0083,0.0106,0.0186,0.0083,0.0113,0.0135,0.0158,0.0041,0.0038,0.04,0.0735
HAGNUniform,6,15.889651954174042,0.2933082580566406,0.0064,0.0081,0.0148,0.0064,0.0089,0.0108,0.0126,0.0033,0.0032,0.033,0.0615
HAGNUniform,7,15.860277116298676,0.29306507110595703,0.0049,0.0062,0.011,0.0049,0.0069,0.0089,0.0105,0.0025,0.0025,0.0255,0.0495
HAGNUniform,8,15.81939321756363,0.2931373119354248,0.0042,0.0047,0.0091,0.0042,0.0059,0.0083,0.0096,0.0022,0.002,0.0215,0.041
HAGNUniform,9,15.764819622039795,0.2939121723175049,0.004,0.0052,0.0085,0.004,0.0053,0.0075,0.0086,0.0022,0.0019,0.0225,0.0385
HAGNUniform,10,15.697450578212738,0.2938117980957031,0.0036,0.0044,0.008,0.0036,0.005,0.007,0.0082,0.002,0.0018,0.02,0.037
HAGNUniform,11,15.620576739311218,0.29268765449523926,0.0039,0.0049,0.0088,0.0039,0.0054,0.0076,0.0088,0.0022,0.0019,0.0215,0.039
HAGNUniform,12,15.532576024532318,0.29291272163391113,0.0041,0.0052,0.0084,0.0041,0.0052,0.0078,0.0088,0.0024,0.0019,0.024,0.038
HAGNUniform,13,15.445736348628998,0.29322052001953125,0.0042,0.0052,0.0078,0.0042,0.0052,0.0085,0.0093,0.0023,0.0018,0.0235,0.036
HAGNUniform,14,15.35786348581314,0.29497671127319336,0.0041,0.0055,0.0084,0.0041,0.0053,0.0078,0.0088,0.0024,0.0019,0.024,0.039
