Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.24702799320221,0.5016164779663086,0.0109,0.0161,0.0249,0.0109,0.0145,0.017,0.0196,0.0057,0.005,0.057,0.094
CSGCNNoWarmup,2,15.243673086166382,0.2891724109649658,0.014,0.0195,0.032,0.014,0.0187,0.0218,0.0251,0.0071,0.0061,0.0695,0.116
CSGCNNoWarmup,3,15.239122867584229,0.2894599437713623,0.0169,0.0236,0.0376,0.0169,0.0221,0.0276,0.0311,0.0083,0.007,0.081,0.134
CSGCNNoWarmup,4,15.232202887535095,0.2881741523742676,0.0194,0.0254,0.0403,0.0194,0.0249,0.0327,0.0363,0.0092,0.0075,0.089,0.1415
CSGCNNoWarmup,5,15.222093284130096,0.28931498527526855,0.0202,0.0268,0.0459,0.0202,0.0274,0.0339,0.0386,0.0095,0.0086,0.091,0.16
CSGCNNoWarmup,6,15.207481801509857,0.2881152629852295,0.0218,0.0298,0.0498,0.0218,0.0291,0.0357,0.0401,0.0109,0.0092,0.1045,0.169
CSGCNNoWarmup,7,15.187310695648193,0.28830909729003906,0.0222,0.0301,0.0514,0.0222,0.03,0.0372,0.042,0.0111,0.0095,0.106,0.1745
CSGCNNoWarmup,8,15.16117399930954,0.2885549068450928,0.0218,0.0311,0.0505,0.0218,0.0289,0.0347,0.0392,0.0113,0.0094,0.1085,0.1725
CSGCNNoWarmup,9,15.12800019979477,0.2881929874420166,0.0206,0.0283,0.0482,0.0206,0.0279,0.0342,0.0387,0.0105,0.009,0.1005,0.168
CSGCNNoWarmup,10,15.085932970046997,0.28774571418762207,0.0186,0.0247,0.0449,0.0186,0.026,0.0313,0.036,0.0094,0.0086,0.09,0.16
CSGCNNoWarmup,11,15.035264611244202,0.28821372985839844,0.0177,0.0245,0.0407,0.0177,0.0239,0.0296,0.0338,0.0092,0.0081,0.089,0.151
CSGCNNoWarmup,12,14.975038647651672,0.28736376762390137,0.0162,0.0225,0.0381,0.0162,0.0222,0.0272,0.0315,0.0084,0.0077,0.081,0.1455
CSGCNNoWarmup,13,14.906535148620605,0.2892892360687256,0.0149,0.0208,0.0348,0.0149,0.0202,0.0251,0.0289,0.008,0.0069,0.0775,0.132
CSGCNNoWarmup,14,14.827280461788177,0.2877953052520752,0.014,0.0187,0.0338,0.014,0.0196,0.0248,0.0287,0.0073,0.0067,0.0715,0.1285
CSGCNNoWarmup,15,14.736675918102264,0.2877025604248047,0.0133,0.018,0.0314,0.0133,0.0183,0.0233,0.0267,0.0071,0.0063,0.0695,0.1205
CSGCNNoWarmup,16,14.634189546108246,0.2870910167694092,0.0125,0.0174,0.0289,0.0125,0.0168,0.0214,0.0245,0.0068,0.0059,0.066,0.112
CSGCNNoWarmup,17,14.52256691455841,0.2872781753540039,0.0114,0.0149,0.0282,0.0114,0.0164,0.0209,0.0245,0.0061,0.0058,0.0595,0.111
CSGCNNoWarmup,18,14.407908201217651,0.2916114330291748,0.0114,0.0154,0.028,0.0114,0.016,0.0203,0.0235,0.0063,0.0058,0.061,0.1095
