Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,6.926810085773468,0.3324167728424072,0.2539,0.3438,0.4109,0.2539,0.2731,0.2616,0.2675,0.0485,0.0298,0.4532,0.5388
HAGNGlobal,2,6.921912312507629,0.1492013931274414,0.2903,0.3919,0.4593,0.2903,0.3103,0.3001,0.3059,0.0565,0.0346,0.5143,0.5973
HAGNGlobal,3,6.91554319858551,0.14884257316589355,0.313,0.4193,0.5002,0.313,0.3368,0.3258,0.3324,0.0616,0.0382,0.5523,0.6488
HAGNGlobal,4,6.906327843666077,0.14859557151794434,0.3212,0.4387,0.5282,0.3212,0.3478,0.33,0.3375,0.0649,0.0409,0.5743,0.6823
HAGNGlobal,5,6.894200444221497,0.15027332305908203,0.3291,0.4506,0.5489,0.3291,0.3587,0.3371,0.3454,0.067,0.0429,0.5893,0.7059
HAGNGlobal,6,6.878489911556244,0.1557776927947998,0.3336,0.4619,0.5584,0.3336,0.3629,0.34,0.3481,0.0687,0.0437,0.6018,0.7149
HAGNGlobal,7,6.857867538928986,0.16596555709838867,0.3324,0.4613,0.5645,0.3324,0.3636,0.3377,0.3463,0.0687,0.0444,0.6008,0.7224
HAGNGlobal,8,6.8328787088394165,0.15868449211120605,0.3315,0.4619,0.5637,0.3315,0.3623,0.3351,0.3438,0.0687,0.0444,0.5988,0.7224
HAGNGlobal,9,6.803410649299622,0.15791869163513184,0.3302,0.4591,0.5617,0.3302,0.3613,0.3328,0.3417,0.0685,0.0444,0.5938,0.7209
HAGNGlobal,10,6.766992270946503,0.15520286560058594,0.3262,0.4515,0.5585,0.3262,0.3586,0.3307,0.3401,0.0676,0.0442,0.5858,0.7184
HAGNGlobal,11,6.726819038391113,0.15352296829223633,0.323,0.4487,0.5566,0.323,0.3557,0.3272,0.3367,0.0674,0.0443,0.5828,0.7174
HAGNGlobal,12,6.679445922374725,0.15715312957763672,0.32,0.4453,0.5561,0.32,0.3535,0.3235,0.3332,0.0669,0.0444,0.5778,0.7159
HAGNGlobal,13,6.627282500267029,0.15100526809692383,0.3171,0.441,0.5537,0.3171,0.3513,0.3202,0.3301,0.0662,0.0443,0.5718,0.7109
HAGNGlobal,14,6.5682902336120605,0.1516270637512207,0.3134,0.4397,0.5497,0.3134,0.3469,0.3157,0.3253,0.0662,0.044,0.5718,0.7079
HAGNGlobal,15,6.508852541446686,0.15218877792358398,0.3098,0.438,0.55,0.3098,0.3437,0.3112,0.3208,0.066,0.0441,0.5703,0.7089
HAGNGlobal,16,6.437985301017761,0.15743780136108398,0.3072,0.4325,0.5483,0.3072,0.342,0.3091,0.3189,0.0654,0.0439,0.5653,0.7069
HAGNGlobal,17,6.364135026931763,0.15208888053894043,0.3058,0.4285,0.5471,0.3058,0.3412,0.3083,0.3182,0.065,0.0439,0.5618,0.7064
