Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,73.47115343809128,1.6658811569213867,0.0068,0.0027,0.005,0.0068,0.0069,0.0189,0.0227,0.007,0.0067,0.0695,0.1255
HAGNGlobal,2,73.45232003927231,1.4773283004760742,0.0052,0.002,0.0046,0.0052,0.006,0.0147,0.0189,0.0053,0.0061,0.0525,0.1145
HAGNGlobal,3,73.38825571537018,1.4947967529296875,0.0061,0.0023,0.0041,0.0061,0.006,0.0177,0.021,0.006,0.0056,0.059,0.108
HAGNGlobal,4,73.28034210205078,1.4836864471435547,0.0062,0.0023,0.0045,0.0062,0.0062,0.0172,0.0208,0.0064,0.0061,0.062,0.117
HAGNGlobal,5,73.17807739973068,1.4772605895996094,0.0056,0.0021,0.0043,0.0056,0.006,0.0162,0.0198,0.0056,0.0058,0.056,0.1095
HAGNGlobal,6,73.09543567895889,1.491701602935791,0.0055,0.0021,0.0043,0.0055,0.0058,0.0153,0.0188,0.0057,0.0057,0.057,0.1095
HAGNGlobal,7,73.0309100151062,1.4797990322113037,0.0054,0.002,0.0039,0.0054,0.0054,0.0152,0.0182,0.0056,0.0052,0.055,0.099
HAGNGlobal,8,72.95666432380676,1.4790489673614502,0.0051,0.0018,0.0038,0.0051,0.0053,0.0144,0.0177,0.005,0.0051,0.0475,0.0965
HAGNGlobal,9,72.8822010755539,1.4814865589141846,0.0051,0.0021,0.0041,0.0051,0.0054,0.0138,0.0171,0.0054,0.0053,0.0515,0.1
HAGNGlobal,10,72.80882775783539,1.4814260005950928,0.0051,0.002,0.0042,0.0051,0.0056,0.014,0.0178,0.0052,0.0056,0.05,0.1055
HAGNGlobal,11,72.70107436180115,1.4793667793273926,0.0055,0.0024,0.0043,0.0055,0.0056,0.0141,0.0172,0.006,0.0055,0.058,0.104
HAGNGlobal,12,72.59992206096649,1.476128101348877,0.0057,0.0022,0.0044,0.0057,0.0059,0.0156,0.0189,0.0058,0.0057,0.0555,0.1065
