Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,15.93991082906723,0.5039339065551758,0.0106,0.0135,0.023,0.0106,0.0144,0.0195,0.0224,0.0056,0.0051,0.0555,0.0965
ASLGCNSymmetric,2,15.936119854450226,0.2952694892883301,0.0134,0.0172,0.0298,0.0134,0.0182,0.0238,0.027,0.0067,0.006,0.065,0.1135
ASLGCNSymmetric,3,15.930942416191101,0.2908780574798584,0.0159,0.0206,0.0365,0.0159,0.022,0.0278,0.0318,0.0081,0.0074,0.078,0.139
ASLGCNSymmetric,4,15.923175692558289,0.2892630100250244,0.0182,0.023,0.0424,0.0182,0.0254,0.0318,0.0367,0.0094,0.0085,0.0885,0.159
ASLGCNSymmetric,5,15.911548733711243,0.28729891777038574,0.0204,0.0283,0.044,0.0204,0.0262,0.0334,0.0374,0.0111,0.0086,0.1035,0.1605
ASLGCNSymmetric,6,15.894925713539124,0.28592705726623535,0.0207,0.0283,0.045,0.0207,0.0268,0.0335,0.0374,0.0112,0.0088,0.1055,0.1615
ASLGCNSymmetric,7,15.87220573425293,0.2861452102661133,0.0183,0.026,0.045,0.0183,0.0255,0.0294,0.034,0.0102,0.0089,0.097,0.1635
ASLGCNSymmetric,8,15.84248661994934,0.28399109840393066,0.0161,0.0232,0.0415,0.0161,0.023,0.0259,0.0304,0.0089,0.0081,0.0855,0.151
ASLGCNSymmetric,9,15.803902983665466,0.28333568572998047,0.0148,0.0217,0.0388,0.0148,0.0213,0.0238,0.0282,0.0081,0.0075,0.0785,0.142
ASLGCNSymmetric,10,15.756580233573914,0.28327012062072754,0.0137,0.0203,0.0344,0.0137,0.0189,0.0216,0.0251,0.0076,0.0066,0.075,0.1275
ASLGCNSymmetric,11,15.70007210969925,0.28346824645996094,0.0122,0.0178,0.0313,0.0122,0.0172,0.0195,0.0229,0.0065,0.0061,0.0645,0.1165
ASLGCNSymmetric,12,15.63389676809311,0.28740715980529785,0.0112,0.0164,0.0291,0.0112,0.016,0.0181,0.0214,0.006,0.0057,0.059,0.1085
ASLGCNSymmetric,13,15.556284189224243,0.28261899948120117,0.0107,0.0156,0.0283,0.0107,0.0154,0.017,0.0201,0.0056,0.0054,0.0555,0.104
ASLGCNSymmetric,14,15.470021605491638,0.2827579975128174,0.0098,0.015,0.026,0.0098,0.0138,0.0156,0.0183,0.0054,0.0049,0.0535,0.094
ASLGCNSymmetric,15,15.374572992324829,0.2824075222015381,0.0093,0.0142,0.0239,0.0093,0.0129,0.0147,0.0172,0.0053,0.0046,0.0525,0.0885
ASLGCNSymmetric,16,15.270796179771423,0.2828032970428467,0.009,0.0141,0.0228,0.009,0.0122,0.0139,0.0162,0.0051,0.0044,0.05,0.084
ASLGCNSymmetric,17,15.152803480625153,0.281965970993042,0.009,0.0139,0.0227,0.009,0.0123,0.0139,0.0162,0.0051,0.0044,0.0495,0.085
