Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,6.2352142333984375,0.3229663372039795,0.1221,0.185,0.2288,0.1221,0.1341,0.1134,0.1174,0.0228,0.0144,0.224,0.2815
ASLGCNSymmetric,2,6.232878088951111,0.14179444313049316,0.1447,0.214,0.2768,0.1447,0.1618,0.1347,0.1402,0.0264,0.0176,0.257,0.338
ASLGCNSymmetric,3,6.230129182338715,0.14035344123840332,0.1632,0.2456,0.3073,0.1632,0.1804,0.1514,0.1571,0.0307,0.0198,0.2975,0.3785
ASLGCNSymmetric,4,6.2267003655433655,0.13965368270874023,0.1824,0.2723,0.3444,0.1824,0.2025,0.1706,0.1771,0.0343,0.0226,0.332,0.426
ASLGCNSymmetric,5,6.22242933511734,0.13908100128173828,0.2015,0.2975,0.3682,0.2015,0.2214,0.1905,0.197,0.0382,0.0246,0.364,0.458
ASLGCNSymmetric,6,6.217010676860809,0.13954687118530273,0.2147,0.3137,0.3903,0.2147,0.2364,0.2055,0.2124,0.0406,0.0263,0.388,0.487
ASLGCNSymmetric,7,6.210118353366852,0.14066505432128906,0.2288,0.3338,0.4146,0.2288,0.2515,0.2183,0.2256,0.0437,0.0281,0.413,0.5195
ASLGCNSymmetric,8,6.201937913894653,0.1418452262878418,0.2397,0.3511,0.4304,0.2397,0.262,0.2294,0.2363,0.0463,0.0294,0.437,0.5385
ASLGCNSymmetric,9,6.192072093486786,0.13986730575561523,0.2491,0.3619,0.4477,0.2491,0.2734,0.24,0.2473,0.0477,0.0308,0.4505,0.56
ASLGCNSymmetric,10,6.180363714694977,0.13996315002441406,0.2589,0.376,0.4573,0.2589,0.2822,0.2495,0.2566,0.0497,0.0315,0.468,0.573
ASLGCNSymmetric,11,6.166896224021912,0.13998937606811523,0.265,0.3833,0.4652,0.265,0.2884,0.2559,0.263,0.0511,0.0322,0.479,0.582
ASLGCNSymmetric,12,6.151096999645233,0.1402144432067871,0.2688,0.3905,0.471,0.2688,0.292,0.259,0.2661,0.0524,0.0328,0.4895,0.5905
ASLGCNSymmetric,13,6.133070349693298,0.14070606231689453,0.272,0.3949,0.4771,0.272,0.2956,0.263,0.2701,0.053,0.0332,0.4955,0.598
ASLGCNSymmetric,14,6.113474905490875,0.13997268676757812,0.2768,0.4006,0.4765,0.2768,0.2986,0.2681,0.2746,0.054,0.0332,0.505,0.5985
ASLGCNSymmetric,15,6.090469717979431,0.1401059627532959,0.2798,0.4006,0.4792,0.2798,0.3025,0.2728,0.2798,0.054,0.0336,0.504,0.604
ASLGCNSymmetric,16,6.065676927566528,0.13939309120178223,0.2832,0.4029,0.4818,0.2832,0.3059,0.2776,0.2843,0.0544,0.0338,0.5085,0.6045
ASLGCNSymmetric,17,6.038632154464722,0.13966894149780273,0.2843,0.4064,0.4861,0.2843,0.3072,0.2782,0.2848,0.055,0.0342,0.515,0.611
ASLGCNSymmetric,18,6.008575081825256,0.14114689826965332,0.2845,0.4058,0.4918,0.2845,0.3093,0.2787,0.2859,0.0547,0.0346,0.5125,0.6175
ASLGCNSymmetric,19,5.977425217628479,0.1406574249267578,0.2842,0.4049,0.4922,0.2842,0.3093,0.2787,0.2861,0.0549,0.0346,0.5125,0.619
ASLGCNSymmetric,20,5.941979110240936,0.13738489151000977,0.2852,0.4069,0.4936,0.2852,0.3101,0.2793,0.2867,0.0553,0.0348,0.5155,0.622
ASLGCNSymmetric,21,5.9067991971969604,0.14106988906860352,0.2853,0.4114,0.4959,0.2853,0.3097,0.2777,0.285,0.0558,0.0351,0.5185,0.6255
ASLGCNSymmetric,22,5.866762101650238,0.1397542953491211,0.2862,0.4091,0.4955,0.2862,0.3111,0.28,0.2876,0.0557,0.035,0.5155,0.625
ASLGCNSymmetric,23,5.824776709079742,0.1397392749786377,0.2853,0.4088,0.4965,0.2853,0.3103,0.2783,0.2859,0.0557,0.035,0.515,0.6265
ASLGCNSymmetric,24,5.781531989574432,0.13691091537475586,0.2847,0.406,0.4956,0.2847,0.3104,0.2785,0.2863,0.0554,0.035,0.513,0.6265
ASLGCNSymmetric,25,5.733752608299255,0.2450578212738037,0.2866,0.4091,0.4942,0.2866,0.311,0.2807,0.2881,0.0557,0.0349,0.517,0.6255
ASLGCNSymmetric,26,5.687106430530548,0.14063715934753418,0.2865,0.4072,0.4959,0.2865,0.3119,0.2815,0.2892,0.0558,0.0351,0.516,0.628
ASLGCNSymmetric,27,5.636599183082581,0.13686299324035645,0.286,0.4098,0.4954,0.286,0.3104,0.28,0.2875,0.0561,0.035,0.5185,0.627
ASLGCNSymmetric,28,5.583234131336212,0.13599681854248047,0.2865,0.4114,0.4975,0.2865,0.3111,0.2805,0.2879,0.0563,0.0352,0.521,0.63
ASLGCNSymmetric,29,5.530866861343384,0.136002779006958,0.2849,0.4103,0.4956,0.2849,0.3093,0.2784,0.2859,0.0561,0.0351,0.519,0.626
ASLGCNSymmetric,30,5.469740033149719,0.13708019256591797,0.2839,0.4077,0.4933,0.2839,0.3085,0.2777,0.2852,0.0559,0.035,0.517,0.6245
ASLGCNSymmetric,31,5.415035843849182,0.13998651504516602,0.2849,0.4092,0.4943,0.2849,0.3095,0.2787,0.2862,0.0559,0.0351,0.518,0.6245
ASLGCNSymmetric,32,5.3561307191848755,0.1371300220489502,0.2835,0.407,0.4943,0.2835,0.3088,0.2773,0.285,0.0557,0.0351,0.5165,0.6245
ASLGCNSymmetric,33,5.298927426338196,0.13622593879699707,0.2826,0.4063,0.4959,0.2826,0.3084,0.2761,0.2839,0.0558,0.0353,0.5165,0.6265
ASLGCNSymmetric,34,5.232797205448151,0.13645577430725098,0.2831,0.4073,0.4947,0.2831,0.3083,0.2762,0.2838,0.0559,0.0352,0.518,0.626
ASLGCNSymmetric,35,5.167467653751373,0.17183208465576172,0.2842,0.4074,0.4958,0.2842,0.3096,0.2781,0.2858,0.0558,0.0351,0.517,0.6265
ASLGCNSymmetric,36,5.103366732597351,0.17328262329101562,0.2844,0.4054,0.4979,0.2844,0.3109,0.2793,0.2874,0.0557,0.0353,0.5155,0.6295
