Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,15.940044283866882,61.25174927711487,0.0101,0.0134,0.024,0.0101,0.0141,0.0183,0.0212,0.0053,0.0048,0.0525,0.094
HAGNUniform,2,15.936346590518951,0.2961907386779785,0.0107,0.015,0.0272,0.0107,0.0151,0.0193,0.0224,0.0061,0.0054,0.061,0.105
HAGNUniform,3,15.931077003479004,0.2955596446990967,0.0118,0.0154,0.0307,0.0118,0.017,0.0234,0.0265,0.0065,0.0058,0.0645,0.1105
HAGNUniform,4,15.922684788703918,0.2982494831085205,0.0095,0.013,0.0252,0.0095,0.0141,0.0173,0.0206,0.0056,0.0053,0.0545,0.101
HAGNUniform,5,15.909489631652832,0.29779839515686035,0.0084,0.0112,0.022,0.0084,0.0125,0.0158,0.0187,0.0048,0.0046,0.047,0.0895
HAGNUniform,6,15.889320969581604,0.3007192611694336,0.0063,0.0084,0.0158,0.0063,0.0091,0.0115,0.0137,0.0037,0.0035,0.037,0.0695
HAGNUniform,7,15.860149800777435,0.318681001663208,0.005,0.0062,0.0125,0.005,0.0073,0.0098,0.0115,0.0028,0.0027,0.0275,0.0535
HAGNUniform,8,15.820804476737976,0.3200416564941406,0.0046,0.0058,0.0105,0.0046,0.0064,0.0087,0.01,0.0027,0.0024,0.027,0.0465
HAGNUniform,9,15.76685118675232,0.2994716167449951,0.004,0.0049,0.0097,0.004,0.0059,0.0077,0.0092,0.0023,0.0023,0.023,0.045
HAGNUniform,10,15.70484572649002,0.2951326370239258,0.0036,0.0047,0.0087,0.0036,0.0052,0.0066,0.0078,0.0023,0.0021,0.023,0.0415
HAGNUniform,11,15.625470459461212,0.29469871520996094,0.0035,0.0047,0.0084,0.0035,0.0051,0.0063,0.0077,0.0022,0.002,0.0215,0.0405
HAGNUniform,12,15.540212869644165,0.29404449462890625,0.003,0.0036,0.0077,0.003,0.0047,0.0056,0.007,0.0018,0.0018,0.017,0.0365
HAGNUniform,13,15.452688872814178,0.29633593559265137,0.0033,0.0041,0.0071,0.0033,0.0045,0.0062,0.0073,0.002,0.0018,0.0195,0.035
HAGNUniform,14,15.360100746154785,0.29433345794677734,0.0032,0.0039,0.0078,0.0032,0.0048,0.0061,0.0073,0.0019,0.0019,0.019,0.0375
