Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,15.939969062805176,0.4879727363586426,0.0082,0.0108,0.0205,0.0082,0.0119,0.0147,0.0172,0.0047,0.0043,0.046,0.0825
HAGNFixed,2,15.935442566871643,0.3138768672943115,0.0103,0.0129,0.0212,0.0103,0.0135,0.0192,0.0217,0.0054,0.0047,0.054,0.091
HAGNFixed,3,15.92876148223877,0.2984158992767334,0.0118,0.0162,0.024,0.0118,0.0149,0.0206,0.023,0.0067,0.0052,0.066,0.101
HAGNFixed,4,15.917971312999725,0.28907203674316406,0.0119,0.0158,0.0279,0.0119,0.0165,0.0204,0.0235,0.0063,0.0058,0.0625,0.1095
HAGNFixed,5,15.90092557668686,0.2886312007904053,0.0118,0.0171,0.0286,0.0118,0.0163,0.0189,0.0223,0.006,0.0057,0.0585,0.1085
HAGNFixed,6,15.875781118869781,0.2881486415863037,0.0105,0.0145,0.027,0.0105,0.0151,0.0175,0.0204,0.0054,0.0051,0.054,0.0975
HAGNFixed,7,15.841467142105103,0.2891230583190918,0.0092,0.0135,0.0241,0.0092,0.0132,0.0148,0.0177,0.0048,0.0047,0.0485,0.092
HAGNFixed,8,15.795735239982605,0.2896304130554199,0.0088,0.0129,0.0223,0.0088,0.0124,0.0143,0.017,0.0048,0.0044,0.0475,0.0865
HAGNFixed,9,15.737346410751343,0.28995704650878906,0.0077,0.0108,0.0207,0.0077,0.0113,0.0132,0.0156,0.0045,0.0041,0.044,0.0785
HAGNFixed,10,15.66564828157425,0.28846192359924316,0.0071,0.01,0.0189,0.0071,0.0104,0.0124,0.0146,0.0041,0.0038,0.0405,0.0745
HAGNFixed,11,15.584252953529358,0.2939035892486572,0.0063,0.0085,0.0179,0.0063,0.0098,0.0114,0.0137,0.0035,0.0036,0.035,0.07
HAGNFixed,12,15.490561127662659,0.30518269538879395,0.0062,0.0084,0.0179,0.0062,0.0095,0.0113,0.0133,0.0037,0.0034,0.036,0.0665
HAGNFixed,13,15.388718247413635,0.3120911121368408,0.0065,0.009,0.0161,0.0065,0.0091,0.0112,0.0129,0.0037,0.0032,0.036,0.0635
HAGNFixed,14,15.278131127357483,0.2884516716003418,0.006,0.0081,0.0158,0.006,0.0087,0.0106,0.0123,0.0033,0.0031,0.0335,0.0595
HAGNFixed,15,15.161363780498505,0.2877063751220703,0.0054,0.0071,0.015,0.0054,0.0082,0.0098,0.0117,0.0029,0.0029,0.0295,0.0575
