Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,15.940030932426453,0.48851513862609863,0.0089,0.0126,0.0217,0.0089,0.0124,0.0148,0.0174,0.0056,0.005,0.0555,0.095
HAGNGlobal,2,15.936207592487335,0.3141062259674072,0.0116,0.0155,0.0255,0.0116,0.0156,0.0209,0.024,0.0068,0.0059,0.067,0.112
HAGNGlobal,3,15.930757105350494,0.2980046272277832,0.0134,0.0165,0.03,0.0134,0.0186,0.0255,0.0292,0.0073,0.0067,0.07,0.125
HAGNGlobal,4,15.922038197517395,0.2892467975616455,0.0143,0.0179,0.0293,0.0143,0.0187,0.0278,0.0309,0.0078,0.0065,0.075,0.121
HAGNGlobal,5,15.90885990858078,0.28894925117492676,0.0139,0.0174,0.0325,0.0139,0.0198,0.0271,0.0312,0.0076,0.0073,0.0745,0.1365
HAGNGlobal,6,15.889096736907959,0.28928279876708984,0.0139,0.0177,0.0316,0.0139,0.0192,0.027,0.0307,0.0081,0.0071,0.079,0.1335
HAGNGlobal,7,15.862337529659271,0.2889375686645508,0.0127,0.0162,0.0301,0.0127,0.0178,0.0249,0.0284,0.0074,0.0064,0.0725,0.123
HAGNGlobal,8,15.826254487037659,0.2895786762237549,0.0116,0.0139,0.0258,0.0116,0.0161,0.0238,0.0272,0.0063,0.0058,0.0605,0.11
HAGNGlobal,9,15.779407382011414,0.2890441417694092,0.0105,0.0129,0.0234,0.0105,0.0144,0.0214,0.0242,0.0056,0.0052,0.0555,0.0985
HAGNGlobal,10,15.72234570980072,0.28772830963134766,0.0101,0.0127,0.0225,0.0101,0.0138,0.0207,0.0232,0.0053,0.0047,0.0525,0.091
HAGNGlobal,11,15.653753161430359,0.29172444343566895,0.0085,0.0107,0.0197,0.0085,0.012,0.0177,0.0202,0.0044,0.0042,0.0445,0.0815
HAGNGlobal,12,15.574721693992615,0.30324745178222656,0.0079,0.0098,0.0195,0.0079,0.0115,0.0166,0.0191,0.0041,0.004,0.0405,0.0765
HAGNGlobal,13,15.482976973056793,0.3182854652404785,0.0081,0.0102,0.0177,0.0081,0.011,0.0169,0.019,0.0041,0.0037,0.0405,0.0715
HAGNGlobal,14,15.38140094280243,0.28916430473327637,0.0074,0.0094,0.0162,0.0074,0.01,0.0151,0.0171,0.004,0.0035,0.0395,0.069
HAGNGlobal,15,15.272501409053802,0.2878870964050293,0.0071,0.0088,0.0158,0.0071,0.0097,0.0147,0.0166,0.0039,0.0035,0.038,0.0675
