Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,31.18921262025833,0.7747142314910889,0.0067,0.0061,0.0109,0.0067,0.0083,0.0175,0.0201,0.0059,0.0051,0.0575,0.096
ASLGCNSymmetric,2,31.182830691337585,0.5771243572235107,0.0076,0.0074,0.0129,0.0076,0.0097,0.0184,0.0214,0.0066,0.0059,0.063,0.108
ASLGCNSymmetric,3,31.172780394554138,0.5733380317687988,0.0088,0.0084,0.0145,0.0088,0.0111,0.0223,0.0257,0.0071,0.0063,0.0685,0.118
ASLGCNSymmetric,4,31.15574336051941,0.5760507583618164,0.0096,0.0082,0.0151,0.0096,0.0121,0.0262,0.0298,0.0075,0.0069,0.0735,0.128
ASLGCNSymmetric,5,31.128270089626312,0.5720582008361816,0.0101,0.0092,0.0151,0.0101,0.0122,0.0263,0.03,0.0083,0.0073,0.08,0.1345
ASLGCNSymmetric,6,31.08738088607788,0.5748083591461182,0.0097,0.0084,0.0155,0.0097,0.0122,0.0254,0.0291,0.0077,0.0069,0.074,0.127
ASLGCNSymmetric,7,31.029035210609436,0.5878434181213379,0.0095,0.0087,0.0157,0.0095,0.0123,0.0247,0.0285,0.0076,0.0071,0.0735,0.129
ASLGCNSymmetric,8,30.951353430747986,0.5721588134765625,0.0094,0.0088,0.0156,0.0094,0.012,0.0234,0.0271,0.0076,0.007,0.072,0.128
ASLGCNSymmetric,9,30.85195130109787,0.5724227428436279,0.0087,0.0081,0.0154,0.0087,0.0117,0.0222,0.0263,0.007,0.0069,0.0655,0.1285
ASLGCNSymmetric,10,30.728602290153503,0.573533296585083,0.0084,0.0075,0.0145,0.0084,0.011,0.022,0.0256,0.007,0.0065,0.068,0.1215
ASLGCNSymmetric,11,30.584006667137146,0.5716803073883057,0.0083,0.0077,0.0138,0.0083,0.0105,0.0215,0.0248,0.0069,0.0062,0.0675,0.117
ASLGCNSymmetric,12,30.419123768806458,0.5759036540985107,0.0083,0.0077,0.0129,0.0083,0.0103,0.0217,0.0249,0.0069,0.0061,0.068,0.114
ASLGCNSymmetric,13,30.231201767921448,0.5691864490509033,0.0083,0.0078,0.0128,0.0083,0.0102,0.0215,0.0247,0.0068,0.006,0.0665,0.114
ASLGCNSymmetric,14,30.028069853782654,0.5769526958465576,0.0087,0.0081,0.0128,0.0087,0.0104,0.0225,0.0255,0.0071,0.006,0.069,0.115
ASLGCNSymmetric,15,29.801471531391144,0.5692732334136963,0.0085,0.0079,0.0124,0.0085,0.01,0.022,0.0248,0.0071,0.0058,0.069,0.11
ASLGCNSymmetric,16,29.559008479118347,0.5740914344787598,0.0082,0.0073,0.0128,0.0082,0.0102,0.0215,0.0247,0.0068,0.006,0.0665,0.1135
