Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,15.939874172210693,0.49004507064819336,0.012,0.0159,0.0259,0.012,0.016,0.0203,0.0233,0.0057,0.0051,0.0555,0.098
ASLGCNSymmetric,2,15.936029851436615,0.2967231273651123,0.0148,0.0189,0.0309,0.0148,0.0195,0.026,0.0295,0.0069,0.0062,0.068,0.12
ASLGCNSymmetric,3,15.931005120277405,0.29534173011779785,0.0172,0.0231,0.0355,0.0172,0.0222,0.0293,0.0329,0.0085,0.0071,0.083,0.136
ASLGCNSymmetric,4,15.923334002494812,0.29521942138671875,0.0195,0.0265,0.0441,0.0195,0.026,0.0324,0.0368,0.0101,0.0085,0.0975,0.1615
ASLGCNSymmetric,5,15.912224352359772,0.29358816146850586,0.0228,0.031,0.0517,0.0228,0.0302,0.0373,0.0421,0.0121,0.0098,0.113,0.183
ASLGCNSymmetric,6,15.896613419055939,0.29537057876586914,0.024,0.0323,0.0529,0.024,0.0318,0.0396,0.0449,0.0122,0.0103,0.116,0.193
ASLGCNSymmetric,7,15.875372350215912,0.2943127155303955,0.0262,0.0346,0.0558,0.0262,0.0341,0.0453,0.0504,0.0132,0.0109,0.128,0.204
ASLGCNSymmetric,8,15.847563087940216,0.2943415641784668,0.0262,0.0357,0.0578,0.0262,0.0344,0.0439,0.0493,0.0135,0.0111,0.1295,0.2065
ASLGCNSymmetric,9,15.812358260154724,0.29433608055114746,0.0261,0.0371,0.059,0.0261,0.0342,0.0428,0.0482,0.0138,0.0113,0.132,0.21
ASLGCNSymmetric,10,15.770018815994263,0.29343461990356445,0.0264,0.0368,0.0616,0.0264,0.0353,0.044,0.0496,0.0135,0.0114,0.129,0.212
ASLGCNSymmetric,11,15.718495786190033,0.29486584663391113,0.0262,0.0374,0.0604,0.0262,0.0345,0.0432,0.0485,0.0135,0.0111,0.13,0.208
ASLGCNSymmetric,12,15.657486498355865,0.30453991889953613,0.0261,0.0372,0.0595,0.0261,0.0342,0.0428,0.0478,0.0131,0.0108,0.125,0.199
ASLGCNSymmetric,13,15.586842060089111,0.29705047607421875,0.0258,0.036,0.0582,0.0258,0.0339,0.0427,0.0477,0.0127,0.0106,0.122,0.196
ASLGCNSymmetric,14,15.509974956512451,0.2953376770019531,0.0248,0.0346,0.057,0.0248,0.0328,0.0409,0.0457,0.0123,0.0103,0.1185,0.188
ASLGCNSymmetric,15,15.419506072998047,0.422435998916626,0.024,0.0332,0.0579,0.024,0.0327,0.0394,0.0444,0.0118,0.0103,0.113,0.1885
ASLGCNSymmetric,16,15.322056651115417,0.3107128143310547,0.0232,0.0312,0.0538,0.0232,0.0313,0.0392,0.0443,0.0114,0.0098,0.108,0.183
ASLGCNSymmetric,17,15.215375065803528,0.3008127212524414,0.0227,0.0312,0.0522,0.0227,0.0303,0.0377,0.0424,0.0114,0.0096,0.1085,0.1775
ASLGCNSymmetric,18,15.097179114818573,0.29340553283691406,0.0226,0.0306,0.0524,0.0226,0.0304,0.0375,0.042,0.0114,0.0096,0.108,0.1765
ASLGCNSymmetric,19,14.974451005458832,0.29177260398864746,0.0218,0.0295,0.052,0.0218,0.0298,0.0356,0.0404,0.011,0.0095,0.103,0.175
ASLGCNSymmetric,20,14.843016803264618,0.29799604415893555,0.0216,0.0286,0.0483,0.0216,0.0287,0.036,0.0404,0.0107,0.0091,0.102,0.1675
ASLGCNSymmetric,21,14.70477557182312,0.2926459312438965,0.0215,0.0291,0.0478,0.0215,0.0283,0.0357,0.0399,0.0107,0.009,0.1025,0.166
