Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,15.940001368522644,0.4816408157348633,0.0099,0.0134,0.0223,0.0099,0.0131,0.0176,0.0199,0.0049,0.0043,0.048,0.0825
HAGNGlobal,2,15.936133921146393,0.29793310165405273,0.0129,0.0164,0.0261,0.0129,0.0167,0.0227,0.0258,0.0059,0.0053,0.057,0.1005
HAGNGlobal,3,15.930656969547272,0.29538536071777344,0.0145,0.0193,0.0312,0.0145,0.0187,0.0248,0.0274,0.0074,0.0059,0.072,0.113
HAGNGlobal,4,15.921847939491272,0.29624032974243164,0.0135,0.0178,0.0292,0.0135,0.0179,0.0228,0.0258,0.0065,0.0057,0.063,0.107
HAGNGlobal,5,15.908040761947632,0.2956349849700928,0.0125,0.0167,0.0262,0.0125,0.0162,0.02,0.0226,0.006,0.005,0.0585,0.0965
HAGNGlobal,6,15.886391460895538,0.2962045669555664,0.0099,0.014,0.0227,0.0099,0.0133,0.0155,0.0179,0.0048,0.0043,0.0475,0.084
HAGNGlobal,7,15.855015754699707,0.2947978973388672,0.0069,0.01,0.0173,0.0069,0.0096,0.0112,0.0131,0.0034,0.0032,0.0345,0.062
HAGNGlobal,8,15.810808658599854,0.2988135814666748,0.005,0.0076,0.0134,0.005,0.0071,0.0083,0.0098,0.003,0.0027,0.0295,0.0525
HAGNGlobal,9,15.751101970672607,0.2957184314727783,0.0041,0.006,0.0115,0.0041,0.0061,0.0071,0.0085,0.0024,0.0022,0.024,0.0445
HAGNGlobal,10,15.680288255214691,0.2965872287750244,0.004,0.0061,0.0095,0.004,0.0053,0.0069,0.0079,0.0024,0.002,0.0235,0.039
HAGNGlobal,11,15.59874802827835,0.2955799102783203,0.0034,0.0052,0.0081,0.0034,0.0046,0.006,0.0069,0.0021,0.0017,0.0205,0.0345
HAGNGlobal,12,15.514346301555634,0.2961559295654297,0.0035,0.0055,0.0084,0.0035,0.0046,0.0062,0.007,0.0022,0.0017,0.022,0.0345
HAGNGlobal,13,15.408729314804077,0.2965281009674072,0.0032,0.0047,0.008,0.0032,0.0044,0.0057,0.0067,0.0019,0.0017,0.0185,0.0325
HAGNGlobal,14,15.31239140033722,0.2938206195831299,0.0031,0.0045,0.0083,0.0031,0.0047,0.0058,0.0071,0.0018,0.0018,0.017,0.036
