Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.940064787864685,0.529871940612793,0.0098,0.0144,0.024,0.0098,0.0136,0.0166,0.0193,0.0056,0.005,0.056,0.096
CSGCNNoWarmup,2,15.936516284942627,0.3106727600097656,0.0114,0.0165,0.0289,0.0114,0.0161,0.0192,0.0224,0.0068,0.0061,0.068,0.116
CSGCNNoWarmup,3,15.93175584077835,0.29399967193603516,0.014,0.0194,0.0318,0.014,0.0188,0.0238,0.027,0.0081,0.0069,0.0785,0.1255
CSGCNNoWarmup,4,15.924665033817291,0.3181953430175781,0.016,0.0207,0.0355,0.016,0.0217,0.0291,0.0329,0.0089,0.0076,0.0845,0.141
CSGCNNoWarmup,5,15.914226830005646,0.29277801513671875,0.0166,0.0212,0.038,0.0166,0.0228,0.0303,0.0342,0.0093,0.0081,0.0895,0.148
CSGCNNoWarmup,6,15.899444997310638,0.3002004623413086,0.0171,0.0234,0.0376,0.0171,0.0225,0.0302,0.0339,0.0101,0.0082,0.096,0.1515
CSGCNNoWarmup,7,15.878795504570007,0.32656264305114746,0.0161,0.0219,0.0371,0.0161,0.0218,0.029,0.0328,0.0098,0.0079,0.0935,0.1475
CSGCNNoWarmup,8,15.851813912391663,0.29702186584472656,0.0146,0.0188,0.0382,0.0146,0.0217,0.0279,0.0325,0.0084,0.008,0.0815,0.1485
CSGCNNoWarmup,9,15.817091822624207,0.2844350337982178,0.014,0.0188,0.0346,0.014,0.0197,0.0263,0.0299,0.0083,0.0072,0.08,0.1345
CSGCNNoWarmup,10,15.77243721485138,0.3244006633758545,0.0123,0.0166,0.0313,0.0123,0.0179,0.023,0.027,0.007,0.0068,0.069,0.1295
CSGCNNoWarmup,11,15.719699561595917,0.3126835823059082,0.0101,0.0135,0.0257,0.0101,0.0147,0.0195,0.0229,0.0058,0.0055,0.0575,0.1065
CSGCNNoWarmup,12,15.656136989593506,0.2955789566040039,0.0087,0.012,0.0242,0.0087,0.0132,0.0162,0.0193,0.0052,0.005,0.0515,0.097
CSGCNNoWarmup,13,15.58426034450531,0.2857236862182617,0.0078,0.0109,0.0212,0.0078,0.0117,0.0146,0.0173,0.0047,0.0045,0.047,0.0875
CSGCNNoWarmup,14,15.49925148487091,0.3247342109680176,0.0067,0.0099,0.0182,0.0067,0.0098,0.0119,0.0142,0.0043,0.0039,0.043,0.0765
CSGCNNoWarmup,15,15.401260018348694,0.31172657012939453,0.0066,0.0099,0.0163,0.0066,0.009,0.0116,0.0134,0.0044,0.0036,0.0445,0.0715
CSGCNNoWarmup,16,15.30269742012024,0.2955665588378906,0.0059,0.0089,0.015,0.0059,0.0083,0.0105,0.0123,0.004,0.0033,0.0405,0.0665
CSGCNNoWarmup,17,15.18370133638382,0.43093419075012207,0.0058,0.0082,0.0154,0.0058,0.0084,0.0106,0.0125,0.0039,0.0034,0.0385,0.066
