Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.940093338489532,0.4958500862121582,0.0083,0.0113,0.0215,0.0083,0.0121,0.0154,0.018,0.0051,0.0046,0.0495,0.088
CSGCNNoWarmup,2,15.936526954174042,0.28632450103759766,0.0107,0.0138,0.0241,0.0107,0.0146,0.0198,0.0225,0.0061,0.0051,0.0595,0.0985
CSGCNNoWarmup,3,15.931747198104858,0.2869701385498047,0.0137,0.018,0.028,0.0137,0.0175,0.0241,0.0267,0.0073,0.0057,0.071,0.1095
CSGCNNoWarmup,4,15.924377918243408,0.2858541011810303,0.0173,0.0228,0.0352,0.0173,0.022,0.0289,0.0324,0.0087,0.0072,0.083,0.1365
CSGCNNoWarmup,5,15.913555979728699,0.2848320007324219,0.0186,0.0243,0.041,0.0186,0.0249,0.0319,0.0363,0.0092,0.0081,0.0875,0.153
CSGCNNoWarmup,6,15.89796531200409,0.2847940921783447,0.0195,0.0272,0.0412,0.0195,0.025,0.0327,0.0367,0.0101,0.0084,0.097,0.157
CSGCNNoWarmup,7,15.87661063671112,0.28459835052490234,0.0194,0.027,0.0427,0.0194,0.0256,0.0333,0.0376,0.0101,0.0086,0.097,0.1605
CSGCNNoWarmup,8,15.847973942756653,0.2852764129638672,0.019,0.0256,0.044,0.019,0.0259,0.0331,0.0378,0.0098,0.0087,0.094,0.1625
CSGCNNoWarmup,9,15.812218308448792,0.2864971160888672,0.0172,0.0231,0.0428,0.0172,0.0243,0.03,0.0345,0.0091,0.0082,0.0895,0.1555
CSGCNNoWarmup,10,15.767259299755096,0.28325772285461426,0.0154,0.0217,0.0392,0.0154,0.0217,0.0259,0.03,0.0089,0.0076,0.087,0.147
CSGCNNoWarmup,11,15.71088021993637,0.2838134765625,0.0148,0.02,0.0355,0.0148,0.0204,0.0266,0.0302,0.008,0.0069,0.079,0.133
CSGCNNoWarmup,12,15.645899951457977,0.28276991844177246,0.0133,0.0179,0.0315,0.0133,0.0182,0.0235,0.0269,0.0072,0.0063,0.0705,0.1195
CSGCNNoWarmup,13,15.568876326084137,0.2831916809082031,0.0119,0.0163,0.028,0.0119,0.0163,0.0207,0.0238,0.0065,0.0056,0.0635,0.1085
CSGCNNoWarmup,14,15.483709514141083,0.28604793548583984,0.0108,0.0152,0.027,0.0108,0.0151,0.0188,0.0217,0.006,0.0053,0.059,0.102
CSGCNNoWarmup,15,15.38725358247757,0.28450584411621094,0.0107,0.0149,0.0245,0.0107,0.0142,0.0189,0.0214,0.0057,0.0047,0.056,0.0915
CSGCNNoWarmup,16,15.27678120136261,0.2842428684234619,0.01,0.0142,0.0229,0.01,0.0132,0.0174,0.0198,0.0053,0.0044,0.0525,0.087
CSGCNNoWarmup,17,15.157117545604706,0.28464412689208984,0.0089,0.0134,0.0223,0.0089,0.0122,0.0154,0.0176,0.0051,0.0044,0.0505,0.085
