Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
ASLGCNSymmetric,1,15.939928114414215,0.5446538925170898,0.0089,0.0114,0.0225,0.0089,0.0131,0.0169,0.0198,0.005,0.0048,0.049,0.0915
ASLGCNSymmetric,2,15.936092019081116,0.3363795280456543,0.0124,0.0171,0.0289,0.0124,0.017,0.0223,0.0256,0.007,0.0062,0.067,0.1155
ASLGCNSymmetric,3,15.930903553962708,0.3294491767883301,0.0156,0.0208,0.0362,0.0156,0.0213,0.0275,0.0315,0.0089,0.0076,0.084,0.1435
ASLGCNSymmetric,4,15.923091650009155,0.33260178565979004,0.0183,0.0252,0.0416,0.0183,0.0246,0.0322,0.0366,0.0102,0.0087,0.096,0.1605
ASLGCNSymmetric,5,15.911373853683472,0.3383219242095947,0.0207,0.0267,0.0469,0.0207,0.0283,0.0364,0.0415,0.0112,0.0098,0.1065,0.181
ASLGCNSymmetric,6,15.894602477550507,0.33107709884643555,0.0223,0.0291,0.0476,0.0223,0.0295,0.039,0.0439,0.0116,0.0098,0.111,0.181
ASLGCNSymmetric,7,15.872074723243713,0.32363271713256836,0.0235,0.0312,0.0517,0.0235,0.0313,0.0401,0.0452,0.0122,0.0105,0.1175,0.1935
ASLGCNSymmetric,8,15.842263877391815,0.3156611919403076,0.024,0.0322,0.0505,0.024,0.031,0.0401,0.0446,0.0127,0.0103,0.121,0.1885
ASLGCNSymmetric,9,15.80474603176117,0.33828282356262207,0.0232,0.0312,0.0504,0.0232,0.0303,0.0386,0.0431,0.012,0.0098,0.1145,0.181
ASLGCNSymmetric,10,15.758904218673706,0.34215450286865234,0.0216,0.0292,0.049,0.0216,0.029,0.0353,0.0399,0.0114,0.0096,0.1095,0.176
ASLGCNSymmetric,11,15.704159379005432,0.3295004367828369,0.0207,0.028,0.0492,0.0207,0.0283,0.0336,0.0382,0.011,0.0095,0.1065,0.176
ASLGCNSymmetric,12,15.63955682516098,0.458254337310791,0.0205,0.0269,0.0479,0.0205,0.0281,0.033,0.0379,0.0105,0.0093,0.1005,0.174
ASLGCNSymmetric,13,15.565712094306946,0.33363890647888184,0.0191,0.026,0.0473,0.0191,0.0271,0.0299,0.0354,0.0099,0.0093,0.0935,0.174
ASLGCNSymmetric,14,15.482564449310303,0.33100008964538574,0.0182,0.0254,0.0444,0.0182,0.0254,0.028,0.0329,0.0095,0.0087,0.0915,0.165
ASLGCNSymmetric,15,15.38809859752655,0.3311748504638672,0.0177,0.0249,0.0427,0.0177,0.0245,0.0273,0.0319,0.0092,0.0084,0.0895,0.1585
ASLGCNSymmetric,16,15.285300314426422,0.34099745750427246,0.0165,0.0234,0.0408,0.0165,0.0232,0.0252,0.0299,0.0087,0.0081,0.0845,0.154
ASLGCNSymmetric,17,15.1718270778656,0.3422708511352539,0.0166,0.0232,0.0389,0.0166,0.0226,0.0255,0.0298,0.0086,0.0077,0.083,0.1465
ASLGCNSymmetric,18,15.046866595745087,0.32531213760375977,0.0161,0.0225,0.0381,0.0161,0.0221,0.0243,0.0286,0.0083,0.0076,0.0805,0.1435
ASLGCNSymmetric,19,14.925505816936493,0.3291053771972656,0.0152,0.0212,0.0369,0.0152,0.0214,0.0233,0.0278,0.0077,0.0074,0.0745,0.139
