Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.940095126628876,0.49936509132385254,0.0095,0.0128,0.024,0.0095,0.0138,0.0161,0.0193,0.0047,0.0048,0.0465,0.0935
CSGCNNoWarmup,2,15.936484336853027,0.29904866218566895,0.0112,0.0151,0.0275,0.0112,0.016,0.0187,0.022,0.0061,0.0057,0.06,0.108
CSGCNNoWarmup,3,15.931722521781921,0.30455470085144043,0.0144,0.0196,0.0328,0.0144,0.0195,0.0255,0.029,0.0075,0.0066,0.073,0.125
CSGCNNoWarmup,4,15.924645721912384,0.29883384704589844,0.0175,0.0222,0.0374,0.0175,0.0233,0.033,0.037,0.0088,0.0076,0.085,0.143
CSGCNNoWarmup,5,15.914215981960297,0.29681825637817383,0.0199,0.0241,0.0419,0.0199,0.0265,0.0381,0.0425,0.01,0.0084,0.094,0.158
CSGCNNoWarmup,6,15.899532854557037,0.29677271842956543,0.0212,0.0268,0.0466,0.0212,0.0285,0.0402,0.0448,0.0106,0.0092,0.101,0.17
CSGCNNoWarmup,7,15.879837334156036,0.2992398738861084,0.0215,0.0292,0.0462,0.0215,0.0279,0.0381,0.0422,0.011,0.0089,0.105,0.167
CSGCNNoWarmup,8,15.853236258029938,0.2992372512817383,0.0208,0.0283,0.0465,0.0208,0.0276,0.0358,0.0402,0.0104,0.0089,0.1005,0.1655
CSGCNNoWarmup,9,15.820096015930176,0.29630327224731445,0.0197,0.0263,0.0452,0.0197,0.0268,0.0353,0.0399,0.0094,0.0086,0.0925,0.162
CSGCNNoWarmup,10,15.778542697429657,0.29439544677734375,0.0186,0.0247,0.0414,0.0186,0.025,0.0324,0.0368,0.0089,0.008,0.087,0.1515
CSGCNNoWarmup,11,15.727846920490265,0.2947051525115967,0.0178,0.0237,0.04,0.0178,0.0238,0.0309,0.0348,0.0087,0.0076,0.084,0.1415
CSGCNNoWarmup,12,15.66971880197525,0.29494237899780273,0.0163,0.0208,0.0388,0.0163,0.0229,0.0284,0.0324,0.0079,0.0073,0.0775,0.136
CSGCNNoWarmup,13,15.601201057434082,0.29362916946411133,0.0155,0.0197,0.0361,0.0155,0.0213,0.0268,0.0299,0.0076,0.0066,0.0745,0.1215
CSGCNNoWarmup,14,15.520309746265411,0.2957644462585449,0.0144,0.0184,0.0331,0.0144,0.0198,0.0245,0.0278,0.0068,0.0062,0.066,0.1155
CSGCNNoWarmup,15,15.432246088981628,0.2941765785217285,0.014,0.018,0.032,0.014,0.0191,0.0234,0.0266,0.0066,0.006,0.0635,0.112
CSGCNNoWarmup,16,15.333478450775146,0.301663875579834,0.0131,0.0166,0.03,0.0131,0.0181,0.022,0.0254,0.0061,0.0058,0.058,0.1085
CSGCNNoWarmup,17,15.226031184196472,0.2964746952056885,0.0126,0.0163,0.028,0.0126,0.017,0.0208,0.0237,0.0058,0.0053,0.0555,0.0985
CSGCNNoWarmup,18,15.107373893260956,0.2983238697052002,0.0118,0.016,0.0267,0.0118,0.016,0.0196,0.0224,0.0056,0.0051,0.055,0.0945
