Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,31.18841326236725,0.7425389289855957,0.0066,0.0057,0.0101,0.0066,0.0081,0.018,0.0202,0.0054,0.0045,0.053,0.0865
HAGNUniform,2,31.177979588508606,0.5532128810882568,0.0076,0.0069,0.012,0.0076,0.0096,0.02,0.0228,0.0063,0.0055,0.0625,0.104
HAGNUniform,3,31.15576660633087,0.5493028163909912,0.0047,0.0045,0.0088,0.0047,0.0066,0.0121,0.0146,0.0039,0.0039,0.038,0.076
HAGNUniform,4,31.108036756515503,0.5487344264984131,0.0036,0.0029,0.006,0.0036,0.0048,0.01,0.0118,0.003,0.003,0.03,0.0575
HAGNUniform,5,31.017882108688354,0.5476589202880859,0.0026,0.0024,0.0042,0.0026,0.0034,0.007,0.0083,0.0023,0.0021,0.023,0.0425
HAGNUniform,6,30.872884929180145,0.551405668258667,0.002,0.0021,0.0042,0.002,0.003,0.0049,0.0063,0.002,0.002,0.0195,0.041
HAGNUniform,7,30.687270402908325,0.5536279678344727,0.0021,0.0019,0.0035,0.0021,0.0027,0.0054,0.0064,0.0019,0.0016,0.0185,0.033
HAGNUniform,8,30.46481466293335,0.54781174659729,0.0021,0.0016,0.0032,0.0021,0.0028,0.0065,0.0075,0.0016,0.0015,0.0155,0.031
HAGNUniform,9,30.236020982265472,0.549008846282959,0.0019,0.0019,0.003,0.0019,0.0024,0.0051,0.0059,0.0017,0.0015,0.017,0.0295
HAGNUniform,10,30.029371201992035,0.5473575592041016,0.002,0.0017,0.0032,0.002,0.0027,0.0057,0.0068,0.0015,0.0014,0.0145,0.029
HAGNUniform,11,29.80482566356659,0.5503482818603516,0.0024,0.002,0.0031,0.0024,0.0028,0.0068,0.0075,0.0018,0.0015,0.018,0.03
HAGNUniform,12,29.58667027950287,0.547339677810669,0.0025,0.0019,0.0031,0.0025,0.0029,0.0076,0.0084,0.0018,0.0015,0.0175,0.0295
HAGNUniform,13,29.352713108062744,0.5487868785858154,0.0023,0.0017,0.003,0.0023,0.0028,0.0069,0.0077,0.0016,0.0014,0.0155,0.028
