Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,72.77801978588104,2.0193443298339844,0.0081,0.0031,0.006,0.0081,0.008,0.0233,0.0271,0.008,0.0076,0.0775,0.1355
HAGNUniform,2,72.757637321949,1.642984390258789,0.0072,0.0027,0.0046,0.0072,0.0068,0.0213,0.0242,0.007,0.0062,0.068,0.1135
HAGNUniform,3,72.68036502599716,1.6464965343475342,0.0065,0.0022,0.0043,0.0065,0.0065,0.0201,0.0238,0.006,0.0061,0.0595,0.116
HAGNUniform,4,72.5724310874939,1.656010627746582,0.0062,0.0023,0.0042,0.0062,0.0061,0.0188,0.0218,0.0061,0.0056,0.061,0.106
HAGNUniform,5,72.4888443350792,1.6697006225585938,0.0061,0.0023,0.0043,0.0061,0.0062,0.0183,0.0217,0.0059,0.0058,0.058,0.1105
HAGNUniform,6,72.44256496429443,1.6678850650787354,0.006,0.0021,0.0044,0.006,0.0062,0.0181,0.0218,0.0057,0.0058,0.0555,0.109
HAGNUniform,7,72.39379721879959,1.6466567516326904,0.0055,0.0021,0.0043,0.0055,0.0058,0.016,0.0195,0.0054,0.0055,0.0525,0.1045
HAGNUniform,8,72.34087353944778,1.6492059230804443,0.0052,0.002,0.0043,0.0052,0.0058,0.0149,0.0187,0.0052,0.0058,0.0515,0.108
HAGNUniform,9,72.26081883907318,1.662759780883789,0.0055,0.002,0.0045,0.0055,0.0061,0.0159,0.0198,0.0055,0.0062,0.054,0.114
HAGNUniform,10,72.2063479423523,1.6655681133270264,0.0058,0.0021,0.0044,0.0058,0.0061,0.0169,0.0205,0.0057,0.0059,0.0555,0.109
HAGNUniform,11,72.11332339048386,1.6612205505371094,0.0057,0.0022,0.0044,0.0057,0.006,0.0164,0.0198,0.0057,0.0058,0.0555,0.1075
HAGNUniform,12,72.0218985080719,1.6418650150299072,0.0055,0.0022,0.0047,0.0055,0.0061,0.015,0.0188,0.0057,0.0063,0.056,0.1155
