Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNFixed,1,15.939892828464508,0.47481393814086914,0.0108,0.0146,0.0232,0.0108,0.0143,0.02,0.0227,0.0062,0.0052,0.06,0.0985
HAGNFixed,2,15.935612440109253,0.29016947746276855,0.0127,0.0159,0.0261,0.0127,0.0165,0.0243,0.0271,0.0068,0.0056,0.0665,0.1065
HAGNFixed,3,15.92888754606247,0.29245615005493164,0.0088,0.0126,0.0218,0.0088,0.0124,0.0152,0.018,0.0054,0.0048,0.052,0.0925
HAGNFixed,4,15.915987253189087,0.2892487049102783,0.0063,0.0082,0.0137,0.0063,0.0085,0.0117,0.0135,0.0036,0.0033,0.0355,0.063
HAGNFixed,5,15.88996958732605,0.28995442390441895,0.0042,0.005,0.011,0.0042,0.0066,0.0091,0.0109,0.0025,0.0027,0.025,0.052
HAGNFixed,6,15.84309458732605,0.290799617767334,0.0039,0.0056,0.0098,0.0039,0.0056,0.0072,0.0085,0.0028,0.0025,0.0285,0.0485
HAGNFixed,7,15.773731768131256,0.2886319160461426,0.0033,0.0042,0.0084,0.0033,0.0049,0.0064,0.0078,0.0024,0.0023,0.024,0.044
HAGNFixed,8,15.68334847688675,0.28942346572875977,0.0031,0.0038,0.0084,0.0031,0.0049,0.0062,0.0078,0.0023,0.0023,0.0225,0.046
HAGNFixed,9,15.57985270023346,0.2885315418243408,0.0028,0.0037,0.0085,0.0028,0.0047,0.0054,0.0069,0.0023,0.0023,0.023,0.045
HAGNFixed,10,15.48984581232071,0.29012203216552734,0.0028,0.0036,0.0075,0.0028,0.0043,0.0052,0.0066,0.0023,0.0021,0.0225,0.042
HAGNFixed,11,15.409969806671143,0.2938380241394043,0.0028,0.0035,0.0077,0.0028,0.0044,0.0054,0.0068,0.0022,0.0022,0.022,0.0425
HAGNFixed,12,15.352356195449829,0.2865569591522217,0.003,0.0037,0.0084,0.003,0.0049,0.0061,0.0076,0.0023,0.0023,0.023,0.0455
HAGNFixed,13,15.294123530387878,0.2880680561065674,0.0029,0.0035,0.0082,0.0029,0.0048,0.0057,0.0074,0.0022,0.0023,0.0215,0.046
