Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,31.189447164535522,0.914177417755127,0.0056,0.005,0.0101,0.0056,0.0077,0.0144,0.0175,0.0049,0.0049,0.0475,0.0925
HAGNGlobal,2,31.183030605316162,0.5374610424041748,0.0059,0.0056,0.0123,0.0059,0.0088,0.0143,0.0183,0.0051,0.0056,0.05,0.109
HAGNGlobal,3,31.17245841026306,0.5359244346618652,0.0069,0.0063,0.0118,0.0069,0.009,0.0177,0.0209,0.0061,0.0057,0.06,0.107
HAGNGlobal,4,31.15419739484787,0.5368208885192871,0.0066,0.0055,0.0107,0.0066,0.0088,0.0178,0.0215,0.0055,0.0057,0.0535,0.107
HAGNGlobal,5,31.123156666755676,0.5363695621490479,0.0053,0.0042,0.0081,0.0053,0.007,0.015,0.0178,0.0041,0.0044,0.0405,0.0835
HAGNGlobal,6,31.074582636356354,0.5343360900878906,0.0046,0.0036,0.007,0.0046,0.006,0.0122,0.0147,0.0037,0.0039,0.036,0.074
HAGNGlobal,7,31.003573417663574,0.5346729755401611,0.004,0.0033,0.0063,0.004,0.0052,0.0103,0.0124,0.0033,0.0034,0.0325,0.066
HAGNGlobal,8,30.911722898483276,0.5333695411682129,0.0041,0.0034,0.0056,0.0041,0.0049,0.0106,0.0122,0.0035,0.0031,0.034,0.0585
HAGNGlobal,9,30.792204082012177,0.533635139465332,0.0045,0.0037,0.0057,0.0045,0.005,0.0113,0.0127,0.0039,0.0031,0.038,0.058
HAGNGlobal,10,30.671220660209656,0.5328080654144287,0.0043,0.0035,0.0062,0.0043,0.0053,0.0111,0.0129,0.0037,0.0033,0.036,0.062
HAGNGlobal,11,30.519951581954956,0.5327475070953369,0.0046,0.0037,0.0058,0.0046,0.0052,0.0118,0.0133,0.004,0.0032,0.038,0.06
HAGNGlobal,12,30.395190715789795,0.5303144454956055,0.004,0.0032,0.0062,0.004,0.0052,0.0106,0.0127,0.0033,0.0033,0.0325,0.062
HAGNGlobal,13,30.276361882686615,0.5340204238891602,0.004,0.0032,0.0064,0.004,0.0053,0.0103,0.0127,0.0033,0.0035,0.0325,0.0665
HAGNGlobal,14,30.13107568025589,0.5320272445678711,0.0045,0.0034,0.0062,0.0045,0.0055,0.0122,0.0142,0.0037,0.0035,0.036,0.066
