Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.940062880516052,0.49233365058898926,0.0103,0.0134,0.0235,0.0103,0.0143,0.0199,0.0229,0.0056,0.0053,0.055,0.1
CSGCNNoWarmup,2,15.936516046524048,0.28973841667175293,0.0117,0.0156,0.0274,0.0117,0.0163,0.0212,0.0247,0.0066,0.0059,0.063,0.1125
CSGCNNoWarmup,3,15.931695520877838,0.2887444496154785,0.0142,0.0185,0.035,0.0142,0.0203,0.0262,0.03,0.0075,0.0071,0.0725,0.131
CSGCNNoWarmup,4,15.92430579662323,0.29169178009033203,0.0158,0.0221,0.0402,0.0158,0.0224,0.0262,0.0304,0.0086,0.0078,0.0815,0.1435
CSGCNNoWarmup,5,15.913026511669159,0.2868063449859619,0.0163,0.0232,0.0402,0.0163,0.0227,0.0264,0.0306,0.0085,0.0076,0.082,0.142
CSGCNNoWarmup,6,15.896531283855438,0.28712034225463867,0.0147,0.0199,0.0359,0.0147,0.0205,0.0248,0.0286,0.0072,0.0067,0.07,0.127
CSGCNNoWarmup,7,15.872612953186035,0.28813958168029785,0.0114,0.0145,0.0274,0.0114,0.0159,0.0215,0.0243,0.0054,0.0051,0.0545,0.097
CSGCNNoWarmup,8,15.838773787021637,0.287855863571167,0.0091,0.0116,0.0191,0.0091,0.0118,0.0173,0.0192,0.0046,0.0038,0.046,0.076
CSGCNNoWarmup,9,15.792896091938019,0.2877030372619629,0.0074,0.0087,0.0165,0.0074,0.0102,0.0147,0.0167,0.0037,0.0034,0.037,0.0675
CSGCNNoWarmup,10,15.734754025936127,0.2901318073272705,0.0065,0.0073,0.0137,0.0065,0.0088,0.013,0.0147,0.0032,0.003,0.0325,0.0595
CSGCNNoWarmup,11,15.66061681509018,0.28862810134887695,0.0061,0.0069,0.0115,0.0061,0.0079,0.0125,0.0139,0.0031,0.0026,0.0315,0.052
CSGCNNoWarmup,12,15.568818151950836,0.28561854362487793,0.0057,0.0065,0.0102,0.0057,0.0072,0.0115,0.0128,0.0029,0.0025,0.0295,0.049
CSGCNNoWarmup,13,15.468508183956146,0.2863771915435791,0.0053,0.0059,0.0095,0.0053,0.0068,0.0108,0.0121,0.0026,0.0022,0.026,0.0445
CSGCNNoWarmup,14,15.361397743225098,0.2860114574432373,0.005,0.0056,0.0091,0.005,0.0064,0.0099,0.0112,0.0025,0.0022,0.025,0.044
CSGCNNoWarmup,15,15.25777268409729,0.28989648818969727,0.0046,0.0054,0.009,0.0046,0.0061,0.0098,0.0111,0.0024,0.0022,0.0245,0.043
CSGCNNoWarmup,16,15.147397816181183,0.29915332794189453,0.0045,0.0055,0.009,0.0045,0.0059,0.0098,0.011,0.0025,0.0022,0.025,0.043
