Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,4.849114000797272,0.3144104480743408,0.1539,0.2342,0.2999,0.1539,0.171,0.136,0.1412,0.0264,0.017,0.2595,0.335
HAGNUniform,2,4.847204804420471,0.11717939376831055,0.1834,0.2737,0.3385,0.1834,0.2007,0.1637,0.1689,0.0311,0.0195,0.306,0.38
HAGNUniform,3,4.844876646995544,0.11736941337585449,0.2086,0.3037,0.382,0.2086,0.2294,0.1895,0.1958,0.0347,0.0221,0.3395,0.4295
HAGNUniform,4,4.8419278264045715,0.12102842330932617,0.2312,0.3396,0.412,0.2312,0.2506,0.2098,0.2157,0.0388,0.024,0.381,0.466
HAGNUniform,5,4.8381441831588745,0.11880636215209961,0.2494,0.3679,0.4441,0.2494,0.2697,0.2265,0.2328,0.0423,0.026,0.4125,0.503
HAGNUniform,6,4.83329051733017,0.11771655082702637,0.2636,0.3903,0.4679,0.2636,0.2846,0.2386,0.245,0.0451,0.0276,0.4395,0.531
HAGNUniform,7,4.827203094959259,0.11715340614318848,0.2774,0.4119,0.4843,0.2774,0.297,0.2507,0.2565,0.0478,0.0287,0.465,0.548
HAGNUniform,8,4.819847047328949,0.11591506004333496,0.2826,0.4135,0.506,0.2826,0.3073,0.2573,0.2646,0.0481,0.03,0.468,0.5735
HAGNUniform,9,4.810758113861084,0.11720871925354004,0.286,0.4206,0.5165,0.286,0.3117,0.2592,0.2669,0.0489,0.0307,0.4755,0.587
HAGNUniform,10,4.799840569496155,0.1166830062866211,0.2895,0.4276,0.5181,0.2895,0.3141,0.2614,0.2687,0.0498,0.0311,0.4835,0.59
HAGNUniform,11,4.787189424037933,0.1171424388885498,0.2946,0.4344,0.5212,0.2946,0.3179,0.2667,0.2734,0.0508,0.0312,0.4925,0.5925
HAGNUniform,12,4.772337198257446,0.11722254753112793,0.2941,0.4347,0.5219,0.2941,0.3176,0.2655,0.2723,0.0507,0.0312,0.493,0.592
HAGNUniform,13,4.755298674106598,0.1172792911529541,0.2933,0.434,0.5186,0.2933,0.3161,0.2646,0.2713,0.0508,0.0311,0.493,0.589
HAGNUniform,14,4.735526502132416,0.11646795272827148,0.2937,0.4384,0.5182,0.2937,0.3152,0.2643,0.2704,0.0514,0.0311,0.4985,0.588
HAGNUniform,15,4.713889718055725,0.11831212043762207,0.2893,0.432,0.5133,0.2893,0.3114,0.2605,0.2669,0.0506,0.0308,0.4905,0.582
HAGNUniform,16,4.689803421497345,0.1179354190826416,0.2839,0.4259,0.5107,0.2839,0.307,0.2557,0.2622,0.0498,0.0306,0.485,0.5785
HAGNUniform,17,4.663491487503052,0.23191308975219727,0.2793,0.4217,0.5078,0.2793,0.3025,0.2507,0.2574,0.0494,0.0304,0.4795,0.5755
HAGNUniform,18,4.633576512336731,0.11876511573791504,0.2751,0.4154,0.5054,0.2751,0.2993,0.2468,0.2537,0.0487,0.0302,0.473,0.5715
HAGNUniform,19,4.602210998535156,0.11744952201843262,0.2701,0.4118,0.4983,0.2701,0.2934,0.2414,0.2481,0.0481,0.0298,0.468,0.5645
HAGNUniform,20,4.567788004875183,0.11610126495361328,0.2646,0.4063,0.4932,0.2646,0.2881,0.2357,0.2424,0.0474,0.0295,0.4615,0.5585
HAGNUniform,21,4.5299877524375916,0.1154019832611084,0.2583,0.3985,0.4897,0.2583,0.2827,0.2288,0.2359,0.0466,0.0292,0.453,0.5565
HAGNUniform,22,4.491727769374847,0.1155247688293457,0.253,0.3871,0.4807,0.253,0.2782,0.2255,0.233,0.0453,0.0287,0.4395,0.547
