Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNUniform,1,6.235393166542053,0.3383970260620117,0.0979,0.1508,0.199,0.0979,0.111,0.0924,0.0966,0.019,0.0128,0.187,0.25
HAGNUniform,2,6.232977449893951,0.145247220993042,0.1137,0.1736,0.2248,0.1137,0.1277,0.1072,0.1117,0.022,0.0146,0.2165,0.2845
HAGNUniform,3,6.2301836013793945,0.19795441627502441,0.1252,0.1851,0.2519,0.1252,0.1432,0.1203,0.1261,0.0239,0.0165,0.235,0.319
HAGNUniform,4,6.226733028888702,0.18101239204406738,0.1344,0.2038,0.2692,0.1344,0.1522,0.1273,0.133,0.0261,0.0176,0.257,0.34
HAGNUniform,5,6.222083508968353,0.14951801300048828,0.1428,0.2165,0.2847,0.1428,0.1617,0.1357,0.1423,0.028,0.0189,0.273,0.3675
HAGNUniform,6,6.216479241847992,0.14547944068908691,0.1488,0.2272,0.2954,0.1488,0.1677,0.1395,0.1458,0.0295,0.0196,0.2885,0.3785
HAGNUniform,7,6.209230482578278,0.1428208351135254,0.1499,0.2307,0.3059,0.1499,0.1707,0.14,0.1469,0.0301,0.0204,0.2935,0.3935
HAGNUniform,8,6.2005011439323425,0.21797943115234375,0.1496,0.2343,0.3095,0.1496,0.1706,0.1385,0.1454,0.0306,0.0208,0.2985,0.3965
HAGNUniform,9,6.1895716190338135,0.15406322479248047,0.1489,0.2363,0.311,0.1489,0.1696,0.1366,0.1434,0.031,0.0209,0.3015,0.3985
HAGNUniform,10,6.177006304264069,0.14470291137695312,0.147,0.2386,0.311,0.147,0.1672,0.1326,0.1392,0.0313,0.021,0.3035,0.3995
HAGNUniform,11,6.161475598812103,0.141526460647583,0.144,0.2389,0.3098,0.144,0.1638,0.1283,0.1348,0.0312,0.0208,0.3035,0.397
HAGNUniform,12,6.144909501075745,0.1392195224761963,0.1406,0.236,0.3114,0.1406,0.1614,0.1243,0.1309,0.0307,0.0209,0.3,0.3975
HAGNUniform,13,6.125373184680939,0.15895748138427734,0.1363,0.2299,0.3086,0.1363,0.158,0.1195,0.1265,0.03,0.0206,0.2915,0.394
HAGNUniform,14,6.1024269461631775,0.21260714530944824,0.1334,0.2248,0.3028,0.1334,0.1548,0.1173,0.1244,0.0293,0.0201,0.284,0.386
HAGNUniform,15,6.077270209789276,0.14602398872375488,0.1304,0.2216,0.2945,0.1304,0.1506,0.114,0.1207,0.0286,0.0196,0.2775,0.375
HAGNUniform,16,6.049172282218933,0.14481878280639648,0.1266,0.2143,0.2895,0.1266,0.1474,0.1109,0.1178,0.0279,0.0194,0.2705,0.37
HAGNUniform,17,6.02120703458786,0.14151740074157715,0.1216,0.2073,0.2843,0.1216,0.1429,0.1062,0.1133,0.027,0.0191,0.262,0.364
HAGNUniform,18,5.987705111503601,0.1423966884613037,0.1161,0.1961,0.2776,0.1161,0.1386,0.1017,0.1093,0.0257,0.0186,0.249,0.3575
