Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
CSGCNNoWarmup,1,15.940042614936829,0.4846482276916504,0.0105,0.0139,0.0243,0.0105,0.0144,0.0191,0.0218,0.0059,0.0051,0.059,0.1
CSGCNNoWarmup,2,15.936507999897003,0.28740358352661133,0.0125,0.0169,0.0298,0.0125,0.0173,0.0224,0.0256,0.0069,0.006,0.0685,0.117
CSGCNNoWarmup,3,15.931717157363892,0.29099464416503906,0.0148,0.0193,0.0348,0.0148,0.0203,0.0266,0.0302,0.008,0.0068,0.0795,0.131
CSGCNNoWarmup,4,15.92459112405777,0.28763818740844727,0.018,0.025,0.0408,0.018,0.0237,0.0314,0.0351,0.0095,0.0078,0.0935,0.147
CSGCNNoWarmup,5,15.914248406887054,0.28431129455566406,0.0199,0.0261,0.0465,0.0199,0.0275,0.0354,0.0403,0.0098,0.009,0.094,0.166
CSGCNNoWarmup,6,15.899540185928345,0.2839820384979248,0.0223,0.0291,0.0468,0.0223,0.0289,0.0389,0.0433,0.0111,0.0091,0.1065,0.1715
CSGCNNoWarmup,7,15.879550576210022,0.2884993553161621,0.0235,0.0314,0.0496,0.0235,0.0303,0.0405,0.0447,0.0118,0.0097,0.115,0.1795
CSGCNNoWarmup,8,15.8531134724617,0.28753232955932617,0.0232,0.0308,0.0502,0.0232,0.0304,0.0405,0.0451,0.0115,0.0097,0.1115,0.1795
CSGCNNoWarmup,9,15.819765388965607,0.2845189571380615,0.0225,0.0295,0.0488,0.0225,0.0297,0.0402,0.0448,0.0113,0.0097,0.11,0.179
CSGCNNoWarmup,10,15.77830058336258,0.2828795909881592,0.0211,0.0269,0.0449,0.0211,0.0278,0.0385,0.043,0.0105,0.0089,0.1015,0.1655
CSGCNNoWarmup,11,15.728399634361267,0.28182530403137207,0.0204,0.0256,0.0424,0.0204,0.0264,0.0381,0.0419,0.01,0.0083,0.098,0.156
CSGCNNoWarmup,12,15.670072138309479,0.29014062881469727,0.0194,0.024,0.0396,0.0194,0.025,0.0365,0.0403,0.0094,0.0078,0.092,0.148
CSGCNNoWarmup,13,15.601089060306549,0.2827951908111572,0.0188,0.0228,0.0368,0.0188,0.0236,0.0365,0.0396,0.009,0.0071,0.088,0.1355
CSGCNNoWarmup,14,15.519883811473846,0.28652143478393555,0.0174,0.0211,0.0331,0.0174,0.0217,0.034,0.0369,0.0086,0.0066,0.0845,0.1265
CSGCNNoWarmup,15,15.433607459068298,0.28468775749206543,0.0157,0.0199,0.0311,0.0157,0.0199,0.03,0.0331,0.0078,0.0064,0.077,0.1225
CSGCNNoWarmup,16,15.332689046859741,0.28307199478149414,0.0143,0.0185,0.0287,0.0143,0.0182,0.0265,0.0294,0.0071,0.006,0.07,0.113
CSGCNNoWarmup,17,15.227184236049652,0.4107542037963867,0.0135,0.0171,0.0277,0.0135,0.0176,0.0252,0.0282,0.0066,0.0059,0.065,0.111
CSGCNNoWarmup,18,15.109652638435364,0.28113484382629395,0.0126,0.0167,0.0252,0.0126,0.0159,0.023,0.0255,0.0064,0.0053,0.063,0.0995
